efkoctptbt,zftdsfbkrj,ftjoqqurrs,zztofnufuy,nuhtgbyyaw
-0.3895,753,0.3085,doG,0.2645
-566,Dog,cAT,0.2805,nntcgzhouh
CaT,crduefdagx,0.089,-0.1205,203
-452,-918,-0.42,-0.055,302
951,585,CaT,-461,-0.3245
-0.249,-0.415,ecebqzrymk,DOg,-0.291
-0.4465,-882,-0.391,ywykmttxgj,givavffagy
caT,zxnvhvrctn,705,-537,742
okquwdggeb,kgdkaghjct,doG,-0.248,-89
hghbqxksxh,563,978,-57,dtxndocobq
cAt,phbovlgxcu,0.059,309,-0.443
0.452,652,-61,894,cvzvwmfyko
0.063,896,pjiurjkgdn,drimnsieoa,0.261
CAT,alhdqpbqks,-0.0985,-0.111,nxbchzspds
-0.162,-551,ubrsllyfym,ctorbulbmg,cAt
xbjmysdivo,0.0235,Dog,0.285,ldrndnvuhc
dgymnnfaht,dOG,dog,0.3305,dOg
-293,-0.012,0.4845,-49,0.303
pexzwukbjd,dOG,0.3715,-247,havjahyncc
cAt,-0.216,kbfdgmauqs,dmsqzjtgjc,vndxjeopck
893,DoG,0.077,xkacpfgghn,ffuehasfkz
ufsxcpstsc,854,-898,CaT,0.3835
-0.461,-0.023,cAt,diejkhkxvp,-693
-0.412,372,513,DOg,lgrricldhd
-421,-589,0.4475,-620,946
zhpdudwbex,CAt,aitckqbxvp,0.444,djwxassmve
0.344,921,doG,0.115,0.2625
-0.159,qgaaciihsz,fjwwvqzgii,387,-0.058
olrdlprwnt,rquupieylh,vtzpjwowyn,346,dlzujnuapu
398,urawuupcyz,-502,90,dwqsovgjom
szwflooxsg,bvwaqlesyp,0.4835,0.2555,-60
jbqzjineih,811,dOg,-110,-0.44
-942,0.041,cAT,-0.2975,lxejlnssjp
144,Dog,dOG,dOG,-0.272
581,773,0.215,nzmheaavjm,0.45
0.459,-0.0875,-0.438,okuszpkffh,kqyuqukzes
-593,qslabzkjxg,129,-0.3985,-828
360,ldcqndonnl,hoqmejluta,caT,CAt
0.377,cAT,snywpnqqwz,-619,hpersfxbhi
0.2445,-8,682,qqbjpaajhx,-0.1705
ixpcjhgtlp,cAT,-438,0.2705,-511
0.1075,0.389,0.182,-0.253,-0.494
DoG,0.2825,18,eykjftyeyd,oasgvfnsfx
cAT,cAt,-685,bbvpdszszx,-847
-182,uscoqsuwkn,60,0.454,fsbvurrmpf
712,0.435,wytnltpbsa,khhvcyjyaq,-0.054
-900,vocohdzsbm,0.43,0.378,vlxoxrxgbo
250,-800,seueuzpwye,psxeqkntej,fatqglbtfz
CAT,0.2555,-686,jxaidwwyoe,DoG
yiwcihtukh,0.1625,zcuyxhfqtn,skomzttnvw,-0.028
xlgsjgamfl,0.184,-219,cat,0.2335
554,-776,-0.236,-879,0.038
fokszvljpe,0.3185,DOg,iagkimwjtq,0.302
zldnuychgg,222,-0.1205,algxdkahzu,spwzlrhfqe
-605,-0.044,-679,-223,-581
onymlfguuu,-688,cAT,-0.345,yrdkqypvhh
dog,705,xtyjgybqwx,-553,DOG
623,wazydieawu,CaT,-230,keiltivmkv
DOG,665,0.0305,CaT,efzydneerk
-912,-0.4845,-96,890,CAt
59,-294,-0.4415,-191,yqhfraszrx
doG,DOG,hudvxrdzyb,832,netczpwzap
Dog,95,twgxybpxgl,ycecxrtean,-0.0055
0.018,rskpzcadps,xmxduiacmh,0.209,apvdnmivbo
117,-0.453,0.4305,-208,0.318
oyoehiazll,-620,dOg,-0.127,-0.275
tciedyjdbg,okwijeadag,inbbqqhytk,megrwvnajg,-377
-0.117,523,hgkszgsjki,-817,cat
tlgxixrrxz,-0.4635,0.497,xkkfcoelmu,63
CAT,cat,wtysumpqvm,0.363,-239
643,-105,620,pfvdgpsynp,298
-0.2305,619,0.029,pxgfnovnbp,uskvcbvgwl
wcbpohoxzn,-0.2825,mmkeoyxhdb,-0.351,-0.162
-894,223,0.2215,894,kxauvtrkto
eydcnibzrm,0.1205,-0.3365,nxtxyujdfp,0.029
0.3165,0.2395,cat,-0.0935,cAT
