shzwkgpblp,mcewphtkjb,eyxspwagpb,nawzybyzvw,wdaacusxrn
efcgokrvkx,-0.2705,dOG,-0.035,301
udcnwhxmtm,CAt,hlowrppcao,256,cat
gonukhfzev,0.1055,autjuzroif,990,-0.055
dOg,738,558,864,0.24
jlknsbegfr,voasaimkki,uhfkemjvdh,ulescfwqqy,cAT
-0.1585,-234,-104,-949,cAt
CAt,0.457,-919,cAT,Dog
DoG,249,-726,Cat,-0.453
-721,dOG,0.1205,zfqszxjtck,msiqubibhf
mgeopleuqu,ilcstqlecb,nujwucrqbw,DOG,xvtznibqys
cat,0.0305,omaybeyung,0.3225,354
qkomyrffsd,fywmclqzyq,fjlwptqagd,0.017,cAt
kjgbrceozt,-0.061,-0.3885,0.323,fmnjkbvnzt
0.4975,0.412,dOg,hiozrrblmb,-266
dOG,762,893,gkstrepdju,647
516,hsrcoaelum,dOg,-38,0.4015
uzvtegedbb,32,dog,449,jgzrfzxlpj
vgcobtdtky,0.339,921,-0.4815,DOG
-0.2525,683,0.4035,ujpwaqlbim,77
-688,mnwthjykui,-982,-232,aumnyomsuc
Dog,-0.0025,0.319,lbgfdqapaz,0.3195
fqoykdeupv,ditmudymwx,-985,-0.163,qkhjgecewq
658,-0.1425,DoG,Dog,-0.3605
0.34,0.428,mrfnckxxqx,0.014,0.1685
aizjdohghi,222,ouqdxapgzv,dOg,676
-195,jghtalzdyu,snhpwynsvj,-0.2935,CAt
277,ffhqkojyts,usqdbzfqwb,-0.281,-0.2155
nlvwusfgda,0.003,-211,fnopoabpwa,wholcrlzhf
blbpqyzlka,-363,pbuvzvsgkc,-325,-0.394
-620,-0.4175,302,748,0.321
-552,283,0.476,-0.2625,588
0.3595,sloznjmtmz,DOg,Cat,-0.1315
195,cxhmslkcdq,iwmdoznkrv,dsmoypilmo,-661
fgmeaqntte,uyjszvczxx,ezroyhszsk,-0.054,xntsbpopoj
bwnfaxrrcy,-0.3535,0.1165,-934,euhyuuxspe
-275,-570,590,-173,320
-0.4305,574,-0.015,ezhbuqignz,doG
19,sujozbnawi,0.4075,ldzuqigugk,caT
-0.41,0.1315,vfhxcxtfiy,18,-95
-0.4225,shagnboxhn,0.4485,0.435,CAT
0.282,kinfowkkkn,-0.082,fqsugyqycf,-0.0335
qrefwesaxs,-697,-797,jevfufpgxd,gwlidndhcw
