gsobqazjvx,tniuedehyf,tyfgyrijve,mhnkxjvmkz,ociwggmrsh,tyhnbpflui
210,560,-106,caT,-0.13,0.3475
doG,-0.4165,-0.1455,dOg,cwqyvqtluc,-0.3605
-183,71,0.4955,cat,caT,onlnqdtwko
-141,785,cat,doG,dog,880
cat,-340,ofdtrmjbcq,572,dog,0.2065
rdangzjvaa,0.1905,472,0.284,cat,Cat
szdpfgxtmo,DoG,dOG,dOg,362,0.4925
0.35,29,0.043,0.3255,-882,-723
-340,wkwuqqahqr,njtjiwbson,0.1405,cAt,nrvwjrxjut
arrqqvvwij,kqznwlicgl,-0.0885,-474,-0.1555,DOG
jdyumdxquc,606,-796,0.029,0.409,zwhfaakebd
-997,-0.356,-112,hrlpgjitqn,454,doG
DOG,2,-397,jnpjjyofkz,aobkrhgipt,445
668,yrtuuplldq,itldxfxvbu,-0.339,nbsnppzbjv,0.026
tnjdbhpkic,ivwojqubjf,-0.179,-0.1295,-0.2895,-0.187
-0.2455,dOG,zudglngotr,865,cAt,zxzvzgwkjm
-259,234,Cat,-283,0.0855,atbqmftwdc
855,518,fzsdsqcuvr,hrgvatlzat,783,0.3145
-618,-564,-551,CAt,-0.3485,370
sdgkzcpydh,dvxfnpjbpl,0.105,628,dog,cAt
CAT,785,-469,ajhyxdkhgs,776,-0.3655
-650,-0.303,inwuqkkawa,0.034,DOG,962
-891,rcehufnamz,hmdibojdtu,0.4485,ebisjskqgg,hamvhvosuf
ceuepnzggf,hlujnnefqj,-0.415,0.442,-0.3725,-0.361
DoG,-0.4605,CAt,732,yfutfmoisb,-877
741,282,-0.438,nsubqbxqcj,-287,ficzvmcwpt
0.309,tqweryxpfg,gytgmizyvl,cat,-385,0.4465
bopbwxrnyt,-985,801,Cat,dog,-0.309
0.3715,cAT,bmfdecdqbz,-13,-926,cAt
-943,-0.1415,-0.404,kulxcsxnbm,-208,dOg
-321,953,0.361,caT,bhontqleko,116
607,CaT,-95,dOg,pwqnmvixcc,983
qmmequcvhh,Cat,vkhwulzkki,0.4765,iehvktxqxd,Dog
-551,128,DOG,945,10,-0.3995
-0.0735,816,199,258,955,ycolphlbnt
dOg,0.0465,-0.2825,DOG,-525,105
-0.3125,kbaupoywtd,cAT,-0.143,glcqesawvk,cAt
-0.4185,vjxeeevjkg,0.357,ygvnkmfqzm,-288,-16
CAT,CAT,gpbabewqbr,qgrregadhe,copkfldpyf,clrnybocym
0.206,-535,tltsvnvuee,xqckfokpyf,dOg,0.066
vtilxjqnml,tdmzbnvwxj,524,urtjfrkink,DOG,zieyedvatg
yzssyftwua,jowolfaccw,-224,czyuvaiirn,lrimxnynlq,-822
0.4445,buoulcnhbs,0.415,DoG,-0.4355,-0.3635
803,-577,467,Cat,0.1115,DoG
468,sszgaizbdc,zaitedgiib,-989,zfiwnujwti,0.3995
-961,dOg,-0.3715,-0.0255,0.059,ukcxfiumqj
255,cat,-300,432,-0.2665,0.37
lhulnodvza,DoG,0.1765,CaT,145,303
0.027,737,-0.2195,CaT,0.4475,-0.225
cAt,-600,lbzensveeo,dasubtwkcv,-186,onpbdyroyr
kmsjbzfgrt,zejekpqsdw,dOg,-0.1965,dOG,asoivmgfyd
kwllbdjzwt,-0.2935,-0.432,oaokjdubjs,-296,0.2085
-0.4195,0.254,-667,bhydrlajio,CAT,-0.0905
0.2775,60,-322,-445,pilmeimmxh,annwiegzkn
143,wkvmsaydok,347,0.2225,0.3295,-0.1385
cAt,tewqdykltz,-0.466,CaT,awuvpbjjsa,-259
-597,0.185,0.1985,-0.202,651,ctyiwfysgu
cAT,wtrtbvogta,Cat,-140,vcncrzcayw,pexhcjjwsm
thialqtkyo,cxxkwthevu,oxxeggqxju,dOG,-0.1145,ohjpknuypr
djiskvrslq,juhumskypg,Dog,0.1495,-285,CaT
doG,-0.2705,830,-0.0295,-216,0.117
pyzftfhlwn,0.316,mdwhzfcbgh,Cat,dOG,-536
-0.34,-354,DOG,-965,819,DOg
-827,ubhcpkreun,-425,caT,0.4,-943
-0.268,0.146,678,-0.123,0.145,988
DOG,323,grvdfmabyc,-0.32,qfntnudzhs,Cat
-0.0605,dbddhzzixn,-0.424,372,934,CAt
0.491,hxtgjnolhq,0.301,ajclutalay,fuzwhkpmmp,-100
CaT,-0.183,0.391,-0.4045,rxuybnotvh,kzpxekdrjx
CaT,heblqbmszh,ioqeecspyq,-0.195,-0.0395,-67
bgrozecjqp,-531,-375,inwoimqsoi,-980,329
CaT,-0.061,-0.0055,vhetxujpwp,674,-451
giimglibxy,-10,qfqydwzlvj,454,0.483,ypxmmrevlm
146,0.3975,rkdwbufgvw,-0.3145,997,-165
-0.0655,0.007,221,-70,-734,-895
0.4295,54,dog,cat,cat,Cat
-0.4835,839,467,-677,0.026,cat
0.3035,86,-0.3555,uqimqyknov,0.114,cat
0.2035,0.073,-0.3045,0.244,-0.3295,138
caT,caT,-285,dOG,225,qrpiulnvvg
tuiqocbojq,caT,0.3505,CAt,cAt,yqetzvdtkh
cAT,-0.141,592,vzterxelgw,eecxrxhapq,-801
cnxpdzbkfw,cat,-0.431,0.12,-0.062,-789
bfgkaknlxp,0.2455,bodrusejdp,887,dog,eubsrwcdjp
281,dOG,tzanwdiqgp,qbdjncjdnw,-0.3315,rscegvulsu
dOG,-111,-0.314,-255,ikuazzhbmm,dog
rxoguowpzi,xfjfspxjgp,Cat,-526,-844,380
