rhulwamdxf,yngpcsgzes,ednlpvoyze,rxosikcfdo
bneivbarts,zizkevakkq,eqapomcrzv,rzkvvgtaml
torvlcdtsj,0.0965,gdpzrdfapp,648
0.231,-0.0795,cAT,djqmhmrwxz
cAT,-472,-255,dOg
0.114,0.458,DoG,DOG
0.413,Dog,dwgmpjunsn,444
-0.0995,vswuyvxqzr,ardwtbnmah,qrexzkefag
bnrpjsjmus,-439,cat,caT
CaT,hadduvjfac,cAt,DOG
iaevhotirn,cAt,mobhacdlyt,hxrtcumweo
Dog,CaT,jbpgcjpoav,-47
xllxknbove,-584,-0.345,-875
DOg,ycgymmjkep,cpqdtqvsyh,0.395
857,cAt,495,qixknimxfh
0.215,caT,0.369,kxpwrseyzb
ysjyaffdir,CAt,DOG,eccnpnbket
-739,khyddeoupb,caT,DOG
542,0.0585,232,-146
898,-0.3955,0.2535,wgnfduupys
-0.174,-0.131,jmrtyugoym,950
887,xcwcfxuydd,CaT,zrsnuwfzgf
