pet,bpjuosasxs,wfhintlymt,efrxqoofqv,jhqnooctjv,hbwdolaxkk
cAt,-0.239,-67,lobravtuzv,eqxffqeqfh,yzravpvnqt
DOG,0.404,kctxeaipfu,0.039,0.173,-0.4745
767,0.342,ckhlfpumqg,-0.175,0.314,CaT
-612,-0.4595,-975,-0.0715,dOg,0.131
cAt,-460,0.088,-0.2245,-0.357,0.4115
dOg,-0.033,essuouynio,472,-0.0315,-137
0.136,0.3725,-325,0.144,0.2615,CaT
CAt,ynqgpgnfwf,DOG,DOg,-364,-654
-0.1795,ikmcwvtxnh,-0.061,mqkedwismj,-0.286,0.207
aghxqdmuuw,miwjnmganf,-200,0.1585,688,644
832,-0.4995,dog,agdobzdysa,-0.1115,-406
DOG,-0.2065,envulwnajj,-0.3865,-430,288
cat,190,-0.141,-0.3705,vuaoxofrod,0.088
caT,0.3745,-645,230,Cat,0.1585
DOG,-690,cAt,-80,DOG,-0.1335
Cat,-0.3175,-446,alhminzjut,kzyweatdnl,ohxarxpdmw
CAT,727,-0.4045,-0.188,dynxzsxuec,396
DoG,-0.2225,-91,gotfktaozl,dOG,0.142
