awtbadkcdq,zltdtydtkh,vztrnmjlzx,pEt,rvcxpaqvmx,xetgfquxmb,abfbvsswpp
0.0605,0.498,642,-803,-475,-266,dOg
0.1115,doG,0.449,Cat,wmjykxdaiq,-854,377
pdouuqenys,-736,-109,dOG,671,-229,lmtkcdsfgb
lgkcyuaexl,CAt,ciickmkcnb,eqjurenmut,-574,ruofcuzwtg,xxbmytzuyn
uavacytntt,cAt,-0.462,dog,-0.4895,0.0285,ontydrpggf
nlahjhzzny,-28,thoesnwilh,CAT,-600,-210,cAT
fcradbvdtd,dog,-182,oqewtsnkbi,cAt,-0.2555,yhgeumrhqq
gykcoytrfk,injdlnllxx,cat,0.479,dOg,rxkqjvmsop,0.4725
qesakmhoci,caT,muiekrlhig,cat,0.074,djcmybycfy,Dog
29,-0.2305,wsddpqlcej,cAt,0.1105,-484,-883
0.0635,cAt,-0.0745,vnraocomwe,0.0935,pathjcfyem,-135
wfenxewkke,CAT,-506,CAt,kqjjuqutvj,bcbvprjgkc,0.0405
0.4125,swbnibcypc,0.1775,CAT,-0.2495,-0.3535,cat
beknlgkiav,-986,0.0325,dOg,hknrszhkik,doG,kofgapwnwx
cAt,xmcweulfbn,pgfukfbvsn,Cat,728,dOG,-770
0.176,617,spvoeziutg,dOg,214,CAt,684
0.154,235,doG,CaT,-0.156,-860,-42
866,-0.2565,-0.239,dog,doG,pggsxkkbdj,-0.3055
168,-104,0.1935,0.4485,488,0.2045,778
trihstssnq,fngihgqobc,0.2075,-0.187,wnckkphmew,sihkjhkcpm,0.3755
yvpzeylmgj,-215,CaT,DOg,hkwfqieksx,DOg,fqnwbbbrns
-662,0.113,-355,cat,avwdupvqlo,0.3645,DOG
0.016,-553,cAT,-110,-0.35,348,516
0.2555,-215,cAT,351,0.089,DOg,-396
caT,sjeywlguml,-0.119,Cat,Dog,0.464,-389
lravzlsfhr,ybgtwgtdaf,-29,doG,renatxinoc,pbfnskkjhx,0.394
-392,wiympqtdho,DOG,-0.404,-172,-508,-598
ioqqyguetj,wsguoviaxx,caT,CAt,CaT,lwmwyhswlb,Dog
-668,xvazdpptae,Dog,CaT,cAt,-339,-459
654,0.2635,0.388,DoG,0.285,DOg,690
oyflsyqsrd,cdintsyehy,-0.281,DOG,cxtjhqqfku,98,-0.3165
zcnccuteuk,-878,-816,Cat,-0.3845,-361,eivlzxdagn
-0.1575,CAT,blqtxpvjbj,DoG,cAT,949,778
cAt,psdboxqmxi,-136,CAt,CAt,370,-887
215,wfvqknptxm,-774,cat,373,0.0115,0.403
DoG,joqdcghjjs,803,mgviiwmzbd,CaT,505,npxkbxmwfv
ntcvduvuey,-0.1765,-0.3985,DOg,dktguxeowz,zzhqsixcof,33
mbsunqrdnt,tsgezbrrql,965,dOg,-128,qviqidchsq,szgorzompd
0.0945,-929,cAt,caT,clpevholbx,-841,tcbigrzfyv
CAT,923,caT,DoG,786,hcdmlzyous,Cat
xsjsjkxprm,kimoqsgsjq,-889,DOg,0.4375,tbtzxfrfox,ihqotzziop
DoG,cat,usyebzxrtm,srqjmpxsjn,bpmqtrokte,gspizkhegr,-0.091
-643,0.2875,-0.155,DoG,-353,-339,950
nxwzbgifzo,-703,lhwxxftcll,wjpekudava,0.3085,vcverqbedm,686
rndqujrghw,DOG,927,DOg,-0.228,CAt,541
256,156,cAt,0.3245,0.419,dog,doG
Dog,cdhhfiqkga,herlclrdzv,CAT,-476,cpbolkccpn,0.323
fsvyugjzwt,okyzkzihtd,asaheupdsv,dog,0.476,dog,-490
0.197,-599,ynlfiejpdw,jtxflnmchh,DoG,-656,-590
0.445,77,0.3995,doG,-0.456,yoguwesimf,-0.1255
-0.288,uvncjjodqz,413,euddxaapzf,CaT,ftonzfrnyf,-0.313
shmpeljlfg,-430,0.367,dOG,vpcsfsmhaa,-333,svzlajoyya
0.4805,-675,0.412,cexctpkovz,lhxsjrvzub,myrhatcsew,-533
0.084,caT,-0.0855,CAT,-0.4695,caT,nlfxjuxrxp
-449,dog,caT,cAT,xjzmholios,-965,nxovckiprs
-0.0655,Dog,dkqtxhvloz,CaT,dOG,njbyltpupt,-0.106
-54,0.4715,cAt,CaT,dOG,0.2955,663
-0.3045,kjqjtrolng,-143,DOG,-0.3535,0.3205,wuhvpkluqe
0.238,ktnqbkgihm,swhrshnsuh,qggcpmvnqo,mgaztjwori,DOG,xwwmvigfyb
