qtnujgwgxm,mvvigqidje,gjxonzyiul,tanrvhkzqv,pet,riomxeahmg,ybtadkkfbd
-0.135,-0.285,-0.191,vtjzazrypi,umtliekyfn,-478,dog
kmccnsedbr,752,ieokckhbne,jvwjcmuqqu,doG,scwsuhiztt,285
129,CAT,0.1125,-0.29,CAt,CaT,ofofcwrgbw
ecmvmaaetv,myhmxrrslw,gmsmzhdoqs,0.049,0.076,0.06,149
577,CAt,Cat,-46,pzmurbjofk,0.075,cbuogitrxk
0.4965,0.0955,lphpxkpsyh,wrwvfeilye,doG,cAt,cpajzwidal
0.2035,-657,-990,-985,-0.0585,-0.107,cAT
-0.1885,0.194,xjwgkmcldg,0.166,doG,0.4865,274
umcxrtfdqo,-150,DOg,gzlyyvmtla,dOg,lrwftelmmr,cpuwtrrrwg
557,0.3735,ztokngijwk,Dog,683,-0.229,345
bpgtbprhca,pyhotmdldf,laussttnxc,qrfrwexsdk,-0.0585,417,0.1335
zcgtpdrllq,-0.445,-629,-0.334,mppimhyfkh,CAT,-0.3575
982,862,-822,Dog,dOg,mssnfafsye,cvckufpnds
pfntkcrgje,cAT,0.299,175,CAT,doG,0.0005
-0.3325,980,372,290,DoG,dOg,mxfjlxvwpm
-0.0965,aosohdpwsx,ibidntaafb,836,CAt,0.4195,0.2755
0.069,684,sbcfyvdmex,0.21,dOG,DOG,CAT
baoknuelbx,-0.199,-0.125,-0.2145,CAT,fjstxugcvg,911
0.278,-0.216,-917,-638,0.2005,0.191,wjqelslufe
-0.405,-211,dOg,-685,CaT,0.0005,squqvuydwd
kinrykzwmk,kwjollyrpn,-187,250,dOG,cat,rrufvppjzm
caT,gyptzivgqm,874,pucpzobrjs,CaT,submgjsrcg,dOG
hacahxssun,743,968,0.133,DOG,cAT,983
-269,-584,vdhmmqmlau,extcxgsqxp,CAT,dOG,780
-299,0.4285,jrmanapyhd,-0.382,-839,iptkszesqf,Dog
umugzkhwhy,ojxiwsffjz,ttekjxdixr,0.4505,CAt,doG,-0.299
-0.279,DoG,-385,80,-0.3935,-874,caT
-0.1805,CAt,-321,CaT,CAT,-128,-0.252
lrhqoxypgc,CAT,giuwgffnlm,0.3085,Cat,nircxrulpm,0.4
DOG,182,327,-865,DOg,qgtncaojbd,lochngjhom
hynezmluak,241,pyxwxzjegi,bpmnicqywx,CAT,-654,-721
-413,-452,686,576,CAt,-0.31,901
-769,jjxhdphazr,-0.077,-13,-474,-0.1495,Cat
