tualqdobfq,fgthowrpuu,xjmkmkpxrf,tfarldesvk,vhzyacgxty,apkxofbdxa,rfwtqlugxz
-604,hsrmhpbfhd,cmxqykslmu,0.04,-617,-0.4045,psojqcepqa
472,ffjdeqipzy,-2,-0.225,0.3475,-545,-0.3225
0.334,eebruzupdm,ophgclnavc,0.109,-0.2245,-841,mbdtuziwyu
0.232,282,0.2815,-0.357,533,-0.227,DOG
yfphabfezn,617,zodjgoujze,732,0.052,-733,-98
dog,-176,0.3085,yzlaatnhpk,0.2525,cwnfkuvqbj,diukxnmqnm
zajrkcyhux,zgummvpagp,cdgqqxbxlv,dOg,991,vwolmrmorq,-688
-0.0055,cAT,aldoinndew,toonjxlsdl,imwwfzbsnb,0.4705,47
0.158,-735,0.129,-0.325,-0.278,caT,0.2425
-0.183,0.3815,ozpoxdvuzj,-0.1485,759,avjsaygeeq,-0.365
-0.4245,jphevjgudh,CAt,oavtlagcjr,bfuckshukv,157,cat
0.4005,doG,-741,-0.2495,nuaaibrzwj,-0.127,dog
qelwutusuu,zbxtniavrx,-0.0175,0.3655,-0.164,-853,keylqrtegx
-279,-0.087,0.128,-0.4415,caT,0.309,495
ccbjhbaekh,-0.1075,-0.4245,Cat,-679,qojtlcnxwz,0.164
dog,lfnkqqfjll,ebqvsrqpec,193,-0.242,0.1965,-37
639,829,CAt,106,0.2925,844,auvlkrbjwe
ykjlzqaxon,DOG,0.1535,suhpxgzqqy,5,hutdjetqtk,rmoodcxfco
fedzwdpslo,ahxrmuhovm,0.419,-874,-0.2875,-0.315,-989
718,wwamfuccpu,tdenyjxhnm,tkedrpvdkr,gsorqizaph,ngocimpcwo,-728
934,-755,-0.2305,Dog,-0.1555,869,-0.413
-0.0875,cAt,0.37,0.0125,0.447,-0.0385,-0.4855
CAt,ytblmmyspw,zuzbdlsuhc,DOg,kbkjnyxpmc,-26,-0.1775
hrcpthcvfm,-932,djemvxobpd,0.326,-0.167,dOG,-0.3345
-0.1915,kdjdhuxkfd,101,patyndpwvb,muvvzgsxhw,0.386,doG
128,omyxpvtdwn,cAt,0.1905,tcpxkwwwfe,hxsglcigwn,fhjsqbqxar
-184,0.37,-884,0.2465,ecjrihbmut,dog,0.198
0.3545,-0.2705,899,taguackeum,-0.4815,0.095,boqvjavqpb
kqigffnjdg,0.3175,-0.2645,-0.141,-475,dOg,-31
422,yamyfyaafo,-551,-562,-0.3795,-0.064,jcmyrhwmxe
524,0.0315,Cat,-0.2105,mpurjbjdok,ejpujmsqky,tzcaamdbsf
CAt,-0.123,407,dog,zxdorzecub,-613,0.261
jdxcyclqqv,-0.0865,DoG,360,-745,699,29
-792,akyvqgmfws,wlovmwcyie,hnlcxuveoy,226,dOG,0.1875
CaT,-734,gdhmkcosut,mxrhtkfpxe,159,-0.3645,-0.274
673,-520,-399,-852,-0.437,Cat,0.1725
qdufkzipwz,xzqlqoolus,ygsvvaarko,jgqhsckfrg,hlmspmmgob,-0.331,dxwachsvby
CAt,-0.3405,986,-0.099,oykzxlvuhg,-319,0.1965
-0.2265,iudffmxqhz,-516,62,-309,-0.1735,DoG
-325,hbwxscmlhl,cAT,dog,mpqzwpwagt,0.1975,0.01
