mafpwykxfq,dkgktsdlni,qlsbvuoizj,ofxdmpersu,hjfljhojqy,vmqlemfbfv,unsicnnrag
-202,-0.4765,0.041,-0.32,-0.069,23,-830
ynssadwpob,-0.3195,0.341,-600,jdftvizenv,-442,-0.0475
0.3445,ymugnoyrbn,fwrbajnhbe,640,-508,trsozzhgou,dog
-877,410,CaT,28,-663,-835,595
-332,jaisbrteto,0.057,jxzijlrhvs,-0.3525,-806,0.349
gcvvyswmwi,-0.3355,ucqomdxzbi,0.207,0.1615,-0.136,enndnjonsz
905,0.493,0.211,803,0.4885,-970,Dog
-331,0.399,dOg,-483,DoG,Cat,-0.0645
ynvtyizqbi,kohfmjmlpf,0.011,conhthnhga,-0.2165,866,lxxmjdaxit
0.4795,effpvpkhhw,0.176,gyjydvyvsx,-551,-51,0.4015
959,330,CAt,396,244,0.461,-0.412
ysknpybpvg,dOG,DoG,zucpemnpkn,261,udqpywtedm,qtwwtazsoq
dxcgzfymho,DOg,-554,0.1825,933,0.173,dOg
cat,750,-115,ekdapfvwtu,-0.261,-64,ercxooxcop
bjvovyrxpj,DoG,caT,irjvfewydw,-974,0.295,-536
-589,646,hwqguuyoar,zzaodzvqqp,0.2375,0.0005,xyhrgyjoor
618,jhzoarxcsu,cat,-679,-303,-0.407,0.4395
-0.4255,0.098,-20,508,cAt,0.4445,886
CAT,-0.021,jjtcnvreyi,ymrfjwnuky,339,yeadpdpfhi,dsqqudzuuq
ouyraosstz,0.428,ymrbjhupts,-206,pufdetdcib,605,cAt
941,dkmipmmvuf,necdusyqmr,dOg,-0.2395,CAT,-565
dOg,-526,863,npwuqpnmck,0.0585,tcdpzxnpvo,CAT
dOG,0.445,0.4445,0.479,596,-0.466,-0.395
vwnmfrylgl,-0.192,-0.2645,160,469,-0.3585,dkiahypgyi
-533,502,nffemcfkvm,ntivxplrrn,-642,-326,-0.176
-0.2555,DOG,iujsyeiivc,-564,-469,0.0275,-692
tvsqnqjwyr,205,750,0.2425,dOg,-387,-667
DOg,401,CaT,Dog,0.055,xqeeehqxns,983
rvzatfwimr,cat,oecsatezfh,-691,0.2295,fsgrnsnatj,otzliizbuh
-868,xwpeypjykk,0.1625,-0.0595,DoG,288,pkhpqjfllf
112,-579,lhuowwzhzi,-0.1485,-0.4,-985,-11
-0.1815,hrysuinhvr,cnmqdgagut,-931,-801,-861,0.084
qhbhhbyfau,400,urbaigjihc,-0.305,0.4905,gdcsddnuhe,-516
-0.433,0.3895,cAT,-217,dwnastomlc,gtqvqeizqt,0.1685
ozjiwwnwsy,Dog,xujqylqjle,dOg,962,855,-56
rhndyfxmqq,-862,ltlyopxyub,-0.182,xpyjvupytn,ljveoamsfv,qdgpyhhmsi
845,-969,oossjywnkm,0.144,487,DOG,-334
931,cAT,-0.139,0.4015,-99,DOg,vixcoknbou
-381,iexgkffget,-648,783,Dog,325,fhwwdyvbxc
0.161,-0.1305,-0.322,-0.189,0.344,doG,iaftvevulk
777,crkdnlwnxq,892,yqpgnjzyqh,0.03,boxklfrayk,-0.2475
-800,-542,0.4165,800,-60,-903,-0.468
0.2175,mfkdmtvozu,cat,cAT,DOg,cat,623
eseskgmgay,934,0.207,657,cAt,-175,-398
caT,Dog,0.058,-0.321,mmmeouvcyb,vtcdfgbhjb,200
-695,0.174,416,392,-0.146,CAt,-732
qjmydzzntv,gimmkyotis,chnmfmfdwj,-0.4015,-90,845,avffyeawyn
vtasbjnbst,60,dxmddzhlbf,bqdvvbhugq,0.139,638,0.1315
603,-0.4215,882,-0.2225,-54,cat,ieqarizqil
-197,xdgkkzrgow,bxzphoumiz,qipgtfawqp,0.4155,dlhplsoybg,-870
wmunpuckao,-313,790,0.2365,CaT,DOg,-549
bkkfhcnekx,-225,384,0.046,0.079,bximzqrmpq,905
-0.3325,0.3255,695,CAT,dOg,bbzfbivhyw,dOg
tgypiojdfw,DOG,0.2635,743,-0.4435,-822,-0.2445
-0.1195,-7,calbwcbhae,884,-27,amrhlmefqj,-0.246
-0.3425,CAt,795,0.444,-888,wavrxmhzpf,-0.1215
0.21,fcnzdzolom,gilulkfmci,0.2495,ijkydugrvi,adofkvjhdk,-605
-0.153,bdylhvkaee,dhejfflrzl,cjdpcacmao,0.327,-175,CAT
-0.304,-77,993,DoG,iwkltebyjc,-0.3775,0.226
-0.289,tqqexaxwpo,kiqqkyvijx,-283,svxojgvmnt,-56,vhhmhlufrb
qpycllrrui,-641,-0.0855,-0.204,0.0775,0.4135,hpkjwiwfzb
-815,-105,83,crwhfbkufk,275,850,caT
0.243,0.3625,0.4735,cat,cAT,Cat,0.1845
-712,DOg,-737,623,nhalcqdwuv,718,cAt
255,41,-411,DOG,DOG,cAT,766
-0.1445,-0.388,246,629,0.1255,0.052,hrslcmrvme
495,46,DOg,556,yuzagdbrfi,hsyiaakhyi,dOG
-0.464,882,kozuwksawr,0.487,0.478,-0.295,0.4015
vrzcoqzpnb,CAT,cat,317,mgkxziujjv,0.2625,rtzlsgknoz
737,CaT,-344,rmbwukjjxz,idpwnbkdkd,-0.155,-750
834,168,-979,dpjioerbli,-0.0705,ranxezjqah,dOg
-0.3495,0.14,0.0135,dog,0.1555,165,DOg
-0.3915,469,cuikfgdzjb,jtbxzlqsgn,rozuhmpvdf,0.032,pjrlbqeafe
0.495,doG,-0.46,-900,CAT,0.046,xrhmiqwdgk
qtgvpxnpki,-82,vhovzjgmyj,872,Cat,731,wgtxwazqzn
374,Cat,-0.3345,-0.1625,666,aatazuligk,178
cwmqlyaqiz,pfqijjopzr,cAT,cAT,caT,-0.267,-0.161
fkqjutppro,917,flpalfijyj,0.379,-660,dOG,ixcdaunvsf
122,zwkkqgawdo,-0.1435,503,abfgnebqjw,54,0.1795
-399,ozprzpzbeg,0.427,0.0505,-751,0.404,npwzygndtx
0.49,0.1405,-0.187,-0.0075,681,-0.1015,-124
144,-45,Cat,dOG,80,DoG,-0.0655
-957,dOG,tikppmbcdy,-134,-0.4065,-40,-0.214
dog,0.251,Dog,-0.3095,fhsypsbjik,0.178,brgeqwdmym
cmquiuxuct,348,DoG,-77,zggclweqbl,-228,388
0.251,988,dOg,-864,-764,dOG,CaT
-437,ommsixrmty,iflqouivyi,cppsxbtcce,0.4195,xoxppdwnup,759
ltslhbybyo,0.286,dog,-472,CAT,owbrlxksgs,dog
-0.1395,0.4615,cdrfyonwwy,298,dOG,442,-588
CaT,772,0.3815,erpckoemwx,CAt,963,-0.4905
-0.139,69,-0.17,-0.2515,746,-454,DoG
593,kuzlzogwzv,cat,458,cfeqstijnf,-0.4625,uctazasfcx
