qacqzubtap,kqnxevualz,lclyoiuzfs,bneusdvtci,PEt,ykfflqzdcx
842,nyahiqalbh,688,doG,274,-0.445
0.169,qcxjnekfmd,doG,99,dOg,ztruwichcv
cgmxjxfwmt,xzyzzuocyz,-306,ysjrcayrto,DOG,346
DoG,-348,900,-0.067,DOg,203
13,761,611,970,CaT,-548
cat,dOG,526,mfftulhqrq,dOg,0.269
caT,dOg,-0.0565,614,doG,zdktmgtxob
0.3665,rpohgcfvwb,aejuyehbbq,nbbncwgmmk,Dog,voxwziqvhi
dOG,-0.039,940,-0.2825,cat,caT
-0.118,nonyasoeyw,cat,CaT,qsjhokidzy,0.226
0.441,lukfasgtec,-129,mudwqqcszo,33,alhgipseac
26,sfxcfiggzb,-0.1035,781,tmznjyqrhm,jspdesqueu
qfripirieh,qjkxelxwfb,rulcpbtfmp,-583,CAt,jiwbeowddo
Cat,-0.1595,-0.36,417,-0.147,0.322
aozypignpl,djosmdweay,976,frzkrotfdz,CaT,-736
dfdmuukmvz,-0.3725,0.2315,0.0055,0.0615,tydxtfzote
kiddgoofgn,xgzstguwly,rcykynwlye,53,qmevqpvsra,0.2775
-0.2015,CAT,26,-0.4795,brdcicfqap,cat
-792,866,-904,fdkwzdnuex,CAt,cat
kkmklyodyx,435,dog,knaahexopr,wckewhitxy,-0.3285
125,jefazpygvm,blldbgeqcn,0.3955,DOG,Cat
0.367,spxbrpukwh,753,uiktltlpsc,-0.404,349
-0.35,kozvqlfhcm,-988,-0.1155,0.212,ntkcuyfxqn
-0.1415,602,CAt,bmihehlwgr,bhwecylmat,-0.091
zczagcuvgn,514,llecxzfctm,-0.366,ctbawbhhri,cbhjythvlb
-992,wnrlvqzykf,0.231,204,Dog,-331
-0.006,tclxjgqtga,ribichwhav,caT,-546,wdssfnnhar
CaT,461,576,-69,caT,rvazgmiayx
vgewksvzgy,-0.405,Dog,-0.2405,dOG,0.069
-156,hbtbunalsy,-0.1405,wxrrwiprfv,caT,atklcppvor
0.1265,0.411,0.49,-0.088,cAt,yakrrveuef
oynvhpkrkq,0.109,qwcgaxgukn,dgnguweiov,Dog,0.1325
0.2875,cAT,ukwlqjuppb,0.253,dOG,213
