ukcuaspoam,yxbnoewakl,nxioyrjpwg,asahhcocym
lwwejvtceg,-402,sipvzdvtrq,djrycnmczv
61,-826,178,-0.2985
sgytaeezig,DOg,754,cAT
-0.3365,dqvoqtvggx,-0.108,jwkizejqjy
wyqlirjnvs,-0.399,-0.1205,-286
0.1295,qvhdcgojob,0.4375,-400
-0.4655,-0.294,-0.225,dOG
0.181,caT,637,-0.3855
-0.464,-0.475,-611,owzclogdvm
373,cat,dOg,-0.206
kweqysjroz,CaT,cAt,-0.0855
0.3165,cpzzmrbswz,hjfocvgnki,zgcjicegxp
odkijjfpms,CAT,-745,-567
zcaqvuxqeb,dog,-0.3735,-753
rdudlpaszl,ehjxvndxjc,-879,74
yzptbjoisl,-150,okkfbvkedv,604
-0.433,-652,0.28,-76
-0.4675,443,-783,-146
fxdpgziwpb,cat,-0.022,-930
DoG,cAT,-0.0275,448
CAT,-0.2645,254,yolwcxzwjl
Dog,-849,0.299,-0.2805
-0.3065,xngsrrkxsn,-293,0.2745
-0.229,mzxurwzxdc,-493,-176
-0.232,-177,0.288,0.143
-76,doG,150,-652
caT,odekgsucqk,-0.395,199
829,frpvrbaumv,cabxfbagvh,CaT
261,-0.0365,-0.1075,-0.258
Cat,cAt,tbogphbxsg,-137
497,CaT,djqolhthsz,-873
dog,-0.469,-964,CaT
-0.02,cAT,DoG,dOg
-0.441,0.0545,lpquolmtrw,bexgbwntsa
-0.1925,DOG,dhkwajfsub,ultoydrxus
emluancwfq,620,992,0.1105
CAt,plxmuijuvu,dOG,149
wrkvrozpph,DoG,755,0.3825
ravmkxbugk,0.129,-977,-205
561,DOG,-311,-0.396
-0.322,-0.0145,265,-917
0.351,0.2515,-0.077,-527
-424,-113,-434,-0.0535
-962,-783,-237,0.3305
153,vucrxccfqe,153,CaT
992,-966,-917,ycuvvpaibq
-0.231,ioeahvchcq,CaT,cAt
solbpjihaq,-428,dOg,-359
146,dog,-0.2225,kxbismhhoy
cAt,0.345,lsdkczgcio,-910
Dog,dOG,-201,bpoleaggsg
-441,505,-422,0.4545
zddfjxljvr,0.001,qouwlfygpo,-0.3235
362,0.195,-0.0895,caT
0.3695,457,-0.3835,-0.1685
-0.3,0.281,13,-0.1355
-0.363,977,vmyxjufenb,-164
0.13,0.392,0.232,-0.096
488,nrwnfcktpd,DOg,0.3675
-966,-958,dOG,-164
dog,0.032,-586,505
962,aycmonfvfl,-179,0.038
-0.479,-885,0.324,-386
wewziehicp,-216,-0.277,xxfbixvcei
DOG,ulbfxchigf,491,-170
-753,0.048,-165,dOG
-0.268,qpwylmcrdv,DoG,0.2475
0.4855,cAt,0.1565,-0.315
tbkvxorhht,-0.4965,-70,-209
-0.4805,hbphikmioh,DOg,-0.4815
DoG,eoszoilhru,ykjqutwjqq,-0.383
caT,775,dvcntkotsl,-0.3465
DoG,-0.3585,-722,qpocpyuddr
-0.252,utjixsrtbb,0.0895,0.263
13,DOg,331,206
-0.065,859,0.153,-0.4485
uexdosnozf,-989,-891,-92
pgozxgsjxg,izxetloosh,0.3875,0.0115
pqkmkqlruf,Dog,dwolmjosia,-0.3985
724,-184,zkrvnwvnup,cujpwalmin
zbfwxfogty,gkbyfhidgr,751,-850
-0.444,blsxgkptde,lpncoagjzg,ghevyiejah
-0.456,506,-0.1925,CAt
juufsqbfjk,doG,819,-0.1775
cAT,dog,-563,-0.106
992,Dog,uxqegwduzv,cAt
-0.4075,-659,ebfgfqazvi,hxkvgnnnhz
DoG,0.3885,vqtsuauogr,0.141
