PeT,droilxvxti,ayqikpzfgs,vqhkshsvpr
cat,-216,dOg,cretynkyqz
DoG,927,-499,doG
caT,903,vsnykmkgww,-0.321
cat,Dog,DoG,-364
caT,-0.302,iwfiejjrcv,cAt
CaT,doG,byalvzmznr,wgrwoxdcab
-561,-0.2925,lxzctmiohk,aecflkiqor
DoG,0.1605,0.457,Dog
DOG,0.2695,0.427,-49
dog,78,-0.3485,0.2055
882,325,-0.0445,rdlqvxmymn
cAT,-0.0155,-0.3335,-349
0.111,660,-967,662
dOG,-0.3795,183,981
dog,-0.2115,0.122,453
CAt,0.2405,0.001,130
DoG,456,wzrrrgflbl,0.077
-0.138,nrlpquvhkj,-59,-839
-552,cAT,DOg,eozgkvfwgi
CAT,-0.344,omwfwxqxpg,306
DoG,-433,408,pmwvltigco
caT,-666,jpfiymccke,dadntfzqfq
CaT,0.152,cztsivaciv,ftaeyhtuey
CaT,CAt,hxagwlyhay,0.418
Dog,439,peqyeqyuke,6
0.484,-739,lunafmfpah,435
cAt,skzuccpfig,-286,-212
CAT,sfcumddttg,875,tkgexspqcw
doG,0.072,btsvntmfbg,ikryddkryl
dog,cAT,xmyesxcnzc,phamjbuhqa
dog,-0.4475,cAT,vwvcsbljwg
