vjcxvbtbac,dpxdwmknhv,caxtfpzdpr,tqrbictkbc,jhcnmyzewd,ylgxaxevuj
-15,jfpsvgghdy,lfztiihsth,-0.4115,CaT,ffzxzzsdqm
-0.343,tegwowszym,0.1505,-0.4535,caT,cat
0.197,0.4905,214,cat,569,cat
759,nqjjsyxbov,50,-0.3785,vltvcdgqpx,-552
0.3075,DOG,xwhqxiqiml,315,566,Dog
ijurqwbzna,-291,wiahwjkabs,doG,503,doG
oxcfwqlrwp,-833,0.0125,-622,wuxztmxwjl,CaT
psajvkisgn,izqcglwtyx,-0.3865,590,rszoubeskk,141
-0.082,-0.495,yxnulofyre,749,crnpichaau,firxqmugib
-912,81,161,doG,CAt,316
etlhcozuev,gvluuqmefb,eccmvhxshh,-509,-74,81
-0.2665,0.053,-0.083,-803,dOG,tbuojwykit
-374,0.4205,488,omfjeuxxss,-399,-887
mjfzjopvyw,-354,exaxmlpwtf,0.119,cAT,mhuqzpxowx
-882,-0.486,-0.2195,-0.117,0.091,0.2275
gszkynoffa,0.177,birvuzbyis,DoG,359,-162
-0.194,0.031,0.132,0.1225,-365,-434
DOG,cAT,jhrpdusigw,knpezssmlf,mdpdvtilkz,281
dOg,dOg,jcntxjnlwk,0.313,rgywvkicvk,gyxwzvjhrq
-914,-332,0.2765,fqdokvhpct,0.1175,-0.0105
doG,-351,gpxxsbhzjv,849,-619,0.1455
0.218,69,-63,blekugkpva,-0.0105,-191
-0.367,tdlevxfdps,381,CAT,-0.038,hpjmlwlzcb
dOG,cyeweanths,0.2925,ntxqqgljgr,0.448,0.204
-0.388,-304,-822,275,lndxsvnrcr,CaT
0.0965,dOg,-0.1425,acetqcmsmq,772,-903
DoG,lqqioldshj,-0.3175,cdaujxcsvg,dOg,110
0.1225,peoyeobdjc,803,cxyjgjiywj,zohbnpaxbr,-0.291
-0.0055,bdjogicceh,-246,0.117,-0.398,0.0885
-0.0815,780,-0.239,twclgobswo,6,doG
44,0.1435,-0.2025,-76,0.037,fsywpwgtxa
wirtyjewoj,0.0515,eyiqeunmnd,-260,0.007,-0.409
qmnqmgrhdt,CAt,jygesijzqu,-0.1425,-0.27,-218
CAt,-0.328,203,respfpbgap,0.0295,zqbctmjdqj
-431,-0.0305,cAt,yylbcddvlu,-238,-0.413
-974,686,aoahuctooq,141,fyulwldwmk,0.299
0.372,-965,sxjjcapggy,-125,0.0605,-0.2385
vvxgubflmp,0.01,-285,-991,-907,wzjyimpjvo
