xhvucexxzl,alfmpsmwwv,pET,iyiinueqxg
-0.409,gdppijytyh,dOg,tkymqfkphg
xlxecoigwc,dcovuwhrzb,cat,ccefzvwmtr
0.0295,Dog,caT,rpwjbctwrd
-0.274,181,tkuarhswmb,-0.104
doG,xkhymvrsfg,CaT,rmsxvkxtam
hyjuqtvgkp,zyckkrvrva,DOG,202
cat,sfpglrrbpp,CaT,tdnyicfmbt
ccoqhwwvma,0.043,-0.0085,dOg
djethcklag,CAT,cat,DoG
sqbppskajw,yeynxfbqip,Cat,DOg
DOG,axrewppncx,Cat,oyvpqdlrpr
-0.2695,865,vsguwhpeyv,btnxeheitw
nijsuskqmg,dOg,cat,fhcjucbgvo
-165,88,CAT,-0.4645
725,0.202,0.4285,ykkkjbrqyn
frdqdysxau,-766,lezpluynnx,-563
-0.4555,-0.337,dog,-405
-0.0585,DOG,-269,gdwuaqopil
-716,drobaqqako,Cat,-66
xhwioilarb,-736,cAT,-591
sikjdsioun,761,dOg,dog
911,-659,sildnnkjbd,rxygcpfohr
-229,0.2225,bldqxjhcxh,0.065
-0.2215,-0.268,993,-0.3025
fykbqruuqx,549,dOG,xrtooxzrdq
-213,lmwtgeaozr,caT,hdsnkwmcqy
0.167,mbrtmktxjq,804,814
-0.443,Dog,doG,cat
-0.323,952,CAT,pvytlgvtge
0.2835,CAT,0.019,nbrzteakkz
321,gxlzcklpgd,738,-0.3045
0.0775,0.217,caT,-0.467
CAt,ihdkxwxwud,caT,-0.2435
kjsfkadutu,914,DoG,okbqysfimx
kzsndqsxpu,cekustmili,294,28
0.2515,-940,CAt,gdyeayizyx
dOg,543,cat,Cat
-968,DOG,szbybjjivh,skqavuargt
cat,905,CAt,xyvcnjeyac
0.1725,grbtxzjsdi,irccqrbbju,0.2085
749,cat,cAt,-0.361
xbpocyayin,zmonelkaiy,cAT,-309
-0.1745,yhjvkiwrjd,doG,-82
-0.1535,-522,-0.235,-0.275
-189,owhdniwuos,potslmqvai,qxzhwvarij
-0.0215,npfziizkaj,CAt,10
DoG,-796,-0.145,wsywblkkme
877,625,cat,-0.0705
558,ofzeuyxzkm,DoG,dog
-153,dwmktbzpst,msevzwjehj,-379
-0.4815,hbyyfkzhcf,cAt,-0.0945
Cat,157,CAT,vdhyboacar
doG,ftgwgjuukz,dog,-938
cat,CAt,CAt,hafltutwap
cAt,rcauyfhrof,dOg,304
0.0235,0.1075,cAT,820
dog,0.2885,DOG,123
CAT,803,DoG,bjrnfeirbt
813,tirsypkywn,orxtpwmtuf,745
qoczxuarwq,iymksugdxa,cAt,fgviqdcrft
DOg,-0.002,dog,hcnkeczanf
evqstkviwi,jrgbqkuuet,doG,75
doG,cAT,DoG,doG
sgemwwfphk,DoG,dog,ngfgzoyjgg
-0.1605,kpwtkgougn,DOg,-0.3925
