ljmrlxhmka,ormzvvwkns,wmfqgjsphm,rlboovqwot,simcrbvbym,wibqlkpgrk
0.0005,shytwkwcmr,0.2085,-0.1155,pxxgzydepf,cwgsdwihxc
hrdsrdifbe,CaT,0.2585,-325,Dog,-869
0.0955,0.1,cjwybguxew,0.198,yhshvpijsi,-0.415
363,-918,0.3715,-486,ijriziykga,-513
cAT,dhbwgrkcsf,ibazkzrkcm,-0.4135,162,468
-447,0.332,wdggxvvyoz,-638,cat,0.124
-582,wltpgldzbv,Dog,doG,iuthlumzbk,-0.2165
0.4175,105,-174,0.0035,-0.316,-0.1305
0.043,-488,vpmxgiqwzy,syafvdcmfg,iasgqylura,kawgguusrm
42,uxmjyboypp,0.186,123,-0.4475,omvuzclmch
0.092,-515,Dog,hjxouzykxz,ybjvylkxvo,nguxfrhucy
crktcvyrkh,-920,Dog,486,-317,0.3715
DoG,0.114,ydlykxwlme,CAT,0.316,0.371
-148,170,0.2835,675,614,yrckvfqvve
0.4725,fnnxddbbec,0.2825,-994,-210,CAt
-419,hoepemmbgm,0.102,402,-0.428,agbfyduabm
-0.222,-0.3765,-659,qrujhfvyph,244,-450
-0.172,zoyxcltdob,uqttfbgwlq,nlpbsloqsa,-890,-0.4605
pckrxhruwd,-0.215,57,-0.156,-0.108,0.117
dOg,cat,-303,0.3705,-392,dOg
0.0085,525,97,-970,tfranbefhq,-159
-140,-887,cjaumcecoz,864,0.0865,0.4455
-514,0.2705,0.1285,-657,DOG,-0.2465
Cat,-0.057,cAT,Cat,508,DOg
-347,lwlyqlolqy,0.0575,-0.0705,twdukrnsrz,976
zrzqptetnj,dOg,0.044,0.3145,fklropvhey,-567
-66,924,-507,Dog,627,-246
0.022,-159,-861,Cat,0.291,-783
-700,0.1825,mecynbbpor,atbehkjjgo,dOG,-0.1635
763,CAT,ctffemebug,0.0905,213,166
-0.1105,-860,DOG,CAT,qcktjurzgi,akuwpjpnee
khvywekhsx,-0.27,-945,dysxrsgcuv,0.241,qkvrnneaxg
-0.073,-0.4975,-237,-0.2315,zesgiozvsj,-0.088
-0.136,-394,577,-0.1145,0.1415,ouqjqdvnbh
cat,hxarkemrls,DOg,edoivelbeg,-256,usiclglboh
-0.196,-0.422,-149,uknkyycchd,Dog,-672
-0.4105,0.4305,7,672,175,0.24
-749,0.4195,0.265,Cat,391,Cat
979,Dog,-19,0.1175,0.08,rdtdudgidw
uqleiadxac,-0.4105,lpntrowzbe,-728,vkrosfmpjn,-0.0505
0.309,0.187,0.3225,0.4265,86,-917
-936,DOg,tkqvxqebvy,CaT,0.0645,awvuiadcle
kdopqtlezi,891,CAT,-784,0.251,86
cAT,qzpplinuvw,DOG,-548,ysntvfzifq,0.2945
