tgfmlamtvg,dnlmnlxsck,kdqsxpauzw
0.235,392,jemvvlvkfx
-0.178,qzxvwidzoc,gyqvelqiuj
0.4485,-0.085,jfcrzadrxy
-0.06,-38,-324
augubxlxnm,jozjjjzyag,-0.119
317,cat,-886
cAT,DOG,-794
yamusizmha,cAt,806
cbtevtldoq,xppdfqnkdu,0.389
-787,-0.364,wtjkwszcom
bqmqlcqjvz,0.317,-0.2575
0.333,jymttvysnn,-0.084
-861,0.2875,doG
-0.3815,-786,-699
-0.2795,0.082,jrfylqyjzc
xkkdahhxco,-546,-0.335
CaT,-0.202,-0.302
bqqpnjhzss,xhcxungkvy,fmginzneyd
-969,kdqehjjfsn,wrfjqdlnid
-0.3305,-792,-114
mcblatapbv,0.4775,-0.42
dOG,DOg,dog
347,963,738
dOG,ryzfdpoqvl,0.349
wfehrmuucy,0.2375,-125
248,-0.017,rkivvwjmvt
-0.271,CAT,488
DOG,-472,575
-879,urdxwvlubf,mcqvebghny
0.2695,dog,dOG
-773,0.0545,cAT
0.3885,712,0.0695
CAt,cAt,-460
-698,818,159
CaT,aomenipjgk,-0.075
preuunnhri,0.0155,xdrxwgvbow
732,dog,547
byvzpalxqr,Dog,797
