xixiovgizn,chufyviejh,hdrdwatgwz
-0.083,542,udhetmqzra
-638,0.208,907
-437,806,0.2805
-108,0.462,pcpeoywmxt
750,zfduejoufg,CAt
114,0.0095,jxwumwmvzk
-136,erotjthmij,ybtajenijf
0.37,0.013,0.0755
snackwdjnv,399,-0.0395
dynndmngxy,DoG,CaT
ajekfnfdvp,493,mzlaqvplsn
-0.2315,-0.3035,kvssftoxic
-635,gvxsehtdss,aivtdhdycx
yafyuzuvxr,-0.254,caT
Cat,0.125,rayeuslacn
65,-0.3555,cAt
0.4465,-0.432,Dog
892,ztqknsukir,284
ohxjtnhjmj,-477,0.464
0.409,944,CaT
-812,0.033,rjdutyvblp
jixzdxrwbo,qzmtndbunb,doG
596,eewmfukylg,-0.0135
-361,pgoefnkzav,-770
-0.143,372,249
0.174,yazlmhdtwy,-0.2375
323,-0.4625,uuhhehsnov
cAt,-0.4995,caT
0.05,rczcsxodln,axhptptmvc
-0.341,-0.15,824
doG,124,rygnjeiwzx
531,-488,776
DOg,-0.2865,azkepdfkbr
-322,0.256,-765
0.473,CaT,0.2815
rrjvhiltws,-512,tnrmjdrlcl
0.219,wgvqsthxek,-0.328
0.348,CAT,CAT
-0.363,rkfqlzeuva,-0.125
-893,0.1275,283
wpqvnmhwxd,-0.1965,318
0.4205,0.005,evcizjjely
-815,-0.25,339
fthizsoshk,959,raunluhcrj
cuvvhurhdv,-0.391,xtcsqgtspi
jjivdrchku,-0.081,-243
dog,0.4685,dog
-0.236,gwiwmdtvqe,-0.3225
-227,-60,ffsmzbivyi
114,264,-0.1755
dddoenkeno,375,fahctfjjqr
cat,-183,hbgsgybujj
zxbxfalzqj,-0.4065,868
-0.236,666,hprmsuaaay
qxwazlfoio,-0.2265,-659
648,-596,CaT
-0.4375,0.149,-859
-0.2645,-834,-0.114
DOg,azfgeqzejw,-0.011
-0.453,vkxzyutilo,-160
-0.0005,-368,yiwkqcnfvs
cAT,hslacztdae,-107
0.445,avcmqdbtiz,0.054
360,460,-688
-998,lrspxqriup,CAt
0.458,caT,DOG
154,xcrqfrvzru,chkytewzgc
vmgppsxnhv,-0.087,DoG
382,dOg,DOg
-744,-660,rmhwmmvcld
caT,-753,0.2945
nmonkbitbu,natnajtscz,-57
yjjdobhvxz,-303,497
DoG,viedducmvy,-280
szlohbsiko,-0.4425,-0.0715
-0.0815,0.46,dog
-0.014,985,700
661,dOg,dukepmpsas
-572,0.4075,0.4995
267,tbdqmdqvjo,gnktdkivgv
-968,132,-228
0.169,egfmyfzcrp,0.0505
gsaomhhknz,cAT,-974
-0.14,wimjznzvvn,-643
vneildnagz,-0.2215,qknjcrrary
-0.118,536,caT
0.3455,0.3335,-0.049
