npoencewjd,fbbwbcgqzy,xixttcijvi,ydlmzgqags,wwjlgnskss,gftskoekxv
udcwwtvcxm,-521,-0.216,DOG,DoG,-0.388
lbuogwsvcc,60,DoG,gilbohjpyi,mvpnbfvrmu,dOg
-0.3085,wpxltryeec,0.413,klvjguyfan,Cat,DoG
575,-0.398,rleddpymxl,0.2995,298,446
sbxydsmhzx,CAt,-0.2505,0.0715,-0.368,vespdtouug
-286,0.249,938,0.188,-0.275,770
-0.124,-980,byqyiwpbjb,Dog,ujidppyyfx,axbpijzatu
hyrdfbbpfe,-873,iojrlfedba,-0.0035,966,0.1465
jvoszktdum,epufbtvrwb,-873,vndjjgxril,DOg,ustltypmkc
-0.131,xrlcmtjdkz,0.0985,0.4065,-925,CaT
110,0.044,DoG,730,0.317,-802
-726,-107,pszolipcdr,xbzerznmmt,cAT,0.0875
-74,608,cat,-0.437,-0.0845,-0.059
avhcivioih,0.4505,cAt,qgbimswcoj,0.448,-0.095
CAt,0.4955,dOg,-135,rlfevlpbny,0.488
-0.4415,-0.4715,CAT,cAt,0.0865,0.2065
cAt,DOg,622,77,DOG,-16
0.336,-0.0235,92,seoypcgubs,caT,-421
695,208,-0.269,sqtwehdmmk,0.1595,DOG
69,cat,675,DOg,gfkavoszmh,0.085
0.3685,-501,vyppnksxqr,DOg,0.4935,0.089
-0.306,-899,ibljsxxnpc,bkfhrmtjud,288,cubvzlrhmy
280,-0.14,wtizsvfqck,zlmvsvmzpo,0.0995,-915
-810,hrzxuhhfkk,0.1305,ljpdwqqnjk,lkdbteeiit,600
hyvpkmwose,-0.2025,qspnrlzlol,141,xbhciqlwlm,97
0.4755,-0.3335,-350,rovomjygmo,pjyzdjeepd,61
jckjbxkfwc,lohoernvmg,121,qcaiafphsm,dOG,rheyjoiddl
717,-0.1955,-121,hqphjcreek,759,-373
hyuecncjyx,715,460,DOG,-0.327,dOG
dqeuufzrvs,774,-490,vefayausop,0.327,351
-0.2095,0.3065,doG,0.3055,0.416,vcyqknkljo
owkmgzemol,-412,eutktlglbu,-0.1535,0.3195,uiceavpbdf
khlpwyhavk,-0.438,-0.275,266,-0.0765,-0.213
829,-0.14,0.1445,679,bwgcutouqq,dOG
-0.3985,CaT,Cat,pkeoeekjpc,-0.017,-0.184
-897,-876,vzngiggzoj,0.3375,109,dlhvknflxg
131,0.402,jitlmvvjsz,0.242,DoG,-0.0165
-0.305,283,Dog,nyievifktu,901,sndccxxgop
doG,-662,aooxykwwxl,pehnlnqdeg,0.1175,337
jlybxavhbp,ysgfpddfur,aozykywioy,-512,301,0.2075
bxksdxfnnb,svbhwaurai,-898,1,-515,-0.214
vpwdpvhrgp,cat,-639,qrkuzkblae,-0.453,291
498,0.365,0.124,-0.1885,-712,682
-432,CaT,fhvnetgwho,25,hxwrjmkjwr,130
-0.496,nqcunaszlz,caT,ncxrmfjocp,cat,ycknuulmjd
-0.3525,553,-0.134,918,419,isubkabhka
218,232,prtldvvjwn,tnemymkgol,0.1715,zpnkcmolhp
