psvscnkloi,wbkttoneum,pet,npxrkflfxy,tiahirsvda,gzxlwzeokc,gmxerujyao
-0.3285,CAt,dOG,549,-573,0.035,453
-0.3535,DOg,-0.172,DoG,bdhagzszkd,fyzlezqzuq,fxejsgjjoh
Dog,0.1755,dOG,doG,0.052,dog,eisbwncfqd
0.2575,0.4165,caT,CAt,caT,0.027,-0.4005
onyvwqkkhx,CAT,256,azxigyorpc,-711,kksajtoext,seodrmuttl
0.2125,-711,CAT,0.1505,0.3195,107,-0.243
0.5,ttsqorttnx,268,DOg,jmdtzymmlc,-0.023,-0.1465
-0.1145,984,0.4225,0.09,caT,30,Cat
joubittipa,fijtjsupbq,cAT,-0.069,grbvlbejsh,0.196,wqwptrqtoy
ksrydnvvgz,0.4075,DOg,487,-753,Cat,904
233,caT,DoG,627,cynbjoibpp,0.016,-0.0705
0.145,xuxcyrbdsf,cat,DOG,helebveusa,jvkdeaepen,-0.0255
CAT,0.4795,giyxkciadq,911,wnnsdncpqz,usiedgjzwn,633
-543,-0.4995,-0.47,jgcpszyeug,768,-813,0.1435
559,0.003,cAt,-0.082,CAt,CAt,tnojkfaurh
obsqbobjwm,tzevzudnnp,CAt,dOg,0.07,0.351,dog
780,-0.373,Dog,22,-902,-558,-0.0545
jynvdcwtyr,0.2305,-0.029,Cat,0.375,qzmdnllyfv,igxdlyvhzr
doG,CAT,cat,Cat,495,786,nvziirgqhc
-988,-388,0.4815,CAt,dOg,doG,odiqhwpwzb
uhjvrwodke,793,caT,CAT,doG,-0.2685,0.0725
ndxueecqng,0.342,Dog,-303,tcagzvacay,-397,dOG
lxfvcnrfpg,CAT,dOg,-902,-594,sycqcfvjza,0.101
eqrcacdgww,ulryvhnwog,Dog,fvbsesvkqd,DoG,0.4475,-346
0.4215,-86,CaT,doG,cAt,-0.192,-0.3195
0.472,570,dvruxxycuz,CAt,gxitlyjsal,mlopemmaer,177
qgcbqwvemv,cAT,CAT,-181,oxnmcefpsv,dOg,0.3215
cabjnsxpmh,0.3005,cat,467,0.043,-541,tylhyehdld
inneubuoxv,-471,caT,-0.141,CAT,DoG,-0.185
doG,cAT,0.0005,-0.016,dOg,114,-0.329
-810,0.23,DoG,-0.149,cat,CAt,208
-0.209,rudfcfqkzm,yravcxpknw,-889,dog,snmfpfrivr,bcxnxywzgk
gbdwsfndbb,blcptmzecb,-0.109,zkyewdhqfz,-0.121,-528,0.163
100,157,CaT,ggfuwxfmng,0.061,vegtjjqkvx,qcqltxatiq
0.3865,0.333,cAT,24,zybcytrlxn,262,-0.4925
ayjeguzonq,fxngnitvez,DOG,-0.2915,-0.354,-413,cat
rhdozzmive,rzmifmopsz,cAt,doG,-256,sxrobksasp,DOg
CAT,CAt,cAt,-484,iafhywxnyr,uubhwrthqf,DoG
DOg,-0.0635,-0.176,fyjnqqmqba,198,-0.33,zcqrtjnqkp
Dog,-0.2865,193,jqkrasxpih,0.322,Cat,-837
CAt,0.069,126,0.1285,487,-308,925
DOg,suiglgufza,ywabuznvhq,DoG,sftnmkwrdg,bcdahkyqie,-0.0115
426,-946,CaT,-984,CAt,CAT,-964
ilqelurnrl,rkamsoclnu,cAt,-0.432,cat,-0.255,guhqxdwibk
lbaunxhfje,-0.4765,dog,36,DOg,392,-576
CAT,0.036,CaT,0.1775,367,-422,466
cAT,-0.275,dOg,-0.305,167,0.2815,-0.3275
202,Dog,caT,-0.4845,-0.1795,692,bnrpzlwivx
-879,jxnolxdmqx,431,-0.2985,rebvykwgly,olyftxonsw,0.221
323,-984,0.455,-0.183,-801,CAT,534
865,-0.3605,caT,doeffhitns,ljefvlfvry,qlcqfkttwb,CAT
-0.3245,ckxqsigbrl,ylztjbwvtr,chuwldnrhy,-893,-895,CAT
-358,-405,cAT,-851,CAt,bfrrtwkpmb,-945
cAT,lmqbdjkmbf,DOG,0.426,-545,DOG,CAT
iudzefmpzl,-0.279,295,upcjlnqphg,608,Dog,-0.3345
-0.3585,cAt,dOG,867,eiymbvdvdq,tzdcnmxgvc,-684
dog,333,0.4815,udsqnytdjq,-891,tsmkqefdun,0.4535
0.217,-0.4655,bcijlgbyap,16,voswwlhdwv,xombvfxbjo,0.0565
79,htvjyzzcks,dog,sjlhtitnxn,wrbqidzptw,0.297,0.131
dog,yzvwdnoztb,cAt,0.2715,-395,0.0765,-115
809,DoG,dOg,jvcsmdltqx,-0.3705,knbjktzqag,qdjschppde
206,Cat,DoG,-404,0.0235,-0.233,dog
329,vjwmiuwuuh,cAt,-0.4585,-0.441,0.3785,-68
0.375,nuxtyxbhox,cat,dog,599,-0.401,0.2475
245,-619,Dog,0.365,0.2015,0.1415,bpluajxvmm
cdtktjwakt,yymfsqyuxj,-328,phkscronwk,eycjyscrfw,-0.185,-293
317,-849,689,CAt,316,cAt,lesmbdcmis
rzqdmcwxfh,0.4975,CAT,-528,bmdeyykpzn,dog,67
hpaqnpddll,vntdoaytxh,cAT,bjmvufctwd,827,-0.294,-0.12
-0.143,0.3575,-50,323,-766,0.0185,-0.255
-10,0.3045,dog,109,0.028,-451,zqjibesohz
Dog,-0.0945,dOg,cradvopqan,-635,0.236,wibvbazzxn
lbnlchzmid,lzmfapxgmn,Dog,-209,-63,-259,hphfthgcdb
lgdjajsyqm,dOG,DoG,-0.3365,Dog,-141,-908
-0.171,658,caT,egshnydzuo,cAT,-895,dOg
-0.2745,-889,DOg,-10,dog,-0.3965,0.3235
kxmqocvtbb,0.234,CAt,33,dog,0.3085,876
zxgapsiuxp,CAt,CaT,-0.2985,fqgmsazwch,xmkcerwkog,859
-0.0525,abyfnqpoeh,doG,-402,0.173,-881,DOG
