lrirkjeekn,pbolimbvwq,brmqjowzyh,qgbxljzeij,zvmzprfwqt,fzjkgwyrwb,fzfazurvnn
0.3515,-704,0.318,cAt,Cat,698,vrsguvdtbc
-482,-180,eucemfeemw,nwsxvqegvb,CAt,-109,0.383
0.425,-465,duvsspypau,cAt,tyeuuxfxwn,gwhmwwlefr,yhboggjjyq
-454,0.482,-756,jyqrhkhquv,408,doG,dog
305,166,-0.464,765,0.0835,pldwtzuflr,qstdhurdet
0.2005,cvbzjyhvvc,0.401,145,-607,fgqvmdsgas,0.3075
0.298,DOg,0.0255,404,pnrfzadhnn,738,CAT
417,Cat,605,fwnsmafuuk,0.121,-176,-0.035
461,bjlzdogisw,thzwcyxcyh,0.1565,DOG,CAT,-10
0.2505,-660,vsipftrzud,-0.006,626,-0.3245,jzrzswngaj
jqzqvbjvya,-0.3895,-0.1225,131,0.165,cmbgwxszwn,Dog
-0.398,-226,-724,0.403,cAt,68,dog
