pET,dbyprivdot,esgmljllui,eqbpifclik,jteisrmoom,umfbnmbukh,girensiclz
dog,avehpgqxtb,jtdygvfppd,384,-0.3525,976,286
doG,310,-0.4425,-337,89,-0.135,-0.39
cat,cAt,qbnzymtteb,0.3015,Dog,dOG,dOG
Cat,-0.397,710,dog,saojuzglki,0.459,442
dog,ibkdxeybbb,-152,Dog,0.08,DOg,-0.0715
-0.319,DoG,jzwsmpiaki,0.453,ygdwfafxhg,nssfrkuduu,-0.1525
Dog,hpvuekvqth,-0.379,-446,0.3035,-0.0285,-0.1215
caT,-762,98,mkostvixha,mdfxcgjkhf,poisyrwdez,492
CAt,midqqgspeh,-0.452,0.088,907,492,0.4215
928,rdttdxwlqz,-0.031,667,tpybewtbmp,-0.253,sjwlhnlnmw
dog,yocktcuvau,-928,-0.1445,-0.269,0.099,rjecrrrtwx
DOG,93,-0.4095,fvysnojhhb,qpfowcskbv,-239,uwzrdytdzf
DOG,dog,dOg,214,0.367,vybsxscqeq,285
-884,dOG,-0.134,rqgueidjwq,134,tlhizoffup,swcemluret
dOG,960,kspbzlxhxb,-0.3335,-628,462,-0.495
DoG,0.255,0.131,-0.007,407,CaT,-0.234
DoG,0.2105,gdlbrlcjov,-0.166,0.164,CAt,DOg
gsyhbnturs,zlegflvmzo,dog,22,-868,808,beuoffksdo
cat,0.3505,lunaxloqki,0.0835,-340,-694,-0.293
caT,lxkkfyizrj,-673,0.294,0.0855,sxmvhaiias,-51
0.081,mioxwwfjig,110,0.2035,gklycbqogy,Cat,wcbxvgssdr
gywsqjwhll,-862,568,jagpjxxwdj,0.366,kbhecugvit,dOG
yeznzwmgjk,352,-336,0.1265,gigjvdpdfu,fbomaduzec,0.2485
DOG,80,421,347,fgkkwusisy,-421,-0.2295
cAT,-215,caT,utapgboozl,-0.241,dOg,helvchkjde
dog,layovwbhev,uoirrvbysp,nacxcdydec,ujpjydliqi,uodzunqont,uxhdqhhfby
doG,wfndugdohl,0.415,-59,0.1695,0.377,-0.2795
jhvpqffngv,gleqsgxeul,-0.2775,0.227,966,Cat,-319
cttzlfnmid,-959,472,trhuynleos,zectdczrkh,doG,cAT
-0.0145,qtiltlxhvg,ajcbhpubum,-0.109,-11,-0.0335,0.209
CAT,tqizrqvlxb,ekzddeholx,bettzzobje,-388,0.2545,-0.312
CaT,0.2165,pmgxfuajbu,dOG,-0.273,0.1515,doertmyfat
CAt,653,dtmdnbyhyu,uwqxeykesx,0.3685,enlhgvgtvq,-865
CAT,0.401,-0.042,0.4475,897,bgmfgcocmm,-341
CAt,-265,115,457,-0.0285,0.4715,0.3
Cat,-305,-0.3445,0.185,-585,0.4095,kvcdgijkki
Dog,avyeggemmh,-0.3465,0.4265,-476,DOG,-286
DOG,-0.3435,-0.0505,0.2145,cAT,0.355,oyktzundez
Dog,lfbdvrhcdt,-0.3385,ryvdcnzxqd,-440,-0.326,-0.324
CaT,nmqnzysqoi,dOg,DOg,0.0305,-221,hvyfbhvtcr
DOg,339,jnlydxifqt,DoG,dOG,0.1485,-0.1405
doG,jfeapoizem,nxhnumdotm,-342,Dog,408,xkmqlkoevg
dOg,-0.279,0.268,-265,hennprccxq,449,286
dOG,-392,0.171,CAt,qcpfpiawzb,mxtgbcmsge,-0.1045
Dog,-965,754,-0.071,DoG,xfmnmiipdb,-0.0585
CAt,-582,efsjsfgpkn,dbgxszcsbd,-216,-0.318,uxgryqwcax
CAT,vuywzttphk,gtsoadoiuh,343,938,0.45,qsdxewmsyn
doG,dog,eyagvsaxjk,0.4145,0.058,646,-0.2605
Dog,hzehcudgwd,-268,egkqbacrhd,-133,ivwxdloell,0.4545
0.298,kjyovyjgpd,-0.4675,qcwffsvwrq,667,-640,vqlctfdwop
-250,DoG,cAT,671,-0.2505,vgaqxymimk,wnlbraqzpm
-487,xhtbhjjtfk,-0.111,ndtaluvuup,0.2275,rldstjeyjm,ixunqvgceo
CAt,-521,92,doG,724,858,dwgzqedtdi
-0.396,0.3265,0.3275,-258,0.16,397,0.4725
CAT,-0.022,-0.0945,uluxeiqunx,0.0435,-126,ktzqhologt
DOG,122,-0.1145,qminsztzej,ohztitblsd,gzzbojbuuh,cAt
xdukhgtvhw,-479,-781,dgjhiwgnar,0.015,Cat,-186
Cat,zlpcbglxkg,okzoettdqw,0.054,-816,syypnatqne,yninvklxsm
-687,-995,977,jbkxpupxah,zwhmsipeur,0.119,57
CAT,-967,-0.3725,caT,-795,-0.316,0.327
cAt,caT,-0.1815,484,-15,vzuxnhrcew,usmxkihycj
Dog,-3,667,656,wbsdpexdvp,jypqshjmax,cnnsnpjppa
-0.306,irbpjmyoec,-615,cAt,-924,226,qrdkytlbcj
Dog,cat,DOg,caT,736,0.152,0.464
inrljghfof,-21,mvkizyepdt,clcxkrhbhc,cAt,-0.4115,-0.381
101,-226,cat,elpqrdrxfz,zdecxjaehy,0.417,459
DOg,491,-497,rjmeytyxse,0.36,svpevusewu,vmgrrminei
DoG,doG,caT,Dog,yomoejgzxo,cAT,dOg
DoG,0.076,0.4635,254,-452,224,xmbwvketqh
849,mlcxclzufe,-0.147,0.0725,0.1585,cAt,0.1305
DOg,606,-0.2805,caT,-403,nhajnzwymf,DoG
CaT,vxohfwixwg,-0.434,vrjscjeqkv,rgvntpzknl,-942,vvajkmyxte
qjwcaerwfg,0.4395,yayarpmngf,-197,usgdxalamy,Dog,67
DOG,difqiujovp,0.027,0.4375,doG,cAT,41
DoG,0.1725,973,90,128,289,Dog
cAT,398,ivojulomje,-198,DOg,-0.2655,cAt
-0.2385,Cat,qouqpgvrss,zrsleaxtgf,tegmzielkk,-253,493
DOg,-395,327,gpznqbdykm,ikacmebkel,-0.103,-257
dog,435,DOG,0.033,fbquzjzkti,-0.11,-414
dog,642,27,-964,-985,-569,0.2745
CAt,dOg,0.128,gztkpflzeg,dOG,Dog,456
cAt,ehphqqnxvr,yvcmricjmk,-0.0495,612,DOG,-554
dOg,vjrfirmmty,349,0.188,dOG,-0.0735,-0.409
caT,esrsukwtod,vpmlrprrkr,-855,xjapwpgngx,-0.227,cAT
cat,caT,0.111,cAT,-14,Cat,-0.449
psmdynfhtp,-0.2965,CAT,0.432,-0.3515,dog,-478
-636,xomxijxifm,0.1505,htgikpmhpt,CaT,DoG,qhvhlcysrr
Dog,-0.2215,-546,51,-881,caT,caT
DOG,CAT,ukhycqlqns,-0.4915,-0.0805,815,150
cAT,0.4895,0.4235,aavutdkfzq,doG,-705,xmadnplnig
