yuwuwxzkdx,ahkhlfvhhl,dpfyuepsxa,senxztehui,PeT,wzuicfhatg,wxhyewiwwl
qpbxtagdvh,475,eljvnlglqz,-591,cat,CaT,mrerzzaqzq
fhmqeqpamy,dzyawkkjpg,-867,hieownmnww,624,dOG,iinhfivccy
-142,0.1595,Dog,iuayygpwtn,dog,0.0345,qpoqfhlmnl
-976,-0.387,-52,-0.0695,cAt,-0.3305,-303
Dog,iyjifykyyg,dog,hzwxeipaxe,Cat,CAt,DOg
184,-0.051,cat,CaT,dOG,wfrzmshtbr,achfxfzhrx
748,CAt,cAt,gjqfwighqv,Dog,-426,sgrvklxkty
-0.366,DoG,-0.3895,jjkiownlwq,doG,ynklhkkmuy,-0.3185
51,-865,-0.044,caT,cAT,-0.064,gzfqdhycqc
0.171,-172,xrpfcbxere,jllvxmdspd,-0.032,0.3205,707
zmdsnuffer,heegfnravi,860,qlopdheeic,CAt,-77,-0.464
bwqzcfealx,0.178,-680,qgldqisokn,CaT,-0.382,urgdfsorqo
Cat,327,vfaskmbskz,918,doG,CAT,ucekxnacay
rgpqanhdaj,0.277,800,0.3495,743,155,-0.025
cAt,hbbqzysfbw,DOG,kfdddgfhnw,caT,-501,uwefkulocj
zrldprkevx,-259,-340,-0.1935,-0.0705,404,dOg
-0.1335,-117,540,200,cAt,ozgxypywyu,-0.2715
-295,caT,dOG,0.137,dog,-721,iitiddssbe
-97,qobzaielmp,193,0.022,CAT,-0.477,ajhkaacrgj
caT,0.0675,dOg,636,CAt,hvncbisxty,jvtrcuyzxf
-915,CaT,-917,-0.3355,CaT,-0.3455,dog
zlvzyubexl,0.2805,219,739,DOg,qmsouekqsh,dog
0.431,yfpdbzetqc,cAt,813,CaT,-929,630
odzghmbrcn,dog,-0.1625,-0.2915,doG,0.348,-970
DOG,-0.4475,vngafrdvid,wvpvipjlab,Cat,416,406
0.126,oqopghxejo,wruyludtkp,dOg,cat,0.421,-0.206
DOg,shhmcxqnjm,-0.429,dOG,-0.3115,781,iuhihryasw
CAt,-112,-0.3575,pwkdqelnql,akrfbkhgdj,-496,923
-0.311,dOG,dog,-555,caT,cAt,129
cAt,sbueqqclhc,-0.0125,xrmafcnxoi,DOG,ldstvjmmve,bheoirwimk
cat,-0.3015,-0.4225,DOG,dOg,119,apxplpmmqg
708,eujmqjazyc,xomskwaliu,0.2155,CAT,0.3295,nobokyotcz
0.0845,dOg,doG,Cat,dog,0.063,0.29
