dyzqumqckt,agrwvyfszf,bcciobkaei,asanzobsak,cbfcujcjlq,ngpmkjfvfs
Dog,fbchqehewc,caT,-172,0.3225,aeknttkrlk
947,CAt,147,0.213,gjldpjhlzk,-0.0635
lmvjjuqolw,ncyovvajli,dvukdujacb,747,642,239
-550,73,Cat,caT,863,-0.4005
674,-164,-0.3495,Cat,Cat,-396
xjsqtpnahu,jkuuxuizqf,-0.334,-0.1745,mnlwqaofkg,-321
-0.219,0.151,-0.0605,qiqagxslho,-633,iawonrwczv
208,CAt,771,gwpryophhu,mgbgxaqdyy,smbpvfbaqg
kcjzhgxafi,0.1035,659,-0.4225,uvbqqppyeh,znpkefxdfh
-994,366,gbiyczipez,-206,xnsytsozew,-0.1425
0.023,-0.2015,-560,0.4855,0.2705,bdrpgnnlvr
-0.36,bllfaptoid,CAT,csmuhfmrax,0.205,caT
mdclyfbmwz,-0.4165,CAT,0.2525,0.2255,0.04
-0.0655,DoG,doG,-878,-73,dog
nydyhfuank,hhknamfnqa,0.49,-0.376,724,cat
xmazjhinak,DoG,0.237,DOg,0.4655,ycocezndyg
790,243,-394,veisunztvd,xkclkgiwhi,-0.201
ywfaziypuy,ejbrpqyabz,-766,-594,DOg,0.294
0.457,-0.2845,DOg,doG,-320,-0.0815
vmgtdnrpom,229,ujtswtburw,918,0.3595,doG
0.4635,-0.402,-0.149,0.1875,84,683
CAT,xepbyljuqo,-0.4475,-0.193,DOG,jbkhgclvni
cAT,ubirovflqc,jzybokgbnh,-438,-0.1535,oqvfkkppsw
kzxdpqkupa,71,686,0.1775,-0.4995,0.013
