wcgyuzblxv,gtfzavqqdw,btvwyhltsf,pEt,xlngwusowi,axeazraztt,bttpmazinm
Dog,0.3335,CAT,dOg,-556,kdgshqtmgc,0.233
cAT,dOG,-0.3865,DoG,vocnktrzzv,-33,-0.304
-778,dOG,btsixsapdz,ldbctqnpkm,CaT,-958,bzokwtoqiu
489,-0.401,-583,0.4155,svpfygdomr,-974,imhwslrpqv
0.414,808,-0.358,DoG,xzirlwomck,0.262,-399
-216,-0.1025,426,705,0.2555,ludntlisus,asakopflre
dOg,-714,DoG,40,-902,299,0.431
qaugwqxudu,caT,-759,DOG,-0.2095,764,0.089
mkhalnieid,-5,DOG,zrahcrharc,-264,-822,usrmkfcgpx
285,caT,Dog,DoG,0.1885,-0.2635,0.4255
siloamuxzn,-0.06,0.07,-272,CAT,dOG,-591
0.2475,0.258,0.2365,vtwskfmxas,-351,0.3155,-900
0.4055,jsxonwsqjp,DoG,-0.419,zdxnymnnpn,pzofktjtqw,240
-0.4915,-364,374,doG,-388,722,rucctispzy
gbcrzbchqw,-0.316,0.1895,61,pjsswmiuwc,0.2605,zeraqydfju
gefiepxzzf,-0.1145,-0.4595,xkrudetkbc,35,CAt,-249
-272,281,-0.444,dOG,siyhmcibvq,0.2235,0.353
0.2635,cAT,-0.1185,tfcpiwwpkx,-0.0305,zedenxammt,0.2025
-900,0.3425,yntctxhkqk,Dog,xloavjtwrj,-0.0625,0.0215
ywvoxjvowq,dOG,gjxlofmgjw,doG,xdlgyohvuw,-0.0735,CaT
uzgbjcwmnf,CaT,xceifuoutj,-642,teplyieeti,-0.0265,CAT
-0.102,nkgbmojpqy,-641,Dog,-892,ygkkxurbda,-0.3765
sxgjximcyc,xzcciuritu,oocckbztyh,DoG,-637,-774,-0.274
0.122,0.3835,ewbdfdvghb,dog,-255,tbgbcmmgeg,-981
eouomfdevb,cAt,-0.325,dOg,qifuxnrjiu,-0.329,0.2435
-119,-0.009,wyftrabfux,doG,0.3315,-0.3,0.242
Dog,0.4055,-292,-484,0.174,-0.1255,-315
doG,0.3865,DoG,dog,-278,0.208,qeoqnqknez
786,Dog,0.3185,Dog,Cat,-964,yhakgdirry
-0.052,0.3455,0.135,caT,0.313,DOg,-109
ecnwhixdoj,373,667,CAt,caT,-0.3175,caT
797,-475,16,CaT,-165,-0.244,cAt
vmxhxkkaak,616,qvhjmksefi,726,gtuyxdykpw,-0.2035,0.459
554,-0.124,sprrktntig,CaT,nwkgowgcdg,-203,0.043
