ntzbgwytvy,kzmlaetyil,tzobcndsap
160,gcrksioqet,761
oscouznywt,829,woxdmuzgjt
0.38,0.347,caT
-268,mvtodpofyu,ubmtkxgibg
-784,-0.3555,0.0965
-942,0.291,cAt
CaT,hhqnrtnrgh,teuefiowss
-488,xhlvshdpyd,-958
-0.4715,-235,-0.3215
0.1245,879,bpxpthvmls
-994,ajixbydrzx,qndntosuli
Cat,pjmcbidijf,dcnjfahbus
CAt,-0.1055,cvouemnrwc
222,CAT,323
-0.311,0.022,0.4535
0.348,DoG,CAt
DOG,0.4865,0.2415
caT,814,0.3955
cAT,CAt,yjwhdpaivj
okxxglpxdd,-679,doG
-935,yrxzegcpsn,tuloavdrig
-2,-0.262,cAt
mgkkfnwjvd,-0.221,cAt
0.013,451,euxkhilxzm
0.0135,cehjfdmgmu,CAT
ojwmkuysft,yapagvsape,tnlyfuyqen
792,-719,0.13
0.348,bdyzaaudbi,10
227,0.326,-0.323
-434,yxyfqnqdnk,-793
0.406,-0.444,0.3125
caT,0.012,-697
649,-0.2945,0.328
yodbuwmmln,DOg,dOG
0.313,-477,tuflzfosny
jnknykfjug,947,727
jfktxhmnbt,-683,DOg
583,dOG,-633
-0.416,511,-733
CAt,cAt,ddetiumqyv
-0.4165,-0.1745,-68
caT,-0.1235,Dog
0.071,-941,0.2715
kmgvhvyvbs,vpyafgoqiw,llupvpdvnr
-0.0625,-494,rvamhjhvex
lnlegfqjzq,932,ewmshuxezw
0.187,-732,0.089
0.3725,cat,0.115
caT,jdkhvzfyzr,0.3725
-0.3115,-13,0.4985
855,CAt,cAt
0.369,-0.267,dOg
dlopctygay,-245,DoG
0.0365,367,32
-672,-852,-538
916,-698,-532
whzgejsaid,kggoyftqji,-0.4695
0.439,-876,905
116,psvbwvpgxl,0.425
-241,-0.339,-0.3215
899,0.2585,addrxabyin
-0.1675,cAt,853
-33,znbwdqqnry,-530
0.4985,-120,-461
