PEt,tpcipwlbnr,rzqrgtakcl,iqiflrnare,goifnriaes
Dog,-0.421,342,-0.1525,0.498
0.3495,cat,-176,-0.032,-145
dog,-331,0.428,0.4195,jghfellwrw
Dog,-65,Dog,-505,-0.193
ebxyiddqii,0.35,-0.4775,76,snwhthchrs
giirgkkenp,uxoemclkso,-0.1305,mkyycpjsiu,bjjdzgzhms
0.2355,cAT,ivbbredepl,-712,683
0.398,utrvnahivf,prcqtbgcwr,-954,71
DOG,lnqhdlneft,izszkdtgjf,gbfnipojxm,umeawkikqa
DOg,-613,-528,iiwuyudggd,-0.315
CaT,943,cat,0.384,305
-0.348,onyptdppef,859,cAt,Cat
caT,611,211,vetcyxhumz,0.0165
dOG,-779,usshpugcei,-0.3425,dbzulzrvks
rgqluhtroe,dOG,rupaosoygy,doG,bcycetwjab
CAt,0.0435,302,cat,0.4595
-0.3695,458,-100,0.3645,257
rycpwgwstm,741,ukntahuhfg,-549,Dog
doG,-99,ytnjgoagfd,dog,0.184
dOg,xfntelopox,-0.2225,vcxtyyycwc,hgwuexrytq
DoG,-0.1115,0.2265,Cat,-902
CaT,-480,-571,-0.0965,-0.409
CAT,278,980,277,dOG
CAT,Cat,xtlzvavufg,-997,800
DOG,104,19,0.0765,-388
862,-203,0.1025,huialbezxv,60
dOg,-0.2505,0.464,103,-0.383
CAt,sikzmhzhwq,xovxqkvloa,uhktgjfilf,-0.137
76,tonjcfatjc,DOG,-0.056,dog
Dog,fuiaboygnm,-310,dOg,DOg
DOg,mwkxgijwsk,0.382,-77,spjisvssds
-381,-0.141,cAT,0.445,doG
CAT,-0.312,-0.369,-278,andvnecyya
cAT,366,393,DOg,DoG
CAT,-140,cAT,0.1805,ugvomhbxcs
caT,-0.336,dOg,cAt,825
DOG,-312,-104,jpoettzyoa,tmuczypjwi
xlgdjzctri,knwuxskiks,-512,935,40
Cat,cAT,-307,847,CaT
Cat,unxetwuyjb,-0.0365,0.382,207
0.127,cAt,-0.4825,942,Dog
Cat,-160,-0.2625,cAT,CAt
-0.06,0.262,joialkjogb,hwwmkspdaj,-192
CAt,-783,-0.33,-901,244
dog,-0.0985,yzocfaagmr,pzbychmchr,CAT
0.064,-0.167,0.0215,-906,qnbetdtham
cAT,-213,DOG,-926,zburwnkkvj
dog,0.1735,0.3655,-371,qkemjxtfse
DoG,0.338,0.3245,CaT,dnzszkxokh
CaT,522,619,139,0.265
CaT,exioickbyq,CAt,-949,DoG
-549,0.2335,knrlixvthg,181,-546
dOg,-275,-0.2085,0.4905,swxffethvy
DOG,xsqrpgsdah,-541,-375,Cat
DoG,-287,0.1175,0.2625,576
dOg,0.3705,doG,lvujwyxyhc,caT
dog,-338,0.3295,-0.1885,DOG
0.329,760,0.429,0.102,-440
doG,cAT,233,9,0.483
DoG,CAt,ujrhwjkpar,-0.466,bonbtipcji
cat,431,313,0.477,aipoegmujb
cAt,-122,-0.06,-0.271,rtcecoeaei
0.1905,37,-0.414,DOG,xitbtiajlc
Cat,837,gadmkmwgbx,ayaavifalu,-32
Cat,dxkbqtqdnh,esmvppulgd,dog,-905
DOG,-0.429,DOg,jzoqhemhql,-726
ecfuhtmonv,ngcewjsnvs,-338,978,-849
DoG,-414,0.216,0,676
dOg,0.388,67,-0.3375,hauehyymyj
CAt,479,hctmfxscqa,342,0.4325
CAt,48,-728,-933,-0.4945
-597,-772,0.2545,dOg,0.2965
cAt,-855,-0.0585,691,idywnszquw
dog,0.439,0.2595,wilpdqlwtx,0.0945
cat,0.02,-0.357,dog,-634
DOG,DOG,-812,576,-0.137
CAt,epznkvkjlg,-0.2695,0.0865,cAT
-219,cAt,-502,xixgtyawiz,dOG
cAt,-0.3865,0.4065,-0.14,plmrtjyvaw
CaT,723,336,nuxupolhja,CAt
652,Cat,kyiqrgmkuk,0.3595,-0.375
-0.4635,eybilzdaqo,mgauwjdold,15,wglopfvwup
dog,bebfglsbkc,164,-0.3545,0.296
cat,174,-0.1045,-0.21,doG
Cat,446,dog,cAt,-563
doG,0.174,orihdhvikf,fgvxazpiwe,gutwhartzp
Cat,-0.3235,-336,CaT,-426
dog,cat,jklkmoqxbo,uivixjaqar,-0.0185
cAT,Dog,caT,-497,bdhfzirhku
