efddldqxxi,micmraypyh,unaweovgkr,ffboucjfzi,ebpqvouqgu,impprvfvnb
Cat,qlnzasvtxr,eftbgqobdq,dOG,-0.0245,0.388
cat,0.028,81,DOg,0.244,-0.198
-353,323,-0.101,-957,938,740
xdzjootbuy,675,aprsmsstfr,dog,-99,0.2695
-662,DOG,-411,-0.2575,441,-747
-276,wfdjolqyqz,-0.4075,980,DOG,sntvhwwgnr
wajkbxfsmr,cAt,-638,gaeyxwtahu,nrwskmjjgf,-0.252
bcwrnzqzvi,-80,-214,929,xblwjeoyko,doG
tpaftsfwba,-606,-0.224,-28,-0.2065,0.499
-541,-0.039,soshlhdglm,0.2,vxqbmirhsc,lwcuwujcqj
gzcotezzqf,-972,-0.1215,wbhrfaozup,dOG,-0.385
ymitslzanl,-0.002,kkbehcgbvc,dog,cnrlytxysv,0.2175
wowpdzwrxx,ylmzodywvr,0.1405,-240,-0.0595,133
cdfowehpfq,ryjadhnwxm,mfkqikulog,0.2435,852,vrsfqrlshd
doG,rxbrajyepm,ruvtxyqktq,ffyhoarmso,0.2815,-0.4345
30,irgpvnrqfe,fdctsoogqa,-0.0205,rlosfizhhs,dOg
-0.0745,-0.4045,-0.0545,-392,-461,fkcdmsewqx
-0.0815,-625,-792,wtbxvhfvpc,0.177,-649
-946,dOg,719,yswrspcmfz,gpiyhqygqr,lwoprlcxwl
0.1185,0.1505,-95,-947,-963,cAt
-0.1585,-426,-782,571,685,qyjtcswvim
0.014,179,nakpdfluko,-790,0.1965,289
tmmcjemisf,-532,gmkurfzzpe,caT,dog,-0.0345
wxzlpxyhbv,0.071,dcgjvabhzz,htzmdrfgex,-0.0725,jnaudryblz
bxzbjwwooh,536,0.3785,0.063,DOG,0.4425
cat,oiprnsduuf,nozurszsug,967,moufupepfb,wacvmoychh
0.342,-0.267,agegdmexwa,DOg,-0.043,Dog
-387,-462,mocdwkgdqj,oxbgmhpeyj,cAt,426
467,-48,-0.1775,wqkbweriuw,0.22,0.3185
-677,dOg,0.142,0.134,0.4855,CAt
-771,nollyoeabr,-0.4825,-0.1465,dOG,600
Dog,0.11,0.1245,DOg,-0.311,897
-0.464,0.3525,cAT,-36,-958,CAt
950,nbweazjtgh,-0.4355,jzulwwbqgz,zcdtriiqzp,DOg
-110,-324,cttrmhpkdg,bvvjvwdbth,-30,-733
0.428,0.2905,0.4115,0.143,-0.4885,-61
-318,imuaaybqnv,0.149,0.183,-0.495,cat
mpjmkdzxur,0.054,0.381,365,gaxnucwepj,0.1115
0.325,-36,0.1835,-0.3175,-0.101,-0.136
263,11,-0.431,CaT,0.405,691
-0.1155,107,ttefqccwgv,0.4715,-927,0.461
886,ylhvfecldk,0.3625,0.2795,doG,-354
-0.3025,-344,-801,902,0.467,891
538,kzkyermaeo,dOg,qloamhgsxc,-0.1685,-506
406,-0.3365,hhjhsljwwr,DoG,-0.073,-0.1625
-515,vipmftzkbq,oddzyzffqx,iqzrrlhtij,322,20
773,DOg,346,582,xoajzxfqxc,646
giusjuvhrg,-560,-0.029,uzougcvwdi,-285,hjwppcmwat
CAt,Dog,93,-0.096,loapxuuibf,0.1095
aazzmyttuo,CAT,-950,ywwsknlokw,-0.1745,CAT
-584,sifftpanyi,-0.0485,-0.474,7,dOg
-0.0325,mchzynljse,-694,dOg,hbjxlefobm,-28
0.2855,dOG,aylbrsyxjp,0.232,-67,mzsmmfhuzi
ijbvopvhlz,DOg,uuaesezozr,0.048,-304,0.3645
0.0495,410,tcygqlcfwh,uapodxlafk,dOG,971
-622,dkpsdeajbe,lbhbqupuau,574,0.3595,doG
qhfdzvvozb,dOG,0.0155,0.3915,245,qjuiowkpfz
0.119,-808,-308,qwpfsmathb,183,582
iblmynchuh,pefmwsuepg,-0.004,gferjukwfa,-60,-434
