zithmqymha,cyvhvopyuy,engydxgxbq,Pet,jgxarvbmxz
uierzqnmww,hwknjnoanr,vjbvsdaqax,CAT,dOg
jcxyyyotmf,-0.4375,jqwwqzddco,hypoauirpf,cAT
343,DOG,0.222,DoG,blhuxopweh
ugrnwgydmm,phvbgcgjnb,-592,zjebgljkfi,jwezrhajxg
-84,DoG,0.3365,CaT,DOG
npglfkvnoq,eeunlsjzmt,dxfawmemia,DoG,cAT
xprzegdhdm,0.023,-0.3245,Dog,caT
-257,nfnwrnrcpg,zfebcndwkm,-0.345,Dog
222,0.1485,-0.44,dOg,jxekblkkpm
-0.3835,0.4775,-0.164,-0.342,253
0.4295,846,-0.36,rjeyqofann,23
cpinjrsivf,690,pnyipqdenf,efnkfrtczl,-0.4375
ekphbfccde,127,doG,bykoydbpit,caT
kmihjoiluc,767,wogmeejywo,DOg,jskhrqvjye
-0.053,kgpjbztpye,0.212,cAt,ajqrrxqybu
vuqljtexsj,0.1325,545,-0.051,836
mypalatfkp,-0.4205,-865,0.4095,yutmsnxuwe
24,-828,-838,728,-48
Cat,-645,opjrfhwqqu,DOG,-0.035
-298,161,0.0005,cAT,893
vaqgkavsyl,bynexhruwi,-0.3655,DOg,-567
dhuxfghxpn,htbaieezxi,1,DOg,691
Cat,0.1865,DoG,CAT,770
0.095,0.073,lcrbmjjpdn,avvgbpcsvd,vzjiwjskls
113,njmnxlzchf,nxqhoorhjm,dog,0.0255
0.0915,dOg,exivbsvawb,doG,-240
-0.238,pxaumvzhlm,0.4355,CAt,-643
202,wntztklaye,wbwyxbdcff,CAT,cat
bwdmcuyufk,-0.1855,sholkxwfvx,DoG,46
829,-0.2035,xwfykgzkcg,-567,0.402
-711,nlzxwnnxhd,-0.033,DoG,uqdfppmdoq
ikhewxkpzc,gpomqpkvyp,-724,DOG,-178
DOg,-72,eekyusjmqa,dog,kvykiufpjm
Dog,-0.014,-744,doG,0.469
-250,nkogwzvoyv,-0.159,cAT,0.004
436,ainbcodnnv,0.327,Dog,0.4225
bpifynwgei,ljbtpzwcxc,-0.1695,dOg,813
462,raqxzzwiqv,hgdreqqwxk,635,135
iwmlrdiltv,-816,0.0175,cat,DOG
jpletztawo,0.1165,-784,DoG,-261
DOG,CAt,cat,-117,0.37
rfvqmbzwar,-0.093,-0.084,578,220
823,-127,-219,caT,yqmfnttogc
-0.4515,knigndntfv,165,doG,767
-439,Dog,decfsyomhc,DOg,DOg
uqqgbnamfo,-188,418,CaT,-0.3625
0.297,0.3925,-0.2335,0.102,Cat
aezmokymnh,cat,upwpfkyoly,DOg,-937
doG,gthturjijg,dbbmvqomru,DOg,-290
CaT,-0.014,-0.2065,doG,ikpeihygam
-0.049,-0.161,kmwpcgeqts,DOg,-0.1655
CAT,-0.4765,-0.2125,DOG,dsfdahxsda
-878,0.03,yorqdmhzim,cat,0.1315
794,-0.4355,-549,caT,311
kuacwoliqk,-0.1605,-814,-221,cAT
moezoyhykw,dOg,0.411,-0.372,0.338
hvaonbtzac,htvsbydwul,Cat,dOg,-0.1385
-0.0145,-0.322,0.482,CaT,Cat
uvllfplmom,CAt,gwpxnwwuzd,DOG,-0.2025
-473,523,DoG,dOG,207
0.4805,-560,0.475,caT,axbskgtnpk
xuctqhlhpd,0.043,-0.4835,-0.4475,coznrycczs
479,-599,-610,Dog,610
