ruarhrzuex,edyezymnyo,qxewlroghk,jnpzqqqbqr,basdhwsplo,yjjtpgmpuo
vkipyqmrbr,-0.21,0.258,caT,-805,DoG
-29,-70,ejkygcfebw,-0.471,pbmiocnyxw,wolpdbdsen
-549,-358,0.047,bqkzisxoce,-326,ocwnantgvo
CAt,-956,bjyrflaebu,543,ehdwklyxok,swbbqvhlpp
doG,DoG,dog,222,0.451,ehdruteteb
-0.4975,-0.0215,0.251,0.181,cat,-0.0875
0.0505,0.2445,0.1515,-0.3185,-133,-734
jfsjhtjgnf,DOg,865,osesahanmf,-0.008,0.0265
swalpfckis,lxlecyubfn,dog,xltwmggluh,762,qiotcusndb
ihaksdbbyu,CaT,Dog,CaT,-0.2825,ggooixinnt
0.0515,239,-0.2615,cesmotvthe,-0.1395,CAT
0.4915,183,kaeyoyukvf,cAt,0.067,0.446
wvqewzpgzt,hzqvnhcoah,mwiyiykffh,-649,0.3585,oiurdikpxl
-0.2245,cat,0.483,mqaynhswig,sykzpizhmi,-0.316
0.2665,taizymzdnj,0.4355,dOG,CAT,CAt
jpnotsilum,-0.193,Cat,-0.1485,juiizxnggs,miiuphodgi
obhuiqrrsr,84,zveatagiae,ovtoconxen,0.4105,vrimbmearg
todezrzkai,598,119,-0.4115,npwiouaskn,CAt
cAT,cAt,cat,-0.305,-838,0.228
bwyggbshrp,dOG,yemhxqfrsx,0.4995,0.1585,0.2385
dog,eigphyjywo,umdjwajegq,DOG,CAt,-375
wxmjqeuruf,54,bgnjoinnsd,favovcjckd,-288,Cat
-178,zfopzlsyca,ecxdagvaru,cAt,epwqcthhas,0.331
-0.0195,-0.135,-835,dOg,caT,-815
0.463,cdvxhtyjvx,caT,-896,CAt,kyvccyblzu
CaT,tvtdptjkut,updigqsnqc,sojdputdzv,0.208,624
DoG,-659,yttgvabsiw,982,umywtsdqxe,DOG
xhgyfqmgwf,fpmfhbfcot,-862,739,-393,lxzyrsvrwv
-0.483,yzbfgubqbj,166,DOg,fcaylwsirc,-232
rqbvgatdph,hfxquekynf,-0.408,-782,rwjbwqjevp,ltrlhwfyjb
gpzxjgtqyh,egvdetwetb,671,zqbafqgpql,-0.234,-688
-0.3795,fswzrshrcz,-0.3495,uxgxedtmnj,758,0.188
DOg,0.206,cat,0.0455,cAt,0.2485
azgddkmmch,-0.247,DoG,420,dOg,inrypbkyjy
-648,-940,-573,0.231,btdwinxltj,vqfwmrgpcn
-0.2275,vzxypwccxu,fcglltjzvf,-0.0825,203,-942
ibhhpiuctz,aewyubihij,-0.239,-0.0425,991,rokwopgfnx
0.196,-274,-0.0235,155,DOG,olvlgygday
0.0365,-197,0.2015,80,hcfuakccrm,lsqmrtryhs
-0.219,qnbcfqhoov,0.1045,531,DOg,dOg
785,0.3835,owvliefbme,-0.4125,cAT,pdtkcffmui
caT,377,-0.139,ztiduclydq,doG,qjzegpizaj
742,0.0085,-644,doG,cAT,-0.181
-0.2285,-0.0485,DoG,uontpkrghg,yhzuwymqzr,doG
-0.099,Cat,0.414,-639,-879,448
caT,-4,giautpwdgi,788,caT,0.338
944,dOG,-10,-0.404,-803,mtdenqnoov
-866,655,832,-665,0.2865,-523
-0.203,0.01,-0.404,-0.0585,526,-0.026
0.17,npryhvkoms,pdqfostifo,-32,-931,-0.4475
