emhyttvtpi,xhlijorcwf,ocrvocugfq,ltbrqybuzx
-282,xnnzoqanoq,293,294
ryzuxncrol,920,529,xrphhsoquu
0.2,cAT,xiueibmena,-412
-0.377,-248,jmgfyskhus,-0.146
0.096,ntgaduogzf,-0.4135,0.1345
nrwwwijxmm,cAt,739,-0.017
jgqvnmwhiw,-459,294,DOg
dOg,jlpcmwmarp,0.1895,516
dOG,-0.0705,avgdopjhtm,-0.14
Dog,mowobbrcbu,-0.3545,0.178
-966,cat,aszxmeyjfn,-0.1645
CAt,qocxivgdff,-896,txiimxybvo
-587,0.4585,-0.1675,0.2995
957,0.256,630,-0.32
43,0.4965,cat,vpctaznqxw
CaT,-117,DOG,670
980,-0.034,-300,-0.4235
465,0.1725,dog,pojaziuurm
DOG,qwoogdkdbk,fbrryoedby,pevetgguar
DOg,919,bmjeuqubgq,-0.454
-540,503,wmgbkuiflz,10
mrvpbaszyp,0.214,136,tewztytciv
caT,-591,0.4025,-726
-373,-434,511,DOG
yiqemjyoaq,dOg,cAT,-0.4345
-501,gxpieznqed,-0.329,jevvrkitkn
-0.4295,0.3795,-0.4245,dOg
paakjompty,-0.4375,0.1155,sedgjekmav
81,cAt,-727,0.4525
-879,DOg,-0.3265,518
0.101,0.328,979,-271
cqalsfujfh,wpkoipnklc,syonbntpnv,ucxfaairig
yqdvvomvxe,801,730,-0.1915
682,fiwxaqdvdq,nrhcefzhec,geiaicrtjn
617,742,kfbyyfnhtr,rjcodwhank
jydofhgfph,720,202,0.055
0.205,djwohcbkah,cat,0.2735
szlxeqptdg,DOg,doG,0.105
mossjskpgl,266,igrmliaggo,rwucqzmmui
-0.272,661,qekcrvtkjp,939
