jljkzmhbrq,hofivyjbeq,ybrdnwuzii,tuczhwffwx,pEt,wbrjikmihe,upyrzpemgy
0.354,-217,-177,iyfafekylh,CAt,qjesubsznr,0.4525
749,CaT,dxffytymyc,316,0.0195,CAt,0.335
nzfltofvrz,448,Dog,301,Dog,0.3315,xjjrbthtla
rzzbblgfpz,0.0955,-0.294,-713,-98,dog,138
0.492,-982,-0.0765,CAt,Dog,CAt,-406
-923,CaT,676,233,CAT,-0.281,-0.294
129,-0.417,DoG,525,909,-411,-0.257
DOg,-0.093,-84,sjgwklzuzz,-0.4835,cAt,ergflqtixb
-762,0.199,CAT,0.018,CaT,Dog,592
kgmfilysfd,530,zwljtzjgeg,0.3655,329,-0.4125,vvpgncwpok
-954,266,rgzhacbnmo,qnjdcnaiom,cAT,122,-0.098
-673,-0.195,-776,769,CaT,pxbcfzjlle,DOG
-562,-605,darahhgyln,0.304,DOg,-617,-375
-766,pmqnhkfxca,wdphhfhtub,dog,-92,0.195,DoG
-557,186,413,-547,DoG,zvavuqxjir,lcgouodyja
-0.3925,-809,dog,-911,cAt,0.121,bcnodpibvl
-0.244,bfgoahdyak,jtxprshmhr,-0.4535,CAT,vrsealjtml,jcrumaoqtl
-0.171,-818,peyuyomybs,0.2265,dOG,-0.1605,877
-214,zvexxteams,Dog,0.197,603,469,fmzaioikki
-941,-750,0.064,355,CAt,-0.0015,Cat
dOg,doG,cAt,0.385,CaT,-839,-42
-996,-73,0.444,Cat,doG,926,wejnuimyox
539,DoG,-0.3075,0.3295,dOG,507,-0.0385
0.215,-0.322,nkeahhcmlj,-7,0.4,0.3595,sdggwhbeep
cAT,0.417,rrccvgkrop,-838,DOg,0.12,DOG
-628,-0.198,yzugncyjsu,312,DOG,fidhpsetan,CAT
hcbewrqfqt,317,777,Cat,adupqtkxzk,avfnwkaprt,403
-451,-279,wwklgnmxik,DOG,caT,yajotjclml,hhqjkdlttd
doG,624,-852,cAT,caT,DoG,rnhnkrvgpx
wlllgbqbdt,-0.1395,876,0.4945,-0.3105,dhdpksisli,259
-251,-0.184,-856,ythrtnyszo,DOg,ndmntizyog,cAt
897,uiidkendcj,dOg,niqhhpkhuu,DoG,0.1155,-0.1715
cAT,-0.4915,yxecpcdofe,-0.031,0.094,0.437,amxhlwgvzf
rmgvxiqugd,hvivunopto,etyxpdxptu,gohgvqaswx,Cat,0.4235,DoG
-450,-930,-834,-980,CAt,gzldjzjgql,hagdgxxgai
owvzdxtltu,0.4355,41,-0.3125,-968,0.271,-0.478
-0.09,-897,0.0065,mydcahcrwj,dOg,Dog,rfpztesqod
bwbjtzozle,-0.1035,0.065,cat,cAt,-0.026,273
DOG,-997,vtaskmzpna,759,CAT,jrqxqmutxl,-0.0205
CAT,-0.0855,0.4095,0.297,fdxjkmhfbz,33,fzjfnjicot
CAt,566,0.106,790,CAt,kpylqavbze,DoG
63,181,234,-0.292,-101,-0.007,0.0695
-244,0.3325,ncosckjqeo,0.1755,Cat,715,cwtoqxncgo
DOG,-0.3925,-0.115,-0.3415,cat,0.3505,-865
ovpksegzye,ixhpprmsjl,iqyxezdwrb,dOg,konjcbxmgd,968,-0.2155
CaT,mcnvcgncmm,caT,yzneqrwdug,DoG,452,caT
kdsoqggquj,-0.108,Cat,tptlvgyjjp,cAT,egcxabwswt,0.2765
dOG,-0.094,dOg,ogkvqxnqtq,CAT,106,262
cmyrzkjebl,Cat,myiitynywc,ytimxjpkvg,DoG,0.472,tgyyhyyets
cdlzhgvygp,-588,0.288,0.251,DoG,yorpqlimtu,logpgacumm
239,764,caT,-330,DOG,jnewcutuoi,doG
xybqslkeuu,0.132,-0.441,pckjexgndu,DoG,phrgpoljco,706
ujoaqfofeh,-0.4345,xrdfkahngy,-437,Dog,-867,CAt
0.1075,0.23,stxgncbigp,-920,DOG,znxmzuocrd,CaT
DOg,631,-690,nqaoyukhpw,doG,480,-0.1725
gvtzgrqiag,ggivmtvprb,caT,eacgivxatg,cAT,-0.389,0.0455
814,jqwptnozto,0.0735,338,dOG,cAt,afapiscmja
-0.123,mqartjzuah,jwpwehwzmc,opvkhcmubj,DOG,0.139,260
-195,-225,Dog,-439,dog,cAT,0.1185
sjblxozqgg,-20,qpvoifmohw,CAT,452,fjeixodxxr,-213
kovbbakxql,36,jeemejammr,984,DOg,ulnvaunpdk,DOg
