ecnitxnvzb,dbyjcafgyc,aoeubhrkel,wewqewvgtq,sbofamkplm,uvagnkfbyf
-70,DOG,-0.119,airwqmlipw,dwxugmlisz,0.2585
657,-216,wpvwetlsgb,mbgjmnrwio,byresguyox,-0.411
-0.1595,0.3785,cAt,-388,lxqipeisqw,fdeszafybk
Dog,-899,-0.473,-444,-0.438,akzfeywoul
oediawzscn,-395,0.0975,-0.1005,-589,-0.237
vfafkykyfh,372,-0.2,DoG,kuezlixmzz,-550
-0.466,0.0205,0.098,-300,0.498,vismpfezay
931,-750,CaT,0.0375,358,xsjzdvxdfq
-0.18,wpvguuvpqa,0.0425,DoG,293,420
Dog,0.1285,-0.3335,133,-794,689
cAt,0.049,-995,630,-0.083,-43
0.306,CAT,-650,363,oizuomlxuc,vxedheraxt
opyivyzqfi,0.124,427,DOG,dOg,971
-825,-178,bipwpdglhq,DoG,174,-0.1195
-0.2235,487,650,-0.3175,-875,-559
dvdtxpckaj,-685,xwwqcftfwv,qtqxvqjnkk,pibraupkox,-0.3265
-0.131,kofcnhfdeq,782,-901,-167,fvujtdursz
-0.366,CAt,-340,-614,0.3765,euvrynnwbm
tmcqcngqsq,Dog,cvukfwlwzp,540,0.0665,-0.1185
nnwebttnws,45,jhphobuuez,-0.4505,jyvzsgjnsn,-0.347
