zpjjptxbqm,fcecvdepfz,lclshxjiqq,oturpoytra,glnwjuxyxa,rndfrtwrnw,rdeqqlyspv
yrpmpsmtss,0.4385,-0.073,-975,pkwwzveonm,wxqkyubnam,58
CaT,zrmzjgliei,DoG,998,0.138,0.495,jladypfwmc
-0.326,993,graypendot,-0.3625,hprgrllkdl,cvuwaibumn,xqakqlfgkk
owrccxvizx,CaT,926,shvnpzsyko,860,191,942
DOg,-159,-730,yuyaqoisyf,dOg,0.11,-682
DOg,151,xujzmtyhcz,-0.152,qtxifcdklt,qtrcfrxvhs,-702
ktsrfsivuw,0.232,-0.4615,dOG,jpqxxsbbdj,couaktszce,Dog
637,scpmombxwi,-486,-0.3795,fchqaoecud,jgasoaxwid,0.3125
0.2585,dxxgjdkqwg,0.102,CAT,0.449,shmsjqbntt,cdtaokakio
byvejsyhvh,0.4955,-0.308,-712,-25,nsywgwbstz,xlzeeszhxb
286,-309,CAT,667,0.468,882,DOg
doG,0.4475,-0.3195,-0.227,0.095,181,-227
-302,hgnfuxrism,eigjkghdjd,547,-139,-731,Cat
cAt,-286,nwkybscook,caT,-483,0.1685,0.3045
-80,dog,0.1325,-0.0465,cat,-903,518
niqfftwphg,dOG,-0.225,fbzbocaond,khvmqedriq,hquhfvrpte,-43
-762,454,0.3,saqenfnpqq,-85,dOg,cjrdjkmopi
-0.106,dOg,rnuifcsxas,-0.122,0.4485,-0.431,0.379
