xamslyednc,cnegvxxvzw,hjtxdltnac,dcbcsyfzmi
-489,kiyzptmqsg,275,855
290,-719,50,ixsbdrsbba
wuyzvmnczt,-925,-0.3185,0.4845
CaT,pieegoaxfp,DOG,438
zmmvxjmqhx,188,-28,680
prquatgavw,0.052,dcwiepuxpr,0.255
CAT,0.1965,DOg,0.4025
945,DoG,0.1065,cAt
Dog,cat,0.36,437
348,nhqambayqr,mosreeioee,766
-0.26,qwjcdjodsd,kjelfhkatm,DOG
-151,-0.197,hgxrhybyjc,135
ejxetjiami,-0.268,caT,-30
0.3655,-820,-0.206,598
-225,-292,kjrwkuljxn,0.301
-623,sourhvnets,0.4335,785
-707,wdoxdosjra,caT,jydmgduxon
DoG,Dog,Cat,zuyndsrphw
0.177,0.3075,fldcfpfxtr,-0.454
0.496,774,doG,pphyrxofkv
-0.132,122,0.3425,562
0.415,hvtvzjowzk,clgycvnkxe,CAt
cjpnbzejwg,bjtauifcbk,-748,exhfyfbcpn
ktdkikytdb,fbpjffykdk,-0.2145,-735
-0.2505,-0.088,cknqgqdvlu,CAt
-963,cmgweoknxw,doG,528
0.1615,mlkgvnsewk,mqlnwkkpkk,yhsjjfyial
iowaqbhxqm,scxnxqurfs,-812,891
-0.2915,sgjshnodys,Cat,287
ffafcfybgt,hpdayiilpb,-0.382,opzhqygtbn
0.304,bcnlfiuius,-33,-0.036
657,0.2975,847,dog
324,oditjpbuhd,850,-0.098
0.169,aaqkphtsuq,623,-343
hkkhtztlyg,yginpgodik,-801,-0.163
0.4835,288,-727,0.0785
0.368,jjyrebkjnv,riytniimpn,xedtvjcjnw
cAT,978,Cat,0.178
-463,0.372,-622,0.17
zukxfdpuha,0.4685,-0.4585,hwslrxgfkw
DOg,-0.0185,DOG,sscjrlejry
0.4275,CAt,rsmnmusxvv,CAT
651,0.297,CAt,xhshwshani
-0.2205,-695,0.0285,-22
667,-0.149,CAT,ufmbasomae
0.259,-0.024,0.2945,sbvslbwxsg
cat,cvqnygqztb,338,cAt
