pzmebujqhc,nfroebyklj,peT,qwprkhukmy,birpxdmqwe
naxowzyllh,yxjiynwthg,-460,cAt,0.457
jasaauertk,-348,cAT,-0.298,614
-16,-0.473,DOG,687,390
0.4725,fpiisbxjhq,CAT,wuluywwgeg,dog
uflhbqtaaj,-267,dog,-0.4415,myjutcwtoc
386,-861,CAt,bzxystmccu,CAT
-0.4585,uenewxtsvo,841,-0.254,203
0.096,ajpfhalmhn,subsznlfqa,sfdkmxqwjj,lvjeulvxad
DoG,-0.162,Dog,zqjbkhypwq,dog
oozqcdvofp,0.366,caT,vwljwqeacj,dkdpwzrsoi
-0.098,0.0605,bujjzytjoz,Dog,eipjgfeafv
-0.3145,-0.413,CAT,0.495,lbjndzaopb
-0.303,708,DoG,wggclfdrim,doG
doG,-0.39,873,vlcmzcuukb,qkswrzdozr
yyjxscobey,cAt,doG,-616,-0.259
-0.3725,110,caT,-0.175,tlqqkqjqpy
cAt,CAt,Dog,sfwtelvzyc,0.4535
djkrolfnjj,723,cAT,-0.0555,919
CAT,pcoczaioyo,CAT,jsopubfqej,ddhlffszka
fcxffmtyku,0.1565,245,CAT,keyokxezie
cAT,-0.432,-0.4135,eiyorrpcpd,ubtacjvcrb
-0.433,-707,CAT,0.466,CAt
-0.452,0.123,cAt,660,0.277
0.1065,0.092,mltmiqfbyj,rbylgsrrev,0.4235
-73,0.002,DOG,kkunktpzvi,-0.2955
187,313,cAT,cAt,199
hrkznfzcbb,-0.0695,DoG,dOG,0.2385
-672,nwnmjooksn,CAT,0.151,hxtvovnmlp
0.061,CaT,cAT,-707,DoG
-0.38,DoG,dOg,Dog,qpwikoofki
dOg,-0.4985,DOG,kllqacdztv,-481
-528,-0.3405,0.474,-0.029,686
-29,-0.3545,DoG,inbufhwxww,0.2385
luzhvufadb,yreugejcex,DOG,0.267,0.0425
tuxupoiuhc,tprtmgsvxv,cat,0.4415,caT
pcmffuqoqv,0.232,wbpjdjoazd,-565,aqstonlncn
-0.0185,abtcqdnwgt,Dog,-0.482,675
zhmoyjbvoh,462,DOG,CaT,-0.4925
DOg,cat,cat,ralbcvujbp,cnqfgflyzz
kktskhugtm,cAt,hjszqbjiiy,-0.4435,-408
uzofvjxcmo,CAT,CAt,Cat,-0.1915
tjcslpcgbw,0.437,Cat,xazlbrgumm,kuggsgjmcc
zlwoduacvt,-223,-929,896,pzhrhnafay
bkmnfrpxac,cfotkpzxlg,989,-0.2965,hopbicwlnr
0.237,-148,etmvnltxor,CAT,-0.3705
kzuemmetda,eygarlsvny,-129,-30,315
DoG,-23,400,ldbfdcyyse,-698
-296,-26,cat,244,0.165
clxattifaq,0.329,DOg,ainhnubqeb,dzllwlhcow
onxquvjzrq,lzjpyujzqe,CAT,cfxezktuxz,0.145
0.2005,ullyocompu,doG,yecxuvgjfm,0.166
-872,wxlyqjsqph,DOG,0.493,cAT
