hjxtubstcs,yhsawqyqug,zamdjkhzvp,ygebspomom,lnkatolzyg,hubksssswv,usyhofwcjr
-0.1455,hxrjpypgox,ifhzagopny,399,0.2165,vwjeknbrrp,0.1775
shqlcjvmmb,-0.409,DOG,vgjsendved,-0.4545,DoG,-25
dOG,dOg,-0.1295,126,lizvppgnzl,-0.053,-0.2915
939,0.0345,723,dOg,-0.3315,-0.024,caT
-472,-925,-0.204,qgonyvxbta,429,sblkdcxdwc,-450
-0.3445,atvdstajcq,Cat,mfneqfjebh,0.2455,-280,0.4005
-148,tsnbuiurfg,0.0075,726,-742,-301,dspadsemyc
257,agwwuwlizv,dOg,-0.355,CAT,bkhywffero,vzrfgltphx
-348,-0.1605,0.094,psvfvrmvxu,czdobdjqwc,CAT,mwowsfclyg
917,-442,-66,-84,ynwiwdrips,srxlbgzqet,0.177
cat,-431,0.0285,0.0375,391,fvnboutpbw,0.3145
0.18,996,dOg,gfisbkcfuf,cat,932,mjfsvchtdn
0.1595,165,0.0475,DOG,0.257,doG,323
DoG,0.0505,-0.465,-0.1595,doG,doG,-572
cAT,mpipfnuoml,530,-0.3515,366,hsirkouzla,771
hqraiyxavd,0.1735,pbuhddhysg,0.4805,fnycsyyedw,DoG,-140
826,-698,Cat,-961,CAt,0.106,koumylhymw
bpjzebniit,obrhblqmkk,pfxkoudmtt,dOG,DoG,-0.153,0.4465
CAT,dOg,nhtgznaren,Cat,dog,cAT,-44
62,rogugfeewr,0.3045,qfgegvfhnj,bpxrjksqwf,caT,-175
-0.0765,0.0185,DOG,898,573,-0.3645,-80
hzoqifeqjw,flocoycevi,ojzzyrgwcj,0.0505,-0.1565,cAT,0.01
959,-688,osowywbjzh,cAT,zdkwblyqcc,-154,aafbontvuf
-681,emmnghzkld,puehmmzfjj,cat,469,ivjrafavyt,wjjuyuabqk
0.2715,cAt,-0.486,dOg,-0.1825,641,knpwwtjxrl
326,scselbogbm,-232,ikiuiehiau,dOg,-164,azqhwsdces
-0.159,0.2815,xflcgbdgin,-0.2415,cat,sdlhfalsdr,ldyycznzsk
CaT,-392,0.1855,463,nfbdyhblrd,-0.1995,-0.209
-359,737,0.042,ooerhzkuos,15,kwyfkedudm,dxmwiolpbs
mrzuemeztm,-0.2925,0.084,0.428,CaT,0.3395,0.245
-0.4415,41,CAt,DOG,qhqytkaxwn,Dog,CAT
sclqxqghhk,-0.2615,cat,rrmhhbidfz,-426,-661,-841
dog,CAT,539,yrwvlppjed,CAt,cAt,qaiaqexyvl
-0.2305,kafwidvnvw,-0.144,-246,bmvejbxmas,0.4545,24
0.492,abecephsrv,-0.321,oohjgswbcl,795,-0.24,-0.4485
331,rmchugzvlj,dOG,0.102,bybtrtvwjd,0.302,-0.1365
DOG,0.0535,kkqcvfeqcv,CaT,356,98,508
0.144,yxophkovnx,jhcgzixanl,lfnynclrbn,DOG,dOg,dkcqslhguj
cAT,0.4075,0.1075,aralhkcqua,DoG,0.023,0.3905
613,957,779,Dog,utbcbadbxt,nlneijlhag,yqujnjasok
DOG,Dog,doG,fxppskqikt,tqrexvshvq,kvwhxlgwpi,0.4855
iljazvfoou,xsjmyuknhw,-796,557,0.3405,mizriuacou,lmlrximjua
0.3025,-441,gchdytkvpg,cAt,-0.332,0.3845,0.102
jimnhgfmrm,gsgrtkakms,kdbscgfhtz,-300,DOG,zbokzaiuak,0.1375
77,cAT,-321,-0.3455,veuuzfuijz,cat,Cat
381,pmobebnlfy,405,-0.1105,-392,qycskmnors,caT
-0.036,0.2585,-321,-816,dog,tfkobdijft,tzdawxdoku
ojmghaxuhc,CAt,dog,-0.471,-795,tlddosveen,0.123
cAt,732,ajqtbwbbbi,CaT,-72,-0.3005,dog
DOG,0.28,366,cAT,-481,cAt,329
-0.36,gjmxogcfmn,486,315,vhqrouopeq,CaT,-0.283
-0.496,609,fbtrmintqs,dOG,kwcxstetei,395,-711
CaT,-0.19,vhngijekjx,456,0.392,cpippypuka,cAt
0.068,-0.4615,sgflhvjwgv,249,-59,0.223,695
msuesvxddc,-0.329,134,-0.0725,-0.485,228,rcgnpuhzaf
