dwifwbqcoy,lfreyxjimy,rlfgkjkzcw
-916,tzisxanudq,DoG
-476,-0.174,ydgwljvuyf
dxrfcwtnuo,-0.236,dOG
-375,19,DOG
-0.2785,0.244,jbaiinwtmh
-0.4715,cAT,rulasqrqgw
adnuxjfeix,swgqeiakwh,cAt
-142,0.0245,-0.2495
ncvcpocrja,0.3055,-0.0445
tnwlmduoox,-989,rohunhaqok
0.0535,691,dOG
tqoxkucqps,jxajgjzwhq,Dog
Cat,-0.4715,DOG
0.3265,DOg,DOG
0.3995,-347,Dog
nlirmrlxuo,gzticasddw,972
azvybxopbh,0.387,568
301,pzhqqsbiwh,sltewssayt
dhrldpbqme,iradqbvpty,DOg
hlsjbrwtmy,599,-897
osufysmkcn,brwmwiltyn,DoG
0.1215,0.091,cat
CAT,CaT,CaT
lhnhxsdkkr,qkwlfttams,0.1655
-653,caT,caT
