ibmsfzkvdm,jmfxbkxzbj,pEt
-0.023,cAT,rtgyuipmzt
-0.344,bnjakrfhft,-776
-0.4815,-0.0625,doG
vwilhqldru,798,CAT
nailsdwodp,-0.3845,CAt
-0.1945,rdvvvzeulm,cat
-0.0285,rreqmbsgtn,dog
yiwumfccok,wnxzimspil,DOG
-614,ndqbsiguah,CaT
CAt,wrhsgfyvkb,Dog
984,dog,DoG
-0.0875,losiujrduc,Cat
0.307,700,0.124
804,890,DoG
qvwqytjolm,0.0925,dOG
0.0965,cAT,Dog
ahshbxkqsi,dog,DoG
naqzvxqgsl,0.069,cat
0.3095,-280,Dog
ghnxzlfyyk,rrpfwtimdb,Dog
-620,gmffjxwnvo,cAT
0.4285,-0.2205,0.2005
-0.256,172,CaT
elyhngzvgq,ipedjhkwun,wemirsdgjh
848,341,fznbvjqubi
-851,xehcnbynbb,Cat
CAT,CAT,doG
njtzoxkngu,xjnnslmvem,caT
dibusizbkg,-59,0.4835
tsgqgfywvp,-0.202,-0.231
-922,-220,0.081
0.2615,cAt,cat
0.2465,463,0.022
enpvulslgc,-0.2615,cat
-0.4635,-0.0045,955
Dog,193,-0.1375
ghsghfxexo,DoG,-938
CAT,qqwqgrmdoe,isyymkcway
-0.37,491,DOg
-0.4615,gpnfyrwown,-676
-0.1705,dfioptttdc,CAt
-0.0445,337,DoG
0.436,481,293
wldwfhntxh,-942,-333
0.0685,-662,Dog
0.2955,mhezgfyffu,Cat
wqcizljkie,24,0.0965
