llpgxcsqok,dsilqdrjsq,hxuhrublda,gwshygboqa,mfruecwbuw,jqofymwten,jgijzixafc
-354,-0.317,jrsqlbrmrw,-0.1855,0.0335,329,-394
-0.363,tvqshlhuyf,ryerwkoavr,CaT,834,-0.31,uwfyeijqgc
-479,vrteeagqka,563,DOg,CAt,456,vlsmpqeohh
qiqenjlfbg,-405,noofellimf,DOG,arwfyghgsv,0.492,vdfrfdibki
eclybbbhad,0.168,34,cAT,ymocgevfxg,CaT,vddonudjfx
0.2965,664,hwpitdlsia,-826,-0.111,-0.4495,650
-0.23,yreqgjsywo,zaucgxrvzm,qcwxrottbo,auzpcjgzaj,Cat,0.2385
cAT,wqmlsewhvl,Cat,hjticehcgs,-178,schceyudkf,235
102,517,-60,CAt,254,184,-0.2165
yomivyvowu,6,-0.092,0.283,doG,-0.483,cjycypnkev
yvndszioys,628,-656,300,cAT,-940,-0.264
cAT,140,plwsajhaxw,-0.1445,-0.0545,-452,foebrjzqvd
DOg,-0.232,CaT,-149,-215,virjrwtafe,230
227,-0.049,777,408,qxibzvrwrn,-0.1865,-0.3685
dbvzgqfwss,-0.0195,-0.185,0.144,0.1795,xqpqhkrvvu,-887
0.32,tlskznwfdl,-0.4815,-149,gzolxwckvu,xoialkdfcx,CaT
-545,qnoqesxmts,DOG,0.113,oroqpkpxod,-444,545
811,dOG,pgpmaavhsk,0.2175,0.5,-0.415,Cat
jjhcohxowg,-558,-541,-0.021,356,155,498
xmfvfrhskh,-550,-0.21,-268,icirluqkxs,-295,0.442
-0.1295,aecqwpaugp,488,541,ykfyqlwpvd,0.037,qwutolylip
-106,492,Dog,qmxdgsqapj,346,-0.0145,0.003
0.257,CAT,Dog,doG,-231,cAT,dOG
652,-0.325,-0.194,rkocpqfegy,418,927,-0.1355
uzmmytxndo,417,DoG,-0.3185,805,-0.3875,owzcbudfqu
-0.3845,0.391,0.3225,0.343,qzylnodxoz,101,CAt
