bbguxicoom,tqwipltthg,uolsqyxyww,xvzgcalman,Pet
zaqaweehiq,-529,yptxxrottv,tnmodmoqfg,CaT
-82,caT,metzkffppr,gswwonclqo,-0.139
-0.442,0.453,yparuhkzsy,-0.39,Dog
-151,-0.4225,0.293,rnmiyajdzx,doG
CAt,qvmzxrmjpd,-424,-0.301,dog
283,-0.022,117,abcrwidcjh,cat
dog,-0.333,0.4995,dsothpbark,DOg
895,-323,-0.425,CaT,CAT
zcefrmmfgr,0.1405,0.04,-550,DoG
DOg,qfxlzrdfjv,830,510,-0.2275
cat,779,DoG,dOG,DoG
0.1025,366,DOG,fxiacqjczd,DOG
135,68,DOG,waisgyyacr,CAT
0.172,-0.154,fperlfxwcr,753,CAT
0.3945,cat,0.069,0.0945,CaT
0.2455,shhylwbirf,lhsnlayleh,-114,CAt
naqyrqcwtt,-111,-0.4875,fgpultixmw,dog
0.35,-143,CAt,-329,-692
-0.3265,0.42,686,tznjznqwtc,795
0.497,DOg,0.4615,fcqdpobmod,779
cAT,-0.4175,623,330,CAT
611,377,-0.442,-977,Cat
nyixjzxqea,nrjmevyruo,cAT,819,-0.0145
22,rnsuubxdbp,rzlvluhqsv,-0.48,dOg
qwueihhcyk,kgmafhgyzi,CAT,-876,DoG
0.3635,-569,-792,uxzladjwge,doG
yalphvzuhf,-0.448,theqjjguma,caT,cAt
-869,0.327,-424,-0.3685,-641
Cat,wdxzqcuzou,Cat,CaT,-0.3745
-319,sswyfpcavb,xsayvuprfo,CAT,-0.1145
-863,DOg,-0.102,grpetnvnpy,DoG
860,0.0075,CAT,cat,327
327,-0.471,gazbjwujao,xrwmksmmci,doG
-501,qchagufjts,-0.4765,sayasfbdqz,cAt
-843,-0.2335,-496,-0.418,410
Cat,0.495,0.1135,dxlulrhebg,0.3655
-0.4535,-603,-138,806,DoG
udqlrulcll,-0.193,0.495,-0.185,CaT
jpokuksoug,-531,DOG,-733,0.337
281,areoupkktt,kzejgmmkcu,gdwtiskdiy,cAt
-0.1425,0.2695,0.424,cfpkeazrqn,-0.32
oxmlczbiib,0.3495,-0.364,DOG,doG
-0.4965,lcjcuznaxv,etqfqjvpiv,jusxcwkern,0.129
-0.177,geiiaroxud,oyjrcfoomp,0.4275,-537
bcqdwuscsy,-0.159,wxdkrenxap,janhczsntl,CAt
-0.4055,dog,CAt,53,cAt
34,dOg,-826,0.467,CAT
-0.0975,-596,wfyutvuemh,0.229,dOg
bspivnmtdq,-429,Dog,402,pgusqguktr
caT,cat,471,CAT,-782
mjipfgdrgk,0.283,227,-5,DOG
0.4495,objkgnufya,-462,-105,Cat
-187,tnfwomorpl,0.1295,0.4215,CAt
-0.2675,DoG,-0.4705,iipwznnfue,-132
xyatqsugiu,944,0.2015,-0.3355,dOG
DoG,-0.1625,Dog,xniudebaur,CaT
939,-0.4755,235,402,DOG
656,443,-183,741,Cat
-0.095,-0.172,-0.13,cAT,dOG
0.1135,yllnhxmbbs,92,jqezpimqhw,rqxhjpigwq
rbriqsorxw,DOG,dOg,398,cAt
0.41,0.2515,bwqaqijokp,367,rokuirhrwn
-0.0255,cjumwklbuz,8,-0.2145,doG
-423,cat,ajcxyembuz,0.466,-0.246
ywsgzukyof,170,-492,0.282,caT
yknxgrdoxq,mnwuijmxpv,DOg,CAt,dOG
548,iodcgrybhk,dog,0.4645,dOG
rrxiycndsy,dog,cAt,qfpcopcuwu,Cat
0.3925,-747,kscqsdflgg,gzkhhripst,CaT
362,cat,DOG,592,574
44,0.1205,cidbbrgenq,-0.4165,Cat
dog,DoG,205,cAT,doG
-0.4835,734,-330,ykngvcenvj,-747
