hlnosxmkuj,llggfcfaon,sdxknluyjg
732,cehzfizwrq,-598
520,-157,sisbswaeki
whxsroafjs,-0.007,nqwwdrirar
788,326,DOg
-257,-0.3085,cAT
-0.2025,-221,Dog
321,Dog,-661
9,-810,-376
dOg,285,-112
pongvhdvjf,-829,jncikpgpdb
DOG,cat,tyykpjtqzp
-716,DOG,-455
-606,0.474,rmwnahsxbh
0.1275,-0.162,-980
cAT,cAt,-145
CaT,0.072,-334
0.2245,929,0.147
cAT,0.301,-697
168,0.4555,586
DoG,-59,cAt
809,676,Dog
649,frvcaygfon,-124
854,Cat,0.498
DOg,-0.3115,0.0885
573,CAT,-0.134
-59,fjrnzjoagn,-29
DOg,0.153,Dog
-745,787,-570
yphzxsqkkw,-0.3815,voejspspgn
-897,-0.495,ldchbtcypo
638,-700,-286
664,stycdwgjnp,-0.443
-476,0.441,345
CAT,-0.4185,caT
110,vusuhthnhp,564
fwghpebkce,cat,0.477
838,0.377,caT
-89,-5,-79
Dog,-0.243,0.21
-114,uyxxdrzpem,CaT
-0.38,0.39,-0.4315
CAt,-0.178,-0.309
-171,lwnankpsgd,-0.435
rfzzoxvksn,0.4425,544
-919,rsfwyfurhz,0.17
wxnbetivwc,ekfmfqzmsl,75
0.4765,-215,evuawzlcgq
sgdxhxtdvd,785,-460
benqjvmhtm,djjtojjglk,-0.013
0.4795,-0.229,qzfqlxbfkt
184,CAt,Dog
cat,954,-687
wbridhhxwn,441,jjswutibwk
kulrjirmai,-0.2865,dOg
hxsbeadrcg,fbyvwroqhn,dojtnkmliu
giikewiaxt,284,-0.3005
uapilsburf,0.441,ouzkbssdyv
0.0095,-225,-0.461
-317,0.0665,mxhnvqhxld
imfllbngsn,0.3425,-0.2795
47,-434,liivahmmga
cAT,-182,lqohwfzrpx
0.03,uakofmhwpt,0.1385
0.1685,-0.3515,doG
eoevusngjc,uhsnuqdume,dvklacpixr
yceapeeiad,tllcxfaznh,-0.208
-701,-0.151,atvwwgtxze
CAt,325,xpgeqcavcy
830,0.239,jmpkagyztf
mtqizzddtf,0.218,ztfblefxfs
bjvmjczwhv,-43,-498
rizeczbdfh,caT,-647
rcmtizynyv,dOG,-315
qonltgkugm,dOG,cat
-26,mrocnvnwjy,388
-98,bqsmfzwyvq,Cat
kzbxtrfpxj,307,-804
430,-79,0.1505
0.287,-0.4965,cat
-0.3405,-0.196,sozovnduee
902,0.063,943
mlqyyfquic,321,ueurfvmowo
fqhedrreww,odwqxvkfxh,-0.037
dog,336,94
-654,pqzmkygkei,-219
919,0.2045,0.3595
-961,-99,-0.206
-0.49,0.3045,-0.011
0.363,vgoninscao,DoG
CaT,doG,cat
0.38,DOg,caT
-327,-863,unntvwjitw
-0.055,doG,gcaiahdimz
0.4555,-174,bhlvdlvqen
-852,651,0.4005
203,-0.3995,929
-0.333,-666,hbuasdgkug
-632,349,-0.489
0.356,-305,331
0.288,CAT,0.4775
