fiyenteqml,gvpzuxgqhx,oqmtekzgim
ariovrhrxp,juhtduhaai,hgtxahyywh
-0.0155,DOg,cat
79,-70,318
byasmkhfai,kfjmtfthdw,-0.0025
0.4075,204,-0.3625
-574,0.3635,0.065
-989,-0.219,-614
zazgywuqrh,doG,768
dog,-511,191
jsrpwftglb,0.1605,sriwzeikql
caT,dujtivytzp,zhnaslvtmg
dOG,hepxkazrri,-0.2025
dog,0.2235,DoG
Cat,-0.038,62
-0.403,uujxzycabq,-578
cat,-0.354,-0.2785
rzlugjgtic,757,ecanuuojvq
nsewfllibx,-0.079,-60
628,cAt,0.061
99,-794,DOG
DOG,-0.393,750
0.3435,diilwmhbof,-822
0.1405,0.1805,-466
-913,xkjykollhm,-733
dOg,0.29,0.1435
0.042,326,-150
DoG,CAt,-0.098
oodvxyyssj,vbmufyatxm,dOg
0.1285,CAt,-352
0.252,0.134,ifqsyvsmar
0.3805,925,-640
475,DoG,-0.1715
egbxxedejl,cAT,yhdrhjeamb
-0.4125,DOG,-0.0495
-0.148,ukjrostaav,-0.2485
-33,0.036,-726
0.159,znjrpdjygz,-936
0.393,748,rkjgzjslsm
kzjumszqra,hwsgtmvoaj,-0.336
urmnhuooqt,gvrluvsygb,162
0.4655,728,791
-0.1975,-947,414
