fnitoscucf,kqyqspoaeb,xmveuxydlf,waymnnwnwx,itrxxqqhvs,yhffduatbw,uivxrbukvz
rzeveplycq,Cat,caT,198,0.459,-706,fnklgfvdzn
-371,71,zntopnedfm,ofbiwhrszg,-900,zinawabnzb,CaT
-0.4485,ohqdbsawui,zmibyofitv,-0.2345,uemocljlau,-103,doG
sgilnumesr,vgmpwxtaqk,nyptejeocz,DOg,-967,cAT,-602
-592,-0.478,kwcfacuheo,vydwcuopkc,0.383,-296,-952
dkvynclvqe,362,CAT,CaT,332,zbtyfsixvl,fycbpoxvnu
vwbkzkrdtl,935,0.098,0.159,yvtytsjtvl,mwsbgzlskr,412
cAt,-136,31,-433,-0.367,-980,-0.171
lbwiwoqswg,Dog,ovjhrmhtww,0.136,dog,-498,DOG
0.4145,DOg,-220,-0.265,0.116,CaT,zcsdhoyvge
90,mjcdxhtxhm,-0.2425,138,620,-458,DOg
-0.29,maptbvgwtp,dnhhaykdlc,-399,655,uurtoroymr,782
-0.2345,yrgcwpfhos,-0.06,ictkgwuajs,0.3825,870,cAt
cAT,-967,DOg,-0.3525,467,uhfknpxngq,rkknaqceqm
0.2645,-234,0.3455,zsksjxfyrf,fljqbicnif,slzsopwnbl,-671
872,-0.103,398,-0.3255,kejupcabvj,-0.462,rzlcjpbecf
kkodbxmlgo,638,0.0205,0.392,-0.254,0.1205,391
-0.4525,cAT,dOg,-0.2335,pkykziwmru,CAT,-896
vshjyxplzw,cdqsrmngux,cjrvfjgzoc,-742,twdshawctx,CAt,134
0.1265,DoG,pndsmrfufa,uzxqsyeeuj,-475,lzcyyybyka,ofellqnhkp
DOG,0.47,-618,-11,-0.0985,-284,wgcjetihwb
wpkzcvjdam,ghwdywimvt,CaT,-984,0.1965,0.351,ixlrpfisqv
cAt,0.073,113,-764,drpujemuav,Dog,-461
cvzfmjvfdf,auwfjhqmbs,pxaueuesmi,-0.3925,jysluefmym,39,ivapjmhsly
bcvysillhk,0.4215,eewwvkgllj,pspavawqwv,0.319,muodadzgww,-301
jkfyeiankr,yhhiaowoav,-185,0.386,141,xbkhrziloa,0.2585
ktnxbjauvo,acjwfepicv,72,wbyhlodjsv,DOg,waebgwgirg,caT
-0.3135,DOg,702,293,alqexkmrqv,0.1255,0.169
xttbrtbcta,Cat,zddjmbwbwx,0.3375,CAT,-0.3385,0.1825
onpdmmsuwp,-0.3945,0.271,-0.484,asoxajeynq,ytbifnjlex,114
950,-166,pgzbfszffg,723,dOg,-847,0.274
xuuytmxqno,Cat,shzoaebfwc,-532,-638,-0.006,311
pkxelgqugi,pectccrmli,vyiitfdelr,-778,-743,0.312,rbedfrftim
DOG,DOG,0.306,461,0.3415,527,CAt
265,0.494,dog,206,-0.003,cat,hxzymmsfwe
666,-811,-0.164,-0.3735,xqdqtgneis,rcczzqswtz,-0.202
915,-674,607,kppmtzvvqs,0.405,yunwdlztjh,679
-831,-0.058,0.1165,0.33,-731,936,-950
340,-0.054,-0.4995,0.1545,257,qtgehvolan,0.406
-0.1695,527,zdlbosjcjv,-0.443,iobbbflnvx,0,-0.1615
dog,cat,-0.0445,dog,llfkmrcywz,tqrvwowquk,nbwcpyanrr
ebxhokivjx,Cat,qbummvareg,krupgshubi,zfkbkrhfsz,-0.237,-738
-0.11,0.009,yfybouabvp,zfbseygkkt,klotdevxvw,-0.3335,-0.053
osmalfstpi,ilvmpldfks,rxkyzvbhue,0.1305,-516,eqciimvdqy,0.2905
590,-0.253,0.2625,723,-557,iipxiqaddi,0.053
DoG,-562,-0.1275,DoG,oljinngqtb,0.345,doG
dOG,87,yfkpzcpaiq,ekikxenfqd,0.204,riaziqcorj,-0.116
Dog,166,-0.2485,958,CAt,-0.4645,qlemonikab
0.033,-365,pegvuuklwp,awcuodwbti,-0.232,cAt,718
0.009,-0.453,-0.284,-0.0695,DOg,caT,doG
-695,dhuceihzcv,-0.2535,648,bgkyzicpsi,-750,283
jiyqqcyohx,0.1025,-0.2615,472,CaT,0.1275,-0.014
0.0375,dog,lbsmlyqetk,0.4255,cAT,doG,-0.0965
758,dog,DoG,cat,ljfriawqka,0.2965,920
qtwyttrwxr,zbxmygrfwh,667,bxokhjriot,114,112,503
-515,doG,DoG,kltbhbjrjv,yclypfotya,kanvfdqxkh,0.2615
-0.148,qzgdyuaexc,xdaigbnzai,cAT,215,0.18,cAT
940,fldiwldrsk,ahnwktpshe,hxaddiusob,Cat,0.4305,820
-0.3845,0.1065,-915,55,221,unqaxeljjn,yhfivivbee
jygoddyfbw,-991,-0.1455,-536,0.1645,Dog,0.0865
dOg,zwxekyohcm,-0.3135,-457,0.024,vumibmlvxx,-105
209,-0.3615,139,70,-0.254,DOg,0.3015
10,499,-40,-657,751,dOG,-0.2555
DoG,0.3995,unevvwjjeg,dOG,333,0.049,cobfeochrb
39,913,cat,0.444,expbttdcix,-0.274,0.048
qrudpsezyw,lzdompvjwa,-60,cAT,rhyhqqscku,zlnihsrrao,646
-182,-827,DOG,665,0.024,0.058,cAt
DOg,0.4,0.157,ydktynvqiy,-494,-845,0.124
glymziyump,-0.44,paikkmbjlg,-661,hpdajjrdzq,idlzazhiol,659
elotecxpql,860,0.424,qoxvxyandj,cat,-0.106,skuypztqjy
