njfbjduexu,PeT,bguydejmyi,rdxwgjeldt,dxwnynabsb,nfiayieysl,rkciqesyye
345,caT,-0.0195,-433,tnqfjagvcs,-483,cAt
-948,cAt,858,dOG,-985,DoG,npasrmcloc
-648,CaT,-478,swvejebspd,10,0.339,sdoatzcvkq
-109,dOG,jynxrjqoha,641,cAT,83,-521
0.366,CAT,-563,-561,-631,0.238,rvclblphjb
-674,oequasuyhb,leokbrtqrx,-848,41,-654,-935
-903,Cat,992,qznmtqekic,-274,0.087,-0.03
329,Cat,-237,hmmrxfpgqc,-568,454,-589
DoG,dOg,725,0.4855,725,rznpozragv,hylagamjpi
0.297,vncgfojzmb,-0.44,sbwtcyjuqx,-631,-0.039,492
CAt,925,obgndntbjm,sndeyyvurq,dog,-0.1905,dOg
-0.4955,CaT,-215,160,-455,ooijgulong,dOg
aszakcvgrm,dOG,-0.34,0.0945,-88,-0.4035,cat
-0.2795,cat,961,-7,-0.156,kmmqutcnkn,-0.0255
337,cAT,srnnhmiuwq,-0.454,tvkmwnifph,302,dsxmbathmg
CaT,-834,-822,CaT,0.406,805,kjhuwbevvi
plevuiwqtc,cat,wgzuthbwgi,620,orlsklxknl,CaT,irhsezntqj
66,dOg,673,0.331,0.086,-325,yqwtgjosgy
tlenzdxjwe,-937,-0.402,-834,rvvwpkahag,-0.3835,vturxveowc
dOG,cat,-931,CaT,CaT,uwvlbchqxm,47
yuqdntbvbv,cAT,zqlmayavcv,0.31,CAT,DOg,0.2425
-481,doG,0.219,0.031,DOg,eangiximty,720
0.238,-0.144,mocelzenbj,618,Dog,cAt,0.1515
