pcktvqwsct,rldmecrqhg,jadenvjjop,ixsgyxwilq,wdrlfrnqhr,nyrgxhzmgw,gmlueawtml
0.1985,cAT,-0.334,0.474,-0.4465,-0.3945,831
631,616,caT,-34,960,-434,-0.406
wvwfaumbqe,uaxagvdeje,0.3805,812,vxvlltiyko,362,eagfvpgshe
880,-0.117,0.171,-0.386,kbiiujbhho,cAt,arbvoyngof
CaT,mtitoxisvf,rowcjxmclc,-291,-0.0675,-9,reqbqxpsfl
dOg,njcvfxxnqi,-198,-0.082,-404,wqvqihovpw,-0.075
-895,0.2315,-867,modumcfyve,yiqrmecids,35,-0.0935
caT,373,0.1925,kprigppnhi,-515,0.068,-570
Dog,0.3565,caT,328,lvaxlhfzjs,bshdqmrcoq,-0.382
wmnemoqjua,aslczbwakn,0.2035,yqeopgxqyg,-0.314,-0.404,874
-980,DOG,-159,745,gjerbbpojv,kanvcrvbea,-711
0.2005,-0.2155,822,tfvxmwhduz,Cat,-996,0.4345
0.492,dOG,281,DOG,caT,-151,0.3445
0.237,cat,0.0645,qxmldffhsf,31,DOG,-288
521,-926,yevhbmnhdo,DoG,19,0.0905,-0.1735
puiwwywwpd,cAt,563,0.478,DOG,-146,594
DoG,cat,-477,CAT,-924,bsdegvvbcz,lfxalzkiqb
0.061,-107,-0.372,0.287,0.1425,Dog,agsweqalkv
qjcxiaweil,0.4195,ucrvtgbbto,-0.2795,-0.0025,jbgqlcqsti,cat
joiypgbmps,0.272,bwutegsrsw,dOg,remcqjyslg,cat,mtjixcijou
jhcblsvkmt,-0.365,daziyjyupr,193,DOG,0.2805,0.399
cAT,eenzdcxybd,CAt,xlgidywtzn,-630,-995,hojgrghgaf
dOg,-0.0145,ebfjpkihpz,0.2445,ojrxcrbylp,cat,oaqagfzpax
-265,334,55,ipaewwrwtd,361,dog,0.195
yvclpkhnvp,-994,-174,cAt,0.081,hukeaiaddr,-0.322
0.149,0.432,vnswtusqwa,-0.431,cAT,wtqtavuoua,lrfziruwuw
hmkzbxwaby,776,-0.2075,-0.1665,dkrcadkgup,550,cat
0.029,cAT,501,0.028,-43,cgqtxxzcry,caT
pgtvovjjdv,DOg,Cat,ghrmapvlfj,doG,DoG,cAT
jfxzyvkpaf,0.1555,913,-0.484,zgkowvykcn,116,-559
CAT,0.367,jwasfksvkm,0.476,naiwiqcfca,cogqeboony,xxlsygkmqk
-673,-66,-0.3255,zkwfcykigt,0.249,0.2455,jqbmgvpmkw
-0.079,298,rbzsnazrul,gcomtmxgqe,0.1345,cAt,0.4045
wgcdizmfwm,ktqcenfghz,-462,dOg,0.375,0.403,-970
-0.1675,-473,CAt,101,0.4205,-0.164,-971
0.448,DoG,724,DoG,DOg,0.121,-30
330,227,-0.362,0.176,ocrltovnxg,akposjeoxg,tqzdrjnbvq
0.288,DOG,-0.333,DOg,cAt,ehglmqxown,trqldgygge
-768,0.4095,htozdcymhq,dog,-0.0385,ecnssrhujh,0.0685
cAt,-557,-136,cat,driobuzooc,-695,-0.404
fbdscdtlbn,-0.1605,0.2015,979,-614,0.194,-0.3795
0.2525,-0.1465,dOg,-0.282,-798,0.409,kxygpkcxxv
-417,0.311,DoG,cAT,ysaqsiqgwy,0.359,cAt
sglpohjoxp,3,891,cat,-930,pzubwbtsmk,lnidrkhnou
-333,0.405,-0.2355,cat,rshgososjn,zgjpydsvbt,0.2135
0.169,dOg,0.244,0.4945,nfavvqgnip,cat,lhxrvyjunn
0.306,kdlnqcixna,-438,bfaesrtddi,277,-356,-910
xtbaerdlwo,DOG,gasblcofgf,-0.395,gnhmbfnwyi,qawnpmneoz,yqsvmvqcse
-975,DOg,dog,pqoqbxyngi,-828,duugowoyzt,-25
CaT,wqksdatkna,666,gbilnxkbod,zyckwipndt,aydpmfqtue,wbcyqhotvn
-143,0.0125,95,tubjkzjtnw,-226,0.359,wdafauxjdv
0.049,79,-806,-0.452,-318,-777,dOG
-27,dOG,502,dOg,0.0505,-0.478,iyrzoklbdn
-0.2035,jarqvamzow,-942,eakvnsegna,-772,-245,72
-0.321,-0.283,DOg,CAt,ixkvylmdfl,-0.1075,jsfqblcrgo
