bykrqmdrgw,zolltqkzci,lonnwikzcv,pEt
265,dnrljgvhya,0.4415,cAT
0.423,kbgphwweim,ukceavtqla,jelpfdckyh
-0.26,wslmtzkhgx,jccsjjubrj,dOG
0.13,hvquxitswm,-717,dOg
-0.4545,gtdmqsovvp,48,jsrbkkimwv
-0.499,-0.3635,-0.169,cAt
dOG,-210,689,dOg
-500,pouvjrgzdl,0.134,dOg
DOg,lsyrwerhka,durzhcrwii,vuctjrzeth
ohcnfctyuq,0.404,Dog,DoG
-0.3045,0.1575,0.1875,caT
nffpcnkmru,-442,606,Dog
829,coxtpoaldy,pqvgnzhmlz,DOg
rrzvurrmae,0.113,-0.044,CaT
-272,cAT,dog,dOG
zwcvohkexl,-0.338,pvslzvpjbo,DoG
dog,caT,-0.305,Dog
641,-433,pwgtzpdbhy,dOG
-0.158,-688,-554,835
Dog,-0.384,wgkssbteaq,CAT
cAt,0.046,ntaksqyumn,DOG
Cat,-920,0.1635,405
-239,Cat,wxzrmnlxto,caT
pgrlyhfnwq,vzxvrgeklw,0.1745,DoG
346,nuqwitjhqt,dog,dog
-184,jsbulbsxsu,DOg,CAt
nlihkoyjcr,cAT,dOG,-675
-31,-0.1115,-0.482,Cat
-411,183,-0.102,CaT
0.2195,-0.2545,-0.133,0.1775
fwkjstajlf,469,-0.2805,qxkjteguep
-0.392,vuhjkgcslp,nejzmgzduo,Dog
btcpaxtwpl,clitohjkfn,-408,cat
dOG,-0.442,-917,DoG
-0.1325,kywumeqlob,dOg,Dog
-125,-0.1565,zgsnlrcmbw,DOG
-160,dog,181,DOG
dOG,nlcklfehgg,yhteqcupvz,726
xyabcyiqoh,-651,-585,dOg
etievrpehf,CAt,urskqllliy,DoG
qoglwxwyuf,Dog,0.069,DoG
CAT,0.455,-700,-602
-0.461,980,oachjqsxmb,dOG
368,-518,62,DOG
784,Cat,-173,dog
-0.4365,DOG,DoG,CAt
-0.0235,ztjabnlwab,-198,fswqzyfeiv
-750,898,jzhkyazhhi,cAT
ndxinkqcph,-91,cat,dog
-75,shnfgvtqha,-739,CAt
jjpcxuwqor,zbosjbzokn,-99,-0.3005
