fpzgwoxbbq,matcjqhvia,peT,oeramfhrjn,epwkbdjcln,mfmsaessuj,orsltwatub
deuhjsdffj,Dog,cat,164,0.011,iurrdcbjfo,kozyfhevor
-275,qkdpdownlm,DoG,0.3385,kbnuvhfvrh,0.248,-947
uajfrezdob,-0.2145,336,-774,abjalzouac,-468,0.3715
0.299,-301,cAt,-45,umcbaunyyk,616,214
-669,-410,dOG,644,uaqezjmrzk,elszjzitut,-823
yobawtqwke,0.032,dog,-885,882,-0.13,wbernshxmt
0.228,0.436,-614,Dog,zovbdbvrrs,497,caT
0.495,640,cAt,526,0.0775,108,kqieuwiahb
-268,vwanxesbbf,DOG,108,crdnrgedzq,CAt,crsphudrrc
0.1165,-958,Cat,0.459,Cat,-92,-286
0.3215,nikwoplcov,doG,ixxkgdbkhz,461,-64,DoG
-131,tvsfmscofm,DOg,912,0.269,368,-309
-312,dOG,kmxflccksd,-0.0615,-0.087,722,DOG
doG,-398,dOG,isbzednkth,-328,DOG,0.4225
0.4645,0.1295,doG,828,120,214,0.047
0.448,mptksaclta,caT,0.391,riaxizfipq,zzslbijexs,-0.1445
0.4915,-0.3285,-748,-101,0.2665,0.3515,-302
tajkibtccn,-0.208,DoG,CAT,-975,xjmtpvrnlj,-124
sfchgtgvry,301,96,-0.1215,-0.201,ziqqmpaprp,-0.4095
606,ijppyczhpq,kbrzirzvsb,dOG,0.3165,757,urkfyddsfz
dOg,hyxifdqqxq,kxropwvcox,371,898,dog,qknwegslcj
DOG,0.0405,cAT,cat,0.3845,lktlxkauqk,889
CAT,575,dOg,-0.0695,xhthbquryh,-0.1045,dOG
cat,0.282,CAt,-0.458,dog,299,0.295
bhanstrqng,-455,dOG,xhfohcdcgc,0.4285,xoqpyazlth,0.2085
-885,0.2895,-0.4845,-0.156,89,eirpjyyuhi,0.3475
-459,442,CAT,0.4325,geidjnsixr,0.1835,824
