aghspcjdqu,vmhfvwicwt,dfebayqzqu,limpscauhz,xggovuhsbb,tpdrgrpwmz
odbkkkvfti,caT,0.3485,-138,vtpghturbp,gsorfcbqoj
-532,0.231,dOG,0.109,871,-710
0.3415,sgyodyidim,0.298,339,0.414,lqpaquugsa
-183,bxsxvfeymx,kgknrydocx,dOG,wgaciiofdt,jscvnqyqtb
tthrvqdobv,caT,-0.1275,qvjjakkute,0.079,863
CaT,-935,ykmwcvchpu,-395,jmzswtqqrv,-0.3495
kokifvammq,-328,DoG,vzldrdfzmk,CAT,doG
-0.3775,ozxazueoox,bitebdqfrw,-0.0395,-199,dpgtdszxvf
ycunjaxqxw,ptrcklfqfr,785,-0.099,dOg,-0.3235
-0.1305,dog,0.4645,726,900,ywhkuiyvoz
-345,exidktbqpi,jiiifkcfdw,588,-431,1000
0.422,uggbllcqec,-798,iecguvecgp,-0.108,-0.1475
-0.4245,-543,djwnhhgxiz,-314,spxgieenhh,398
tkwtjosiix,-0.471,CaT,-610,-0.4555,fpjwwrkncb
dOG,-42,gnensuzcvc,-545,-113,-352
-703,-845,doG,hlpzbmfmvx,uxikbvyjee,inybisnmmz
471,0.212,33,cAT,Cat,0.4235
115,-174,567,-784,ffbftafjgy,0.387
yegwarzfyi,CaT,caT,-0.4335,951,0.175
-0.026,-0.3445,-0.2205,829,qxoxltaqva,mglkyshebd
kwphcbkead,cAt,-67,-0.339,0.3675,-0.0935
0.4875,-0.1645,-0.0715,-0.1695,ssmpgedwcd,0.274
0.016,0.032,uwzfykrnty,nyobnyjhmq,-301,707
-989,-680,-0.0535,-0.1175,-918,kyemuxbjqa
CAT,txqmlpkobn,0.3815,-0.4635,531,cAt
-114,CaT,irnjpovyke,0.3725,cat,qolpioixvp
0.2205,0.2105,-806,-0.197,878,jiryphfmuq
vijfwioxlm,469,681,352,jvucnsdahs,-0.463
bmoylgsxsu,0.3675,-341,0.1025,-0.04,0.3495
cgynbdbnnt,-0.2495,526,cAt,Cat,abiltkflrg
hlmujlxmed,-825,22,zbtstmrrfr,teiysokqpz,-0.0075
-0.42,tdgmehiwmo,-568,-0.394,771,-138
-40,-276,-81,0.2715,-972,668
-0.066,0.495,-0.249,-17,-0.3385,813
-678,408,vfegjjjesf,0.3955,xaywazockx,0.4975
-161,-567,jrwvtdhsjl,CaT,alnuzkisms,0.179
dOG,tuyhrorctu,0.269,52,-0.3615,tutcqmnptv
0.399,zsleyxiuco,cAt,-475,829,jsydptucau
rdmjtxedhy,0.044,140,997,tlhkyepdwe,fcakqgvlvd
-278,xvvrwjsieu,DOG,vgtqjewmka,kzjxnthxmv,xsicblspqq
0.351,DoG,ntesvhprwq,bogunkuivm,-776,-775
350,-0.2805,172,0.2795,0.413,659
ursnysxdon,DOg,0.0185,dwvlkxacwm,-0.131,0.4355
swcpmwxyam,asawdtwyjg,129,-0.325,-0.0865,CAT
0.0765,ftfhkubdjk,yjvfxuyghz,-0.2575,eppmuvefqc,87
0.287,466,-0.356,Dog,0.3385,-0.421
CAT,cAt,xuqzqwktea,975,-804,Cat
0.011,mjezxiriaq,0.2075,-123,-0.3405,766
-0.0265,655,dOG,qcntyakpcj,-22,DOg
hytoncxxqo,-0.23,-0.225,-347,-379,-811
-0.1175,gzqnmqilsa,brnrfeoxml,Cat,-965,-0.1845
0.1595,jkyctdoazy,-0.485,-0.3105,ioarsxeizr,CaT
202,-0.1205,rlugltduly,CAt,cat,doG
lfrjiauela,cAT,-513,qwouxhldma,-0.17,-0.0715
