kpskaqjnpr,pEt,hqtiqfilsr,ludgtpmznl
CAT,kvmcjdkqlk,xbcoiotqjk,-0.36
721,CAT,555,15
wjggtiqmzn,DoG,0.387,219
wnicdbifjq,CAT,uqhzdrceah,0.2075
-0.109,Dog,dOg,0.051
-0.441,caT,-288,nhggonugln
17,-0.1235,chfofhpffi,-783
gcbcynwxwi,CAT,0.4405,xbaimevyzt
222,500,-887,cAt
jxyhdrdfke,936,vkflsdwyzc,664
tnooqdwkas,Dog,0.4465,-458
CAT,DOG,999,doG
-0.172,-351,cAt,aqdpznecnr
-993,CaT,-0.3875,kfzutbblfx
hdtnavogon,262,igjufgtdzl,fpulymqtuy
-0.229,351,817,742
dog,Cat,itjmqxabbr,dog
yzlhanbkwd,caT,-267,843
858,CAT,394,-642
mrqswpggtv,dOg,0.4945,vxhoeahcsw
-679,doG,kknctjobal,-0.1235
-0.2665,CAT,dOg,cAT
Dog,0.481,-105,mzirksbtqo
0.2195,dwqibeehqe,-0.4555,728
DoG,Cat,dOg,0.297
0.204,CaT,801,vgmuurzomm
mjuhvfpwaa,usiadjsguz,ekvsadekog,kdlzbwgpgo
zscduoylvm,CAt,921,hrghayfxrh
-0.296,CAt,rrrhrralga,bjxxhsysyo
DoG,cAT,-0.349,-0.3625
