yxqdddrvtu,hlevussdhl,xpaqrkgdrd,hxecmdcbqh,lcfytuyqai,zaxcfejjoh
35,jtbxohsrcc,544,xsffcbwzey,585,-388
znjwuqecis,-0.0475,-0.4835,0.167,cat,dog
257,jiqciestgh,dOg,-0.1475,dOG,-991
Dog,937,-535,rdrpjqxdeg,cat,-624
-0.179,-614,0.3125,-133,0.165,chldbjrbwc
amnszygocw,dOG,Dog,0.31,caT,hystipgrwi
kgczqbcbvt,xyapetftaf,wbtcrhavbf,-770,fpnsvtlgvs,0.099
0.274,0.4305,-20,-0.3205,-149,CAT
0.2475,CAT,-961,iqvcrtqznm,gdhaefedfe,gpjtkxrgjj
vgsjeojzmz,-0.3335,425,-0.178,-320,kppbugkpdv
615,-845,zwywqypijd,-0.459,-37,256
117,cat,CaT,DoG,dqmogvltbq,397
-0.11,cat,155,926,0.336,-0.4485
fixvjzjnyk,hhbhlgyesx,caT,arfcobuluo,hyjammiruo,0.2535
doG,Dog,Cat,doG,0.2525,dOg
49,pbupicrvbs,-0.008,DOg,Cat,CAT
rjencrwvxm,DOG,775,nujfwcigtp,bpjryowdvq,Dog
ymczaudoiq,fsxnmibihr,195,0.176,-115,ufcpwwbulv
mxdtumqjpf,0.366,0.321,971,CaT,znnvvlwdra
-808,326,uxqxurtead,290,-0.427,-0.481
gmffpjdduh,caT,-0.429,-762,rgzwhggoax,luklecfzdd
-752,ceeplturym,ituxbmvfqk,-472,-156,CaT
ngwltaalxy,-0.079,721,auvhbnrffs,-0.4215,hsqlzhfpgf
-0.387,hhpnygzudb,ddcqsrvujt,awbqiqxicn,nkgiigdetc,-481
-0.463,-0.1785,-459,0.338,-0.3105,Cat
779,lnfyassbwf,bvfpndcvxw,-553,DoG,502
0.2935,yolwoenehj,323,ujhfhadmac,810,dog
63,idngahqjmc,kqluozyddb,rumttnoxyo,0.3435,0.1185
laatmgqrpx,-59,0.334,Dog,qheytcnqks,0.2495
bxgeyvakrx,-0.4425,0.2805,tqluolwupe,-900,agfuixqmlg
hppbxtefwh,pmqjiymmzx,-449,CAt,-232,0.177
-0.2515,-381,kviwxnnbxt,0.3455,mostsqjatc,886
0.068,akymlqxgkh,Cat,ueptuhzdbq,isyiqsechh,Dog
wlhdkkshqc,-124,-0.034,popwqalrvk,cat,CaT
185,-820,-823,615,vgklmdembl,-0.13
145,-0.3825,Cat,0.4335,-0.0375,842
488,-0.342,dOG,0.3555,11,-0.0135
-425,913,-0.24,eojpoksqrv,281,0.143
qwkjferder,0.369,532,853,-0.4305,-912
vkxdiuarmm,-0.4025,Cat,-0.317,0.101,-104
0,897,679,0.4045,244,xibzmmzmfj
-48,-0.409,-0.39,-0.2115,yccvbmjabk,0.256
-911,596,hhsyrqauij,bztdonyueu,uedaypiqsc,DoG
bggofsmyct,-90,ufsympvszv,-0.069,0.1855,CaT
cAT,-657,caT,Cat,996,caT
303,0.112,DoG,cat,ltoskpheof,dvkdyeznlc
34,0.073,365,qjkuflqiud,-0.477,jxhntkckpv
-0.3775,cAT,zlgattikvo,Cat,rurkqtsdss,uazdqbjvgy
-638,-0.2455,caT,0.035,775,dOg
lovcgvwtov,148,-695,cAt,mmezjhsfpy,caT
0.4795,-967,dOG,0.057,ikkkdpzrvr,-536
doG,tgqgbgozvz,0.214,hjhigzuapt,axswoxpngz,0.0875
0.319,zefdwrbsut,0.246,0.199,sgaenvwodv,rjrqnenguj
pyblswqnlt,575,txozyxwwah,-523,pbfstdjuio,sskthfjkjx
244,mcdhtakvwx,-817,0.205,407,0.3225
tktrubuzdb,jvdkrjbodd,-0.426,-0.3005,862,0.0485
-0.413,wafbdvfxsw,771,0.1285,bbtmzmldku,663
caT,-186,lcsjakojit,Dog,-295,-0.103
259,edxvxohubs,DOG,384,nmpnjrkiaa,CAT
-0.468,-809,0.425,dOG,213,-0.303
0.154,-580,jelgfxmuhe,rzdobaraqc,lbgfdzzgmk,-35
