Pet,bdcmbwnlxs,gxtzdwjxts,exhuezveyi,yitjmkwava,dnuxyxhpzp,dadfyavnyf
CaT,cat,doG,0.4815,0.443,-584,0.142
CaT,dog,-18,0.114,0.3275,cat,jerktdgcxr
CAT,dOg,zzulehmnuq,-0.1175,amhcodisqr,0.012,0.1345
DOg,Cat,xivoxkkifd,-0.4525,dog,doG,-645
hdtdixrweb,CaT,rciqlcjkwo,xjvqqfyhru,vtjekbcgms,0.0415,mxfironxdx
Cat,cat,aefjaequge,qdkgpckglw,DOg,qokwgtmfxe,768
Dog,igrgynlyrr,0.419,-0.113,943,-850,0.064
CAT,-574,-0.277,haflbqcbdd,204,CaT,-974
CaT,rjegubsbzv,dog,-415,ezklxqhldq,ecugzoinpo,446
CAT,vzdjuqcisb,-0.0735,-0.3095,0.271,0.0625,viwnzjezww
dOG,wcnhoghipd,0.1425,-298,CAt,633,971
DoG,-931,-0.2725,kjzafvdpth,0.2085,pxpgeynqwa,673
caT,rzybjsefxy,461,0.412,-0.055,CAt,iuhjohoikz
DOG,bcxtwtpjpp,bgcbfdqxlj,0.1895,-209,iftouhddre,wcenniohop
dOg,-0.0945,-0.3135,axhzankskk,0.042,deocqtnjdy,-0.1545
Cat,0.429,qeodhtrfbt,szuhlhzywk,398,-758,-0.4665
-680,cAt,-0.262,CaT,caT,740,-0.4005
CAT,cat,wkrwaiwwgt,848,160,DOg,-793
DoG,cat,0.046,-0.401,-104,-0.016,0.027
dOG,136,qtfuoromto,-605,-490,0.2335,-0.176
DOG,-0.4365,-141,284,pllwdgrdjo,-0.235,yhomvqtqcr
CAT,9,-36,sssekbiiut,CAt,lhujkrhpng,0.4115
dog,uwmaibkvuc,-321,rvszwxnkir,0.083,zctamdjhnh,975
Cat,xvmuiaqwjj,-219,-474,dybexpcmyr,376,mvavipvvvr
Cat,-0.178,-677,0.113,alkkdrnlgr,cAT,qyfezzxtal
DOg,Cat,-369,568,ofrerbkzul,0.068,-0.403
dOg,dog,182,-870,-0.114,-0.022,ptefjstxzm
cat,nhpfwlrauh,-581,DoG,0.1435,0.406,zlzelubcws
CaT,-0.053,tuxvkbchtm,-0.116,vsgcwqbgob,0.0055,tpaskoyacc
CAT,147,-0.087,argndtgmfo,hvqaraoagb,-0.3665,ruuplvyrni
Cat,mxlsfyjaoc,-0.3195,0.299,-0.465,aoxxfsjyun,0.2955
zkilxjzrnj,dOG,0.469,Dog,wvcwncfvak,-841,rdhsqlsikb
DOG,-988,jecfgkqjpj,caT,0.4585,foyrcoctgx,qnusdcgltx
-0.4225,-0.1125,666,336,zddtdqvszv,0.3445,0.006
vmivvnrfhz,cbswmaghxp,-46,-0.135,CaT,rfuwpzpwbn,0.301
caT,704,dqybagrdqj,-60,kwnicclnoc,187,0.3145
Dog,-348,CaT,-0.114,732,516,-0.1885
Dog,ybrnrnwxjo,CAT,cat,Dog,lbvvehlahk,kovmkdoxsw
CAt,0.4735,cat,0.04,529,589,qyhvoitgqr
dog,-23,Cat,-0.3665,0.4545,0.4595,CaT
CaT,lampdmufne,-0.0425,-0.159,936,qakyatgsbz,0.3405
dOg,-0.0965,0.304,-672,0.015,-849,-693
rjllfrzgxx,-868,0.069,565,ddmfkjmtkc,-932,885
Dog,-675,kwwhqucqtn,-426,erskmyetsm,-0.0155,0.0535
375,0.0815,DOG,Dog,-141,CaT,-206
dOG,480,ehtelqskrd,DoG,DOG,-0.297,dOg
CaT,txqkdpjwea,0.2265,vqwfdfotda,-0.068,qcsllkgvvv,vecqwkzyor
DOg,-710,-140,-849,alhuyvfnws,qpeyutvhof,bmdbmezmmx
Dog,-0.466,-437,-0.168,-0.074,79,kamoudmhau
cat,lretyzbgit,vyzxsgbhys,cmlxtwfdqt,bfpxrxqtrw,0.043,dog
654,0.1615,doG,-92,0.154,-801,Cat
dOg,gitcmuiccp,Dog,dOg,cAT,mxddggtpud,-0.46
CAT,aajlytznmg,iuhalfahbd,caT,yqmnnomuib,doG,mqjybraljg
cAt,hypasmcvgz,0.205,672,bnekxklvki,-0.1525,awfsoivxjo
dOg,607,jijiegzugl,447,-794,616,0.0195
