qcleytunph,tficiipbdi,zlnqvmgige,hdthfgpcjv,jvnfapbgkz
0.4495,473,0.2665,uumfzdsadw,nldazycyol
CaT,xxxgaoqcso,-964,-314,343
sovyvbexny,0.001,fipvxvakjv,mbexqqqzhn,0.049
0.4115,-0.1775,DoG,508,-247
-0.39,-0.216,783,pwwsloxpey,0.3085
-726,0.07,0.1245,nzhiokrqzm,-0.1175
hzylwolqgd,CAt,yniqqbrxxv,291,-0.415
-528,bmfhofrqik,pzdqgqigbb,0.386,cat
-844,0.145,0.4625,149,CaT
-897,cAT,cat,Dog,0.2855
cAt,0.2455,ecwvolyxfg,-0.1865,-0.361
531,mqthmykeqe,-298,rfachiksvf,-601
-0.4675,-0.145,737,takszvgkdz,Dog
dOG,297,-271,doG,CAT
Cat,Dog,zsikozrvtd,mppzqvizpl,jiawuxoygz
acimfijjtx,DOg,911,CAT,tbyvwsnjlo
0.1745,dOg,-0.4955,618,-809
hoawrgueap,-784,-705,dOg,-419
phlmdkprka,hhlqabaeqd,-0.21,-504,249
-878,552,-618,Dog,-866
0.482,-137,dOg,jejbxelwhd,dOG
CAT,-0.0675,eeamnvdjda,caT,-0.325
0.448,-610,-595,-0.4295,997
xnzaygllfa,hfgjxnxecm,gqgcbzizod,-0.1155,sayzegusfu
703,dchpakenoq,CaT,654,-530
vcevjedted,-0.0465,DoG,529,jpauribrie
rnqdukkhyh,0.307,twyctossdf,-0.2475,0.194
sctfescxwv,doG,218,jlswetrext,-0.479
10,509,-915,959,ppswoyawjq
-0.353,wondgkrqno,0.2925,xqovtkjevt,kzqduhqslz
cat,dOg,yhtmsbdkgq,ygvlxvuilc,839
-0.2705,kjirarxztv,-0.4525,Dog,0.007
tftzkyixgu,cAT,zvpioeftye,-984,-510
992,-0.1295,-0.3295,0.297,-895
-0.095,lvrtefgsky,995,0.2825,0.1355
upropsbnvw,biwepuqcfy,itfhsvlnkm,630,xvdxazskze
popxiglrdy,CAT,-0.1465,nullvlbhmo,cwzjiecyqd
DOG,tbkqtaffdy,131,cAt,caT
piprpzfmum,DOg,-192,0.4975,303
-821,-0.326,doG,yawxjmbzhc,bxodpydrug
DOg,33,hroixnddpd,cfsljvictl,919
CAT,mhqaondhyn,208,esiwsxgheb,-923
-0.089,647,-515,0.1405,Dog
DoG,0.3895,caT,-777,843
247,-0.369,876,382,caT
0.164,mwsxbljxes,-459,-950,590
911,0.043,0.3285,rrbtqjqbga,218
-0.391,Dog,793,-0.2165,bjdjsxnkft
835,cAT,vrigmqkebn,Dog,0.3575
dog,CAT,314,cjqdjomolw,30
nwaibokele,-790,CAt,0.1905,-0.3685
Cat,wkcwzutjrp,0.378,9,233
-991,0.3955,Cat,0.079,-0.2155
-591,cAT,huuyfucbay,doG,784
-313,DOg,dOg,-0.1375,DOG
cAT,Cat,ijykilmboe,fsvgdtrlkq,eiykxnicsc
dog,doG,CAt,jtrebxnudo,tfvljlwnfa
vqhutjrsqf,0.09,lnhbakvucg,-0.1865,895
-946,-0.1835,CAt,0.3175,-0.3815
-0.3725,-0.089,-0.472,qgwluriici,jzdbeymyfh
crguqvxjvd,737,cAT,-449,gknmkqtfmb
-0.387,cAt,-0.0845,jpkbsiykgs,662
-268,-197,doG,doG,331
DOG,doG,Dog,cAT,-817
-0.282,-979,cgluwiypdc,-0.4365,pvptekmdpa
-0.33,jegchsvhlv,-0.121,879,0.114
-778,803,0.3775,xuetxbifdm,uhfguykdep
-623,-700,vquivckytw,-312,0.4365
208,ojrvgmuwhn,Cat,-828,-0.0845
wdwqnnofce,-507,nebmnvfehf,-0.199,0.1055
-635,vsolpsflyj,0.2135,485,CaT
fzjyspdojn,cAt,-0.4005,0.4265,gsheabeqsp
aaltdgzmcj,tyeogorcwq,0.0555,koaluetyeu,ctuynjytac
0.427,-350,-0.0605,afklfaabyn,-941
931,fqhozuvamc,CAt,pstmjdxjni,adfrxkeygu
84,ixirubopps,-0.3635,639,0.1205
wrbjxiveaz,xrzdplomji,0.136,jzjbegierh,0.1095
-473,0.212,xjwzzqhvno,-915,frczmhhtty
224,syjqstoget,-0.4845,0.321,-237
DOg,749,hbhdipcbjy,-602,qfwraugdzh
zgzjeojcbi,0.0175,jvvibohrbu,ndtvlvhaoz,854
fvpnkuixgi,-66,78,-146,-918
-0.328,dOG,goefhjrtch,DOG,ctersftots
cAT,162,-0.2555,rierodftjj,-992
DOg,aakqbisvny,zupqsfyvzp,-60,DoG
-0.218,CaT,280,-0.4885,-0.112
dog,dcqlwjsocj,-491,eccbauxtpi,ubmrehkumv
lvlautcrue,-0.3355,0.187,cAt,fglkprnbru
CaT,wrjuppsmud,428,158,-0.0015
0.144,-843,misrkhlrvt,Cat,-0.4145
Cat,DoG,-129,-23,0.4575
-0.478,-97,-0.2485,iuufllxgpk,-0.3135
upnsktioqa,smvkqazcrh,654,-952,olbsnwfana
-971,bubruxqchg,uisshvevxw,0.035,CAT
dog,-0.176,-0.2575,DOg,ueplfovekp
634,0.313,-0.161,-0.1455,0.1745
-555,-0.0865,0.437,xuitknufbq,doG
cAt,-0.0685,pqmwthbitw,-708,0.0275
-415,658,-161,ldkphedjvm,593
doG,-910,dOg,doG,aljrxhhgaj
