hgumdwlmag,sqdutqqfpe,arglgmuurs
-0.0025,0.0505,DOG
417,CAT,-0.142
DOg,ogqksglbdp,0.1155
vxkvwqhwad,-161,cqnppkajhi
DoG,wawssgtufl,-366
dOg,0.2605,663
0.026,caxqcqqbmo,bdsgwcsnkl
nqytsbtaah,-781,0.238
-723,Dog,0.455
0.3965,-234,-0.433
byqdomnhvq,-742,pxsdrfiayt
dog,0.058,xtrzpsbinw
-8,eegokkwtqk,-41
cAT,-0.148,mrzeetndas
ecbqaxenqo,265,-681
-692,tlntyhcpuu,-0.3005
-0.2855,0.17,0.2625
mocpslewuu,-293,cat
thccyqgszz,dvlhmcjnrq,-0.32
0.1585,CaT,-0.193
-0.3145,-890,bwquxfzrff
mmncsqmeao,dOg,hqmxtjllql
-234,doG,-0.069
uxledjddcq,dOG,339
cAT,-487,xjuvtorwew
-830,enlfnzhgka,0.372
-713,0.3695,266
522,-925,88
817,mtkvnesjwa,Cat
dog,-0.1585,-0.172
0.401,-310,0.3185
-127,dOg,660
0.026,-823,nboddlzuev
jequwdebol,qxrkwvapuy,718
0.1835,1000,wlmnacpewc
bfjqatvjqr,569,-477
mezombinyy,blrvwyoimd,-635
584,-135,0.4905
956,cAt,484
kvtljixmks,-543,-0.166
DOG,dOG,0.2875
txrsbhbtno,-0.4415,jwrsospqol
cAt,-0.2835,mnhwyoykfz
gkdrcbdcbz,cat,ilduytapkm
ndysmmmgcz,DoG,925
qmnvlfmbsa,tiuasdfcwc,410
-588,jwavzvmrne,510
htcjfllbzp,273,529
fsvkrlvoae,CAt,rrofbccwcw
dijqfzgmjg,kdkznractd,tpvvryyugc
ymfpihuaog,-108,-0.493
0.31,vihjavhgbq,97
vosydjkhse,CAT,308
0.3165,-0.1235,0.073
-0.3965,ywftytolzm,qjfkselyrz
0.354,Cat,cAt
-192,228,wrnwrdpcpj
0.1265,-0.477,458
0.1355,-654,DOG
ylvbaxevfa,hszawbofwa,srieiqgxjb
330,391,-0.4385
345,-618,-0.412
dimmpadvup,dog,CAT
-0.0705,712,-0.053
646,DOg,-0.386
-106,-0.3435,jasqrtxfbv
dOg,ahbsljpmym,19
0.287,nrlhypxdjd,0.319
-495,-191,794
443,-488,-0.4145
dhaepijauh,350,glyssgopkc
-528,-612,qsfnlfjapq
pyueipqcrg,-0.2495,0.03
CaT,wjlxwkwlgo,686
cat,-505,hrgckbtkly
-0.1855,msbigixmuk,0.41
dvxbtdgxep,94,-0.132
11,772,doG
abaxlelppo,0.3185,bvlcxwotwt
uncediyvtg,170,yxyosblibb
mhhsxiwcea,dOg,cAT
241,-485,-0.0645
0.1295,-154,-0.3805
-0.2025,DoG,dOG
Cat,xewrrdaxfm,-407
311,0.0845,CaT
wmbdmghatq,cprqithybq,-0.028
surujowyfx,-0.323,0.106
iguihirjth,330,835
-301,DOg,6
