ysmgslfrsq,nyicickvhi,ciqikrcnpk,Pet,rpilzpszpl
ljytjinoer,922,ozqzkmmisg,fusfxopsee,-0.2845
hlqgvxhico,0.1765,-219,dOG,limegzafri
DoG,-0.481,-0.124,DOg,830
0.337,acnbmbyfhj,caT,doG,patcqcxzbs
-0.0885,0.118,xadnlrxbad,421,msxleyijtl
191,dOG,0.2615,DoG,0.354
0.127,royemteygd,-0.354,-0.3395,-47
-958,bjkilbvwgg,Dog,DoG,timwoxexxb
874,DOG,vmfipbcvzp,vmczegujck,-0.107
929,782,-0.093,DOg,DOG
520,156,jadrspfyoy,Dog,cAT
-0.036,DOG,hxnzwuypsa,-0.076,217
0.362,-0.1935,yhzibsadvi,doG,0.149
0.2855,-0.3,0.219,DOg,-0.408
0.253,zgzyhvouul,0.362,CAt,987
wroxfcxixw,-550,-0.072,Cat,-493
-0.372,-0.1235,405,cAt,0.1845
Dog,Dog,-0.068,dOg,DOg
zwtcqmailv,-147,-0.1755,CaT,epylyztqlq
wkufgtxymf,-244,mpvxlnwbxp,cAt,0.428
0.265,-0.267,rpbelkjjsj,0.169,cat
-446,-0.3145,593,cat,DoG
30,-0.3295,-0.216,CAT,-868
Dog,191,0.226,doG,0.4995
yhjzyzxpst,-139,0.3485,CAt,emqbiipsmi
602,0.201,0.422,CaT,dOG
94,dvqwzqveds,-636,-0.1225,kjwhjsqnak
chhpvhuoto,dzdfxgfktr,-78,CaT,718
fbplzpkmqt,0.3735,-0.068,CAt,859
671,-0.45,-0.3425,ihkzesrfss,wsqoavzozo
dOG,-0.1955,mytdzjpgre,-0.2185,723
rofmnpzqho,0.381,801,caT,344
914,394,suxduadybw,0.247,-0.365
-0.1645,376,-0.3845,DoG,579
cat,DoG,-457,dOG,caT
DOG,jttmycnrec,cAt,cat,zafvthqfsk
513,egtrekzixh,-886,ntophqoqsp,fmyncrqdni
gdlritfftt,caT,-0.1945,-0.321,201
0.43,-62,ytqkvghefo,121,0.0165
-873,-397,DOg,ydiwjytzmg,xshrhjulvs
308,421,601,dOG,-0.239
-518,CAT,doqqbobuzo,dOG,-0.0235
-306,cat,dOg,Cat,doG
wlveusfbhd,siceabtvym,-978,Dog,vruszxgkhg
lyzudrhcxf,-0.083,0.2245,dog,bsrfnhodbt
438,cubcxdzxil,svoeoecexa,Cat,bfluhylbcr
-213,ftwwexztce,nmkssizbln,dOg,-222
-816,0.0525,410,-0.45,0.4205
-0.295,0.4345,mhsjirtnmd,117,-0.046
uvbetmciqr,-0.469,nkexweflfy,-907,cAt
-36,-834,CaT,CAt,vvjquozlxc
-0.2945,302,bixoqlfrfr,0.334,nniwpmbtpf
cAt,CaT,uvewvubioz,DoG,caT
352,0.401,Dog,dog,ckurzguuhb
cAT,0.2435,0.398,cAT,dog
-14,DOg,-301,dOg,0.305
hrtmncqmsu,413,dOG,CaT,jrxjjigmhg
bscmcybbhk,-0.09,lcgmmoadbr,dOg,Dog
pwnqxobdqq,-0.239,-0.202,-193,-321
cAT,hirddywlae,skhigrcxah,cat,-0.2715
fkvsikldqp,0.2405,0.0665,CaT,0.094
Dog,caT,-0.2585,dog,-0.231
Cat,701,0.0525,uwitlhyldc,0.4185
CaT,647,-140,zhsyfrtzqn,771
DoG,-0.0995,skxmdepnwk,CaT,utsrupzwna
axfeavcfve,CaT,febaitvpah,dog,46
-0.47,DOG,140,jqaarqnktm,883
-470,dOg,412,-265,-180
ytpfbclwxo,CaT,207,vaulobphfr,Dog
dOg,dog,ysczbntfxb,0.197,0.3665
-538,-981,764,doG,hrykpkzsnx
tbodrlvesp,lrpgmwjxlk,-0.109,CAT,zgoggwpfio
0.0585,0.4235,xmcohgaxzs,DOg,202
-73,-0.2355,-0.2455,CaT,cat
172,311,0.39,DoG,dOG
btenmgfczd,116,pjeymaaaqn,576,doG
DoG,-686,dOg,dOg,DOG
qhsiavdxce,-0.398,-0.4865,Cat,741
-0.3195,0.1895,-95,goxhxibqlc,iedqdgtwee
cat,-562,983,dOG,CaT
-0.1495,0.4335,-681,-0.0855,-0.34
0.479,tfxwohqaqk,-0.201,dOg,-0.322
-0.4065,jsindmwqqh,wionhualui,-413,-794
dog,caT,87,cAt,-143
546,550,0.168,dog,0.1915
0.2775,738,-0.457,0.173,-189
