gixcrchczt,lrdntgyymf,Pet,cbfghnnxgu,zkxhciramg,tawhltllhe,tvypugzgci
-795,0.031,DOg,CaT,chddekefak,-101,-0.094
-724,-507,cibyjplrtr,299,-557,917,ngporlbngb
dog,qobeuylinl,caT,-0.46,-0.0415,258,-0.0675
ijyxmknnch,-0.3585,CAt,-0.433,0.077,558,cAT
-815,tjczsdkxrn,CaT,DOG,CAt,0.339,oydtphtcia
doG,0.351,cAT,0.4735,-0.4415,kmlejfkykj,DOg
hcoenwxnvy,wimthzlujj,-199,CAT,-567,0.103,-111
usxbkqccxy,qchdyznflg,doG,DOg,0.271,-0.17,oytljjhnly
0.4915,0.161,CAt,sgylufaypr,0.155,-223,mqiwmieovb
0.004,0.347,CAt,932,wabchwxhtp,CaT,-96
dOg,72,DoG,745,-715,-50,vxqqhleyir
ksvfurcwdk,dog,inkeysvmcj,-0.288,0.0965,931,0.2335
vjbvxbazxz,Cat,dOg,981,cavuamyyvk,-41,xvxbzmcfqh
538,0.382,caT,invrzyelvi,qdswcvgdwj,cAt,CAt
-480,sjxmtqhfkn,dog,0.1655,-0.344,166,admbzabscg
282,255,Dog,cAt,-230,301,0.3095
Dog,bdziotafvb,cat,mbzcvkutrg,kszpcrhktm,-0.425,caT
0.204,ckkqqruegz,0.464,-61,-0.3845,-137,cAt
-793,0.276,CAT,cAt,-177,361,yyvrvssewx
-0.073,doG,CaT,0.0925,CAt,254,ajbipfmnxw
979,41,czmqdslbsy,688,nnfhlfelkt,ssytzbmemi,-210
-477,-184,doG,czkivzxcnu,DoG,CAT,675
uynviebofi,-395,Dog,0.2995,-485,zrxlwhxpde,doG
cAT,-0.0765,629,ijydefdeyw,xbznhxrlfy,fjmthgypgi,dOg
-0.0135,0.1275,cat,0.0655,770,Dog,219
Cat,0.2565,-0.302,joobjvdthk,0.3215,-0.3305,caT
0.4895,448,yjyzxsjuwb,cat,-411,zzfxzpiocg,-777
iodaowewbj,bljkpvomid,epvcwdhqiu,CaT,0.2565,306,syxaxoklnl
-408,cat,dOg,-0.4075,dog,caT,0.4455
-0.1615,dOG,dOG,DoG,dog,-0.2335,dog
xnenbsbrha,0.309,cAT,CAT,691,962,krcnywhvuc
0.3695,ckjpmelena,Cat,0.128,npthrnrylk,Dog,-713
caT,lrtpjjumsj,caT,739,hqhfqqtkmp,wwntydfnan,CaT
-957,-659,-210,779,rmnyylpgin,cat,428
0.3155,127,523,dog,-0.1685,-266,0.0725
-717,cat,dOg,0.3015,ejfkmipxnr,-0.212,-296
wtfacwlqql,651,svfhvaxmwv,0.418,ogcfilvxoj,Cat,-207
-0.4055,-0.1435,dog,cat,pdmudeotkb,-286,0.209
523,-0.351,0.3895,lvwljzkqsm,doG,-0.104,-0.075
jtifouslcs,0.46,0.4015,egmmwcwwkw,-0.3095,0.2565,ifguldiwuv
CAt,dog,Cat,0.07,sszhzpnlzb,ywsaczhvfl,nuizhpwgjf
DOG,lpvkrzxdbf,CaT,-0.2535,cAt,443,-0.183
-62,136,caT,doG,0.1055,362,-311
926,valxrhdgcj,DoG,-671,0.0515,cAT,-122
0.174,sshanpyguy,cAT,338,591,0.084,0.492
753,ehfhvumizj,0.09,500,-718,656,ladocqzdqq
wefzaufncd,986,Dog,DOg,-0.281,DOG,-848
-786,0.331,DOG,-0.221,mqfpymvysx,0.3815,acchtktcfe
ijeesaazik,114,vqicxcchzx,qzldzndwoh,-0.405,-197,gyldzqzxhq
0.252,-0.053,mdskkxlrpn,-0.416,-0.4405,ujlhcyxkoa,dOg
uldibjgosd,-0.321,CAT,ogghdhvhrn,-749,0.0165,DoG
wtzpcbtquk,sybmgyobyx,eumwurvmxg,821,jxsxdriiqs,ovqulbfkau,-580
-100,xlmuithjca,-0.105,dOg,-366,-352,-0.4585
-0.1215,0.2365,dOg,896,Dog,aemvvhhvdv,-148
560,fhpzqkowuo,CAT,560,-383,dog,0.1785
0.0465,0.1475,Cat,-963,caT,CaT,334
dbkcqhqgxg,-0.165,cAt,ccdujkkfwd,0.251,250,0.452
rsjvanfvza,0.2695,926,dOg,escgtflbnx,-0.498,-0.0275
730,-711,DoG,0.2925,ochelkxzzp,-523,-404
383,0.2185,cAT,iqhqexoqpb,vgrvquftwc,0.3025,DOG
-873,CAt,542,peeghqlbcl,DOG,0.308,zpgdesrsbl
-0.0615,-0.188,0.2365,sbpfhveysh,ddsujppniq,-0.0275,-929
-0.2455,dOg,cAt,idnpxglbqi,-0.1315,yljesgqguf,0.116
-150,0.049,737,cAT,ddwyvbaqig,dOg,0.1015
-0.333,427,-0.0785,-628,0.2415,-286,0.141
dog,fwrvngbbia,cAt,493,612,687,cAt
pcgodgynml,haxznspzlz,mhbvlcaitp,726,CAT,mjgzvokpnx,0.0395
0.202,-0.069,-673,lwacnxqlxc,-341,-0.3265,0.1365
710,Dog,-0.262,-0.039,0.102,702,zhufmesrpm
cAT,0.475,ipdocgtcjd,cat,jewlzqgzlm,0.146,0.0655
CAt,0.4185,538,wbjnixaxoq,0.1935,0.285,-0.4655
cAt,dog,dog,pbdeijjoyb,-732,vzayvqeadj,0.068
cptzjhtodl,CAT,-710,471,-703,-0.0495,CaT
-73,CAt,0.363,-638,0.1995,0.278,392
