hyzhdznmpl,xxrpvdiivw,xahlowrfgj,sjpblnvhrd,faxlrcqqwl,fbprszwtkh
imgsvbatis,-86,518,arftcpeiqx,vibqnpludy,0.448
cAT,521,0.083,0.049,DOG,-0.0335
vrxhtjadfl,kzbnhysioj,-0.4455,395,DOg,diejgndoxg
-0.1615,-0.4545,bbgcaxbrlb,caT,-860,-0.15
0.3995,-934,-0.136,nxtzocalkh,0.182,-687
-0.3415,CAT,Cat,-0.0735,527,eiscxetbeq
maylgbnxcl,184,feccwmwgme,831,-358,Cat
caT,nhiwtppmpd,908,-153,CAt,cAt
Dog,-847,DOG,776,0.0635,-909
-580,-774,qyuzuyfxko,0.0415,ehoertcmqm,0.45
zbgmlzuadh,915,0.4055,0.3815,-0.23,dmacnnabic
cgczszwvii,-0.2015,DOG,lllugaecwc,qzmtwmtsmf,-752
0.428,Cat,rezfnakfyl,lkfnikbyif,hmpvtqfxjn,CAt
lqntfpsqfy,nuzdkbdjtr,ebnvnqnnbg,iokjblpzwt,lsuqmssrgf,0.0575
-5,jdkzirenqm,-33,trsqjmnolf,-0.3545,223
-0.1055,gvxupyrcvy,dOG,bhiezmltvr,-329,360
ixdjpeickb,836,DoG,-372,944,-0.3315
0.38,-0.3455,CaT,-0.157,90,0.4295
xtssxotomq,-260,roadxcifpq,-196,865,jeoiqbyzka
ykuxoaojct,-146,uqxzigflhm,0.489,sozjjytput,xwjgwcrgrv
837,DoG,356,-989,-0.42,axmaafjpos
iuqmiwatis,lrzjmggajw,-0.3355,dOG,0.3705,0.079
991,858,dOG,-0.048,-852,0.489
543,-0.43,sotkvrsaiq,wufrrebtve,itsebdacor,jmsascbtmg
-0.361,-347,-976,0.0305,395,-0.356
482,qgjkuktzje,-11,-254,-889,693
