vreyoyjmzz,mavkxyugfb,wjnqtgyaqo,akxzibrmli
-793,0.0455,0.0785,caT
xikdqqyqlh,gqrdbqyhds,-995,-520
-673,224,dOg,kjhzaowifd
0.035,cAt,-0.447,loyroykkdc
0.493,-137,0.2335,lzbknrifsn
plibottoug,dyyskaohai,ucbbkmtkct,DOg
252,0.3135,ehopapxaba,-506
ycysyrrzfo,658,289,732
Cat,CAT,CAt,CAt
-163,CAt,-855,-100
tjwydehhqo,DoG,0.2385,-285
979,918,ddgevthzxb,abetqvhipz
-710,dyognatapi,-0.4395,DOg
hsbpbrpmpr,melrklfltm,-0.1975,-843
0.253,460,DOG,hkvfnipkvr
0.477,533,tfenjgorxf,-0.3665
264,0.098,dOG,-0.4785
287,0.3365,ubrezjwple,940
vvadwjybyc,-371,cAT,-921
-0.4845,636,cAt,DOg
DOg,sfaqnkkeky,-0.235,-406
0.3945,-903,-854,whpiodrbhe
cAt,0.077,-0.2485,0.4205
raleqfsvgb,-0.307,raddxqysim,0.278
caT,cskqdsmxdc,ypgxgwhpyb,-0.0195
muyhrfciwr,-17,ssrokjfepg,0.429
jxudgdtexk,-0.418,-1,xwlwanmigr
agiyckacgu,369,igbknjoydx,DoG
Cat,-0.059,xuljtvkgfm,0.376
DOG,151,hpgclvbbvt,CAT
0.4105,sbhobbyxiy,cAT,486
gcypcakska,-264,0.131,kqcxgmotux
wkkhxkpfxw,0.056,dOG,-0.1945
gtdqgzgnqq,iovzuiqcrx,sqdthnumce,tadcgxlrbj
-10,fvumrkzufl,0.21,-954
Dog,0.0535,Cat,xxhobkxtcw
-753,0.4335,-5,0.2215
-0.475,prendjjoxr,0.0315,zucatsbacm
-133,683,CAT,0.374
fmfpoovrwo,DoG,0.4035,569
CaT,-0.342,DOg,eekveifuqb
-0.05,zxgtbszkts,jgtybdhrwl,0.136
lecbctoyww,odcdcqdudu,0.2985,hmlbefjfqz
Dog,cAt,762,-0.481
CaT,caT,0.021,-0.499
342,-0.088,0.3545,-77
xvmwrbejvz,DOG,-211,19
-305,nifkuzwqrz,-0.036,0.217
cAt,13,-0.3295,CaT
bnpcswhkgc,CAT,dog,-0.318
0.044,gxunuawsvo,0.0185,-730
CAt,771,899,-0.4415
xinsutylpu,797,-0.101,CAt
58,-0.033,0.476,860
-0.3555,-0.223,DOg,919
uxpdqwbdiw,845,-0.3985,CAt
0.1825,-0.329,-0.365,-245
yzwpqbjhej,0.427,hqlhcqkxmg,ecfacdehhx
0.2335,lbyxrwttbe,0.331,0.4745
136,-0.3715,klevwyypnw,280
-0.0425,483,0.2745,815
bbntatyxax,-571,0.1965,-726
-0.074,809,227,0.483
604,-0.1195,402,883
704,-186,767,dOg
0.3895,jfsyqumdks,cAt,zpdfmewopb
776,0.3585,-950,Cat
