gqjrxkwgzn,afoendhtpx,khyskyxeun,kxaqhxlame,ovpsbqogjr,ojjwqirvgb,pEt
tyznczzfjt,CaT,qwwhtcolmy,729,250,iuhyjwnzem,334
496,-567,axdtlaojln,353,audafuksnp,hjjemgigtd,doG
kdxwvnbuop,-0.0355,bwusbtarnb,609,cAt,doG,dOg
kleeajehhe,hkhoeengzj,-382,doG,jdifjpjsbe,-178,dOg
vvumtipaqp,dOg,ddcsrzqmhp,DOg,Dog,0.127,-0.1605
0.451,0.1465,-974,-0.1915,95,cat,doG
0.0015,0.3315,sxlpqhqmap,bprwtqlnfq,mhjsjbbfhi,pphszkjgsz,cAT
avzxaeuqif,0.0655,thpiwicqhe,-0.0205,-519,-0.061,wszpqoufei
cAt,-957,-0.252,0.126,-0.191,fjuaethxnb,Cat
-0.202,sanxloogkc,0.1845,dOG,0.0505,0.019,Dog
-0.1145,wqbvpuizfh,lmdhaebpdk,0.303,bfzlfljsly,DOG,Cat
977,DoG,qjzetpetyo,501,knhxpxdxon,-0.236,CAt
-790,baitslfynu,229,wtqovkatax,457,doG,DOG
tqpqchkqic,0.152,-0.153,502,dOg,0.154,cat
-0.048,0.317,132,-0.22,kxitbszxsw,msdaterdlf,dOG
xjiucwauqv,zfzqxupdem,aqhmqmuqcd,afwyyvkomj,dOg,-0.211,dOg
0.359,cat,xjnkylkyit,icqrcqemtu,-922,dOg,DoG
dOg,-696,gspagduvfi,-862,ssexdguokg,doG,cat
0.189,DoG,-962,xmpayuxgra,-544,sppeqgvemi,cqzhhsmyei
-250,151,0.4035,-518,-0.158,-0.3825,-0.331
0.3085,641,tvhookqrsz,lqnbuwvxvz,syyantheuq,0.4515,qmdimlpjyx
0.0835,-0.384,dOg,rxdfftfcuj,437,-0.011,Dog
Dog,0.309,0.077,bzrwhmgczk,-0.4615,qiihwvjaau,bgqahrfxga
tmuseoxtvg,-0.1945,dOG,zlybaozdaw,doG,-492,-996
875,-0.036,CAT,176,-0.368,-0.0365,Dog
365,-0.0585,-0.132,-255,-157,892,-0.447
miaqpcccnu,scvxvgkycr,-916,xeyoipavlh,339,843,423
doG,-830,dOg,Dog,0.1285,cAt,dog
DoG,-0.3685,-0.2125,-47,CAt,0.355,-990
315,701,rxfmsjgzuw,-119,zhebpkzoca,xtcuammsrh,DOg
clxoqdqlau,gxwkzbaayv,-256,CAt,rvnhywdizk,-565,CAT
0.182,ufygynkiuh,-1000,840,hvfgjrjtsl,cAT,Dog
354,uwpxhlqnmx,ckrdwccmll,327,rjhapdnevf,-303,-0.4265
0.3745,157,sxqnrswgli,-849,955,CAT,cAT
yevothpygt,-697,81,DoG,Cat,dvgbjthpkg,168
-231,-0.073,0.271,-867,-285,0.0645,-144
luospgjalg,ovhzbadwkr,mdcryprdws,0.1465,-329,0.187,doG
