ubnmaxyrnp,jwpsaskkvi,pet,nhbafzsjze,oixhtflzpu
edmikkbtrg,-938,dOG,DoG,-0.4485
mlyjkotbdc,-838,Cat,-752,Cat
-0.205,vocsrqxtmb,Cat,0.0565,271
uvbiobpbai,dOg,CaT,zqzvnilskj,0.3375
ihqnspsomt,858,doG,wxwardcaiv,CAt
fxgffelmtc,CAt,CAt,796,810
789,-0.386,irkdguzmcj,DOg,-0.1635
-733,-739,-0.27,0.0815,smesxbhyuv
-935,dOG,caT,57,lwluiswfhd
tdxxljeouk,840,DOg,iglzykmwlv,927
CAT,-0.4675,cat,awbxexridd,-0.314
0.308,vnmxhwrzhd,Cat,xtngcynwsr,-116
119,mapxhnhefc,DOg,zuuyrbehrb,jzamilqvie
Dog,mtztggjukw,Cat,-0.3115,vsilqcpaen
-0.491,CAT,CAt,tmokgiqkva,CaT
Cat,DOG,tgeylqcvuo,400,0.002
-150,-595,cAt,cAT,jyvxultsgg
-440,0.0585,-0.415,DOG,0.145
talsfnpknn,417,cAT,caT,kgoubonaft
DOg,0.4585,vipctzqbta,397,-791
0.1035,553,DoG,-0.2485,-413
CAt,odjnojqbzo,dog,gqinhefadh,exwmdkjcao
381,caT,738,zdnumisvdb,0.0035
dOG,yrpzpppxuq,oeywnphhfi,uwtyavcseh,-0.4045
0.336,0.0425,DOG,cAt,arladxsrvq
750,mnrwezdjyi,CaT,845,759
-0.4325,CAt,DOg,0.04,btzowqvrqz
946,jruevridfj,dOg,981,cat
mvypouzkjv,608,CAT,0.001,fnjpkgkegj
-213,bdnbadyche,DOG,skvxcobwhm,-864
-0.1465,825,wqkauyafyi,396,-679
-62,ltdsisjmmd,doG,ufcidwxdgv,-0.293
jlkzhpmrrx,DoG,dOg,424,-0.2215
-375,41,DoG,0.159,0.105
-448,-0.094,Cat,zpxraotdhu,-0.0675
-126,sfuvypnquy,CaT,fmkoadrtwe,dOG
cAt,dOg,CAt,cyjwiqeqws,703
0.3785,-0.254,-8,scayvbthnr,dOg
-486,caT,Dog,hsgpupwdjv,ylctpokrvl
0.4255,-103,116,xwxuopgeub,fjmjsfhgap
-0.0205,lbcaxxrfiv,Cat,-0.0855,DOg
