bgvdvxpwwd,awqrmeijrt,PeT,tsezmxtmhb,gbqphtiawz,vwonvxquvp
dOg,0.4685,-301,cavgremehp,Cat,-0.0045
iyjntdpznx,trclmrnbkf,Dog,kazvsybywc,840,-0.467
374,0.1275,cAt,aebxmfljqn,joyjjdtecg,cAt
0.3285,brqodkghos,DoG,0.241,ksgkuhhybs,ntqwrpltjl
-63,-577,dOg,koeerdobzw,ycibjzncfk,msomsthwzh
dOG,alcwiqxdez,0.294,ahmbcmswwl,dog,-469
-0.233,0.3005,Dog,-137,0.305,756
Cat,-0.1495,698,xkjhdiprjp,540,doG
-0.1745,hvaojsclkd,DoG,-169,-0.352,-0.465
-478,880,cAT,381,411,-875
doG,sxxcmzyvut,vbgpuvmwoj,uujoihxthe,eadbigrkas,ittkltfset
142,-0.102,zrdacnlgvk,vfqxfcfyup,dhxyhrpryz,0.4815
CAT,0.15,dog,-0.315,cat,-515
781,misduppgmk,-131,0.033,676,0.2215
-0.389,cAT,-168,0.0005,sbcrkxmwsw,-0.4885
cAt,-521,Cat,mcelomuubi,svlmsphuea,efconzkqfd
592,0.187,CAt,266,vksbhoyjip,0.013
cAT,794,dOg,aymvvfmaoi,DoG,-2
jgjbjvgmjg,-487,CAT,Dog,-0.182,-0.387
cat,jgqfiewqfp,dog,CAT,-0.215,-130
fnqllxdtya,-722,DoG,aibslublkn,-0.4645,0.2485
towknzxbrr,dtmvjnvpai,bdsftrynmi,0.3485,khjzhyxeut,-281
dpsqcssfkv,725,dOG,169,301,Dog
-0.071,-941,0.064,jumojcczqi,0.0955,cAt
xvojihkpoo,-516,doG,ewyucrrgnt,0.4065,khunlnhtfa
pntkkmolne,cat,DOg,eckkabnsdv,585,dog
CAT,DOg,Cat,792,DOg,468
loebbsxbam,qbksaaxeyb,DOG,254,-657,-134
-0.094,620,Dog,-0.067,329,kptjduvcud
-0.248,ophytelfqj,fpvcjxoozy,dOG,-265,-0.3475
gxfxtjtvup,27,DOg,cAT,-369,-0.26
-0.062,nguqtmgclj,eyoxtstpvn,0.347,rdxwwmloen,Cat
-286,DoG,483,-0.0725,0.004,cAt
530,-806,Cat,qfpuccbjom,-870,-937
dog,gqgfdcdqmv,dOg,zxwxdeydvz,-0.028,-927
-0.081,692,CAT,zhogzucklt,0.0445,DOg
-775,cat,146,-0.4545,-0.3665,617
0.0165,DOg,-0.045,caT,ydrggonfth,868
0.2215,caT,CaT,0.183,sidwegoidv,0.3065
hqtxgdzccf,zudpvsycdp,doG,0.203,pgmgztmymw,imwwhdjygg
qfjppvqrxh,-0.4115,DOg,yirftagjng,0.3165,602
gzzjzgpflb,0.337,-0.2215,pokolryunz,-0.0855,-0.42
902,-603,376,-0.389,-9,-661
oiyzpjvdpb,0.049,cAT,iwuydsfwhz,303,873
-111,0.1925,dOG,-168,0.271,0.1795
cAt,670,cAT,ubjcyhmlln,wmfkintscs,514
jauokrwfmq,0.216,dog,dvgkymkooh,-0.4365,-832
kqarlqmtey,mbjkrgjulp,843,-0.02,fwezhcrzxu,jmtnopyigh
cujopljdjg,790,dOG,-0.109,fjgtskgvwu,jybsgczquy
-0.044,dfynqyjioo,-0.096,chywqzvhrw,0.2645,-0.2625
rjrtgsoomx,przjqgllbr,-0.4005,igvlacvnnx,466,0.228
-852,884,caT,312,384,htbypvqcog
DOG,0.48,CAT,616,-0.364,-0.0105
ugycwcdpcm,-0.1555,CaT,-919,-167,mmewbsifcy
qlopzigfnk,540,Dog,nxxegjvuys,tqbtcwgljf,fzhcvsxacb
-257,omultoiqjz,CAT,nvjbzfpmwn,721,344
DOg,itbemzcuoq,DOG,0.313,301,cmzoohrpot
-0.485,-328,CAT,-651,0.2605,542
-0.107,fhtumjwbba,znrmpgiyev,0.358,-0.381,dOG
fitmgjuwrj,cAt,caT,djdmgwvriw,-299,897
nlnzvikqss,139,CaT,0.0515,dog,caT
-458,893,dOG,caT,dOG,0.472
-0.187,zactqlywqq,caT,-633,-0.082,-0.4025
-0.115,vkpfnhsujy,-0.0235,-536,0.1,-983
tlhbtraeum,0.497,Dog,DOg,DOG,rurebenrpx
DOg,DOg,dOg,682,0.3825,vymtrlbhxp
ykbcfvymkj,367,slwnajpuwg,0.1635,0.306,0.4555
cAT,wfyjnnqgxf,rjruouqnaw,0.217,mzquktywkz,816
0.0025,DOg,0.22,ztldrvcvpo,-0.347,877
-224,0.1665,DOG,-737,251,DOG
0.3675,-365,CaT,-0.0165,-663,dcmubtaydk
-750,-263,cAT,-28,-841,rmlzkoprdc
dog,0.2905,kuzljlmuis,-949,sijsbjifyd,0.427
-0.4325,iioafignzc,cAT,doeehsljdw,364,cat
ptfqiltuda,0.3975,Cat,-0.2995,-798,940
edardcwgqe,tuuqjpvmgc,DoG,0.051,-0.054,-609
abuagjmbfw,0.3505,0.2255,blnmcrhqeo,-853,214
ldiuahcmnz,dOG,296,-0.2915,DOg,-0.307
0.214,doG,-0.498,-0.313,cAt,-0.0635
-128,mwzqwprbjv,CAt,-0.152,-0.2955,-0.0195
dog,ahjmttrdck,cat,-764,rescetinbe,-0.4805
eyytwfnkeq,kikvzqfqhy,CAT,nslksmdtwf,261,600
Cat,xutkktluqb,DOg,vdrgrvbxrc,0.3525,0.1085
