ukgbxkhzwg,suooufpabv,yrhtmihadn,bufnbvkqah,sopjfalqcr,PEt,cehfxhsnla
escsgpyaom,dOG,-0.0325,-143,-0.381,cAt,795
829,-0.0265,819,efmwipptac,0.374,cAT,fwtrpukcyj
mpquzheuzr,-0.016,DOg,-505,dog,-0.456,-0.398
ggqbtlojai,0.103,caT,umdbricwlu,-61,CAt,-0.3985
691,-0.448,eorkpqqbrx,-848,vaqtduxyth,-654,0.0095
777,ejgwyivmhw,-0.3165,-0.378,Cat,-245,892
-22,-872,qlotfxdcbc,DOG,pnpvniqxfe,DoG,254
0.039,Dog,0.152,-0.14,-995,CaT,stdxxvktmj
qoildiprsa,ndfmeehpqb,-0.4335,0.131,-394,humkthslta,0.0335
-0.4045,0.2225,696,hektdquhxn,0.4035,745,cat
-0.2125,dog,xlmkucnmqf,CAt,ybacnyecuk,caT,rwwnitioch
cAt,-131,yxqdgrphsd,-275,zuaavetvwi,707,0.155
hakunutlzd,0.177,669,-874,kqyihgkxyx,CAt,0.029
unrefnjilf,142,Dog,0.4085,DoG,caT,dog
kpvidvfgsz,0.233,qwqywzrzfo,453,-0.2655,DOG,-0.0795
-0.3775,-630,Dog,272,-0.205,kpysgccyrq,552
-0.1285,-0.4505,-0.121,44,Cat,-0.24,dbbsunnlxz
-0.092,DoG,jxywlkpbko,696,ienoxubsqh,CAT,754
obgoowkalt,-525,jxrkfklcdh,0.1305,ktfupfzsmh,cat,celoiazpki
0.27,cAt,DOG,0.027,DoG,0.296,-0.2895
DOG,CAt,439,-242,-791,gqiwexvvhv,orqusjbhfi
cAT,-0.119,exgqktwwci,cAt,-308,CAT,bhrdbfxbva
23,xkjciclyba,228,utrsvqzeua,-0.296,0.151,yqszivjahd
wnjrsememr,dnspbmrudr,0.197,94,gtmrbotesr,CAt,fddjnzakvg
-0.448,DoG,esalwvecwv,dOG,-525,CAt,478
