Pet,kkhbxzpetg,mkudsrbqnb
0.0665,cAt,250
Cat,-0.065,-0.365
dOg,dog,-217
0.281,yzwtqzfdtt,wdhbipnfmr
520,caT,1000
doG,eitbemczuo,-219
caT,0.191,uhegyyloqy
ufzqqqagds,-0.289,-414
dog,-971,cAt
Dog,537,0.443
cAT,Dog,zkfvjimwln
peofawawpy,-0.434,-149
cAt,-0.2595,kmxsnocwnv
DOg,-594,-0.0515
nvdxrtqjbc,cAT,bamrcqaqeg
cAt,0.312,nfoqwmvwhx
CAt,dxfutgdivq,164
DOg,dog,627
dog,0.077,gfwdnnsfjo
DoG,-793,dog
Dog,cwlrzkhxtx,DOg
dOG,caT,Dog
cAT,0.433,-0.061
244,-0.049,cat
cat,0.281,qfsngfters
-923,-183,0.394
dog,-0.404,kxeqwqomyu
DOg,hedqspzdte,zxoangymjt
cAT,0.072,-79
ozvdxtiybm,rxmzxxjhob,0.133
DOG,caT,cat
cAT,-776,-155
idfzspbqoq,556,-0.1355
550,-0.0315,-0.1265
dOG,cqopoksbhl,afzfuygzuv
caT,509,-738
