jqabutvzjf,akrwwgnkjk,isprhuxdtc,fjashcagwr,nwdzvlbcav
-0.106,cat,-0.1525,-546,rpcxnnaary
0.393,jnssqdfpnt,0.042,-0.3095,0.4605
edjvtfgiyl,0.1985,ibejrwggxw,-0.3545,991
0.3195,246,-0.172,-19,-13
hgjmjuuuen,-421,CAt,fovevyoyxl,-51
abawrprpxv,lciyefnibh,ysjjcvxmod,cubshzepjb,-131
0.406,-0.147,ypdxnngmky,doG,CaT
-168,262,cat,-650,tysfgltsrg
313,CAt,-0.3375,rsdkpwnrna,DOG
pbscdbeqek,-0.3605,-670,ndhdwxfsve,zwjzwjjhtp
0.2245,680,spzaldfjrp,cat,hrnncvbmlf
qampzlupnl,-495,0.1415,0.463,-605
-54,907,doG,rixslffjuj,-116
roywsjawbt,fblipgfwya,-0.0545,doG,eqsfmxydiz
0.206,CaT,0.2335,hnqaeytmye,Cat
mrtbyuawgh,285,cat,DOG,-0.3525
zktsactgdu,jisntolgac,0.0305,khczswolvo,cat
-702,-0.353,457,-877,0.4245
huejlqxlbd,glmxbfddpy,arcvuepojw,-937,-0.422
-875,0.3165,DoG,Dog,cAT
dkfgbhdtcg,dcluomeppb,tsjhluqsho,0.1985,hckxwpnirv
dOG,nwyacbwiop,0.1165,dog,228
740,-0.1215,lelyuhbtgu,615,dOG
toswaevsgc,-0.077,auovhewifl,-0.117,eqxhpbazti
-720,tplbwycheu,qdlaqurqpv,-935,-0.0105
nlgfwyvnlc,-33,-111,doG,uqgxqvqzft
ufgkawxyks,dOG,dog,lirwtqcoxz,CAT
-490,cAT,-249,-513,caT
-0.068,0.4185,-0.132,0.4655,DoG
0.092,fzheqsjjxx,kkbsdjzouq,bforjacyvf,vpznxvrfyd
Dog,0.234,-412,ovlenvzqum,-0.4405
-0.3025,-0.427,134,0.228,dOG
oozsenfics,0.087,140,453,-0.147
zscnzkeriw,plxnzqhcfs,-302,113,dcyjcqivyj
-0.002,486,936,cAT,-946
-735,7,-0.0925,doG,0.482
0.0335,-930,0.1545,lonhmurpwq,DoG
-0.063,785,Cat,-920,CAt
CaT,543,40,hsgvtahqxj,wadfnmufcp
7,oyflbpmufo,dOG,474,vvqtbrifqk
-0.345,caT,zhvxcndqfe,-0.009,-643
0.3725,Cat,CAT,CaT,-0.306
-524,gycagnanop,-0.0935,DOg,0.236
hqudtqgjmr,ijojarqicc,rxttluntyi,uvbkuytgla,Dog
cat,-901,-0.3865,hatckvrzpe,994
DOG,DOg,492,-0.076,-734
cdnyimpail,nzyzbriaqx,cahjbishdz,-881,dOG
