pet,ntshwtjitc,gswiqyoqjb,ovxtiibidy,lskykatypq
-0.4425,-887,0.137,0.314,50
CaT,qldtwmmtln,ihnlgurgeh,-504,bjgxhkkrfq
cAT,-0.422,-0.1245,vnvdhdxdbb,yjuhgoqxic
Cat,0.3265,318,nxhqguawiy,-574
CAT,DOg,zbneeqlvdz,930,gmxdttoeee
CAt,0.379,DOg,-944,wczklqltib
-0.013,-851,0.237,CaT,rdgjkqwxyk
gqenuhtmfm,-635,DoG,exycntltne,servqornwl
Dog,257,lkgjcfxpye,-0.2735,-0.0535
CAt,-52,0.332,0.159,tgfljvfras
cAt,Cat,0.0955,plbjdlsdnp,-798
CAt,ijrltbdglk,ooyfiahcax,-100,0.146
dOG,tnovrlvxzo,647,lmjgeaomfw,wcjbirdklv
CaT,zjyjdhkltz,CaT,-872,nrvcguqemr
DOg,ccvargfbdd,exdlorvkfd,-0.207,-815
CaT,dqvjabmurq,dog,301,fkavblnycm
DoG,caT,nivveioxja,-641,CAt
dog,znoqmqrdew,cAT,-116,kywmgfzutj
dOg,yoxdizimen,0.326,0.299,0.2195
vsgquldxkk,oxnsfxcrix,-0.181,dOg,olswjxvxbm
-0.455,859,ivfplaxmfn,caT,Dog
cAT,0.385,vbdtqwnqyy,0.3815,tqbwqfdzvh
Dog,spizdzaeao,-0.477,doG,-1
0.267,-871,rfnlvrytyc,0.4155,-607
pkmhzjbafv,dog,ljjiuowaov,342,zxwivejgwp
caT,85,sgohekehil,-0.039,378
doG,0.001,-661,frzkrzntpm,cAT
DOg,fispboivva,qzxpcspmnn,caT,489
dOg,rwfrltuyud,hicktjgyac,0.4065,fbdgqrsvme
sbiyrldkcw,pelqaxxwgj,-0.1975,-0.018,967
CaT,wgtgwknsjl,0.3695,ghnpptbpvc,-0.036
CAT,fyiucmbilz,rfqgibshhm,dOg,-0.0835
dOG,ivknschlto,-937,277,xuxczqxmpk
pilxccfbdw,607,aqzzntlzdg,0.0055,CAt
0.2115,ehuaohdbkh,CAt,thywmkxvvs,0.328
746,544,-0.479,-0.4635,56
caT,0.3045,-142,653,cAt
Cat,0.1825,-214,CAT,-526
DOG,uugsyftzvc,iufsehpylp,100,ulbiyukain
-0.1035,-258,-0.2155,-23,dmnotxbfzi
xqqcislhia,-231,-0.207,0.054,DOG
cAT,fvzixogxpa,-81,-368,Dog
Dog,0.27,0.395,zijzxrorhb,cvedubwmig
Dog,0.4115,812,cat,-0.087
-0.1505,-495,-0.361,zkalatvjat,-0.1945
xchabuzmfa,kklsywxpmj,0.469,0.091,caT
Dog,koblqdfdue,yzxgicimxr,-767,-822
690,13,Dog,tnelqtfhag,566
CaT,418,-714,dOg,-593
513,-0.242,dOg,dOg,0.3465
qsuxaxbker,105,-845,Cat,0.0685
-0.0905,-70,cAt,-85,-940
